                                                       |             |              |           Play           |        Declaring         |                Defending              |
GARCIA DA ROSA Rodrigo - PELLEGRINI Carlos             |  208  -0.39 | -0.11  -0.28 | -0.62 (112)   0.10 ( 95) | -1.38 ( 69)   0.61 ( 43) |  0.21 ( 47)   0.01 ( 48)  -0.01 ( 95) |
TISLEVOLL Geir-Olav - WARE Michael                     |  224  -0.40 | -0.21  -0.18 | -0.22 (118)  -0.15 (104) | -0.62 ( 50)   0.08 ( 68) | -0.25 ( 64)  -0.17 ( 40)   0.06 (104) |
ABDEL FATTAH Mahmoud - BAKLY Ahmed Hussein             |  223  -0.40 | -0.29  -0.11 | -0.17 (105)  -0.05 (116) | -0.14 ( 46)  -0.19 ( 59) |  0.23 ( 49)  -0.13 ( 67)  -0.07 (116) |
GERIN Dominique - PELLETIER Jean-Claude                |  223  -0.42 | -0.25  -0.17 | -0.33 (117)   0.01 (106) | -0.12 ( 69)  -0.62 ( 48) | -0.32 ( 64)  -0.19 ( 42)   0.28 (106) |
SMITH Jeff - MILES Daniel                              |  192  -0.44 | -0.09  -0.36 | -0.72 ( 96)   0.00 ( 95) | -0.62 ( 54)  -0.85 ( 42) |  0.12 ( 47)  -0.17 ( 48)   0.03 ( 95) |
HACKETT Jason - HACKETT Justin                         |  144  -0.45 | -0.11  -0.35 | -0.31 ( 67)  -0.38 ( 77) | -0.13 ( 39)  -0.56 ( 28) | -1.03 ( 44)   0.03 ( 33)   0.20 ( 77) |
SCHAFFER Lauge - HOUMOLLER Jonas                       |  159  -0.47 | -0.64   0.18 |  0.14 ( 77)   0.22 ( 82) | -0.64 ( 37)   0.86 ( 40) |  0.10 ( 42)   0.03 ( 40)   0.15 ( 82) |
NOSHY Sherif - RAMADAN Baher                           |  224  -0.47 |  0.06  -0.53 | -0.58 (124)  -0.46 ( 99) | -0.37 ( 55)  -0.76 ( 69) |  0.22 ( 45)  -0.44 ( 54)  -0.32 ( 99) |
ABD ELLATEIF Khaled Hassan - EISSA TAMER               |  191  -0.50 | -0.34  -0.17 |  0.05 ( 95)  -0.38 ( 96) |  0.12 ( 52)  -0.03 ( 43) |  0.07 ( 57)  -0.01 ( 39)  -0.42 ( 96) |
BARAKAT Sireen - GHANEM Marwan                         |  240  -0.52 | -0.12  -0.41 | -0.44 (135)  -0.37 (104) | -0.39 ( 58)  -0.47 ( 77) |  0.04 ( 43)  -0.27 ( 61)  -0.23 (104) |
GRUNDER Martin - KAPREY Imtiaz                         |  336  -0.56 | -0.01  -0.55 | -0.69 (164)  -0.42 (171) | -0.93 ( 74)  -0.50 ( 90) |  0.02 ( 82)  -0.09 ( 89)  -0.38 (171) |
