Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Frederik Hahn - Leonard Vornkahl,127,-0.22,-0.24,0.02,0.19,72,  -0.20,54,-0.42,40,0.95,32,
Ingo Lüßmann - Dr. Michael Schneider,128,-0.23,0.16,-0.40,-0.42,73,  -0.37,54,-0.64,41,-0.14,32,
Andreas Schaper - Dr. Lutz Wienert,192,-0.24,0.13,-0.37,-0.36,99,  -0.37,93,-0.19,57,-0.59,42,
Lars Hüllen - Stefan Hinck,192,-0.24,-0.13,-0.11,-0.09,110,  -0.14,81,0.44,50,-0.53,60,
Ullrich Jahr - Yordan Boychev,128,-0.26,-0.24,-0.02,-0.75,59,  0.61,69,-0.78,30,-0.72,29,
Volker Hund-Schulze - Benedikt Wiemeyer,224,-0.26,-0.17,-0.09,-0.38,100,  0.15,122,-0.33,49,-0.42,51,
Daniel Buse - Dr. Christian Löwenstein,192,-0.27,0.14,-0.40,-0.59,94,  -0.23,97,-1.52,44,0.23,50,
Ralf-D. Zepelin - André Marx,128,-0.31,-0.36,0.05,-0.29,73,  0.50,55,-0.11,36,-0.46,37,
Dr. Walter Höger - Ilia Chapiro,144,-0.32,-0.44,0.12,0.53,74,  -0.33,69,0.49,42,0.59,32,
Dr. Sebastian Weyand - Claudia Vechiatto,192,-0.33,-0.11,-0.21,-0.29,96,  -0.14,94,-0.31,50,-0.26,46,
Dr. Andreas Spiegl - Dr. Bernhard Schirm,287,-0.33,-0.22,-0.11,-0.36,160,  0.21,126,-0.45,76,-0.27,84,
Joachim Parsch - Klaus Zeitler,256,-0.33,-0.02,-0.31,-0.36,124,  -0.27,130,-1.35,60,0.57,64,
Fried Weber - Jan Sohl,160,-0.33,-0.58,0.25,0.17,78,  0.32,82,0.67,41,-0.38,37,
Theo Reinhard - Thomas Neuhauser,160,-0.34,-0.44,0.10,0.11,72,  0.09,88,0.13,42,0.10,30,
Felix von Arnim - Heinrich Nowak,192,-0.35,0.05,-0.40,-0.45,87,  -0.37,104,-0.30,42,-0.59,45,
Klaus-Dieter Wacker - Ulrich Staber,224,-0.37,-0.50,0.13,0.12,116,  0.13,108,0.18,56,0.06,60,
Martin Schrödel - Dr. Michael Tomski,160,-0.37,-0.20,-0.17,-0.09,71,  -0.24,89,-0.60,35,0.40,36,
Rainer Handel - Christoph Kemmer,208,-0.38,-0.09,-0.29,-0.48,95,  -0.13,113,-0.49,42,-0.47,53,
Fabian von Löbbecke - Dirk Sanne,128,-0.38,-0.38,-0.00,0.21,69,  -0.25,58,0.63,35,-0.23,34,
Michael Thomsen - Dr. Gerben Dirksen,127,-0.41,-0.08,-0.34,-0.67,64,  0.00,63,-2.16,25,0.28,39,
Dr. Silvia Klasberg-Brawanski - Eckhard Renken,128,-0.45,-0.23,-0.21,-0.51,68,  0.13,60,0.49,33,-1.45,35,
Dr. Sören Hein - Stefan Helling,208,-0.47,-0.15,-0.32,-0.41,99,  -0.24,108,-0.60,53,-0.18,46,
Henning Gärner - Rainer Twele,288,-0.49,-0.42,-0.07,-0.28,132,  0.11,154,-0.09,85,-0.62,47,
Ingrid Stoeckmann - Burkhard Thamm,192,-0.50,-0.38,-0.12,-0.27,100,  0.04,91,0.10,61,-0.86,39,
Nikolas Roemer - Oleg Galimov,192,-0.52,0.10,-0.62,-0.41,107,  -0.90,84,-0.84,51,-0.01,56,
Frank Röttger - Karl-Heinz Schmidt,176,-0.52,-0.42,-0.10,0.10,78,  -0.26,97,0.26,46,-0.13,32,
Marie Eggeling - Thomas Gotard,191,-0.52,-0.53,0.00,-0.06,101,  0.08,90,-0.49,42,0.24,59,
Norbert Keßler - Torsten Waaga,96,-0.53,-0.30,-0.23,-0.35,37,  -0.15,59,-0.23,24,-0.59,13,
Martin Hofmann - Bernd Engelhardt,160,-0.53,-0.24,-0.29,-0.15,78,  -0.43,81,-0.24,37,-0.07,41,
Matti Hellström - Dr. Lutz Wienert,96,-0.53,0.00,-0.53,-0.41,52,  -0.68,44,-0.85,24,-0.03,28,
Felix Schadendorf - Heini Berger,96,-0.53,-0.02,-0.51,-0.70,46,  -0.35,48,-0.66,17,-0.73,29,
Martin Staber - Peter Fahrenholz,128,-0.58,-0.36,-0.22,-0.18,55,  -0.25,72,0.00,30,-0.40,25,
Andreas Bollhorst - Udo Kreimeyer,96,-0.58,-0.31,-0.27,-0.16,52,  -0.41,42,-0.23,29,-0.08,23,
Sabine Würdemann - Barbara von Kleist,128,-0.58,-0.26,-0.32,0.02,62,  -0.68,63,0.06,39,-0.03,23,
Andreas Visetti - Andrzej Konczak,96,-0.63,-0.45,-0.18,-0.48,49,  0.12,46,-0.48,26,-0.48,23,
Peter Klein - Dr. Arno Kretschmer,256,-0.67,-0.26,-0.41,-0.71,126,  -0.12,129,-0.38,65,-1.06,61,
Jürgen Flory - Sabine Flory,96,-0.69,-0.22,-0.47,-0.21,47,  -0.72,49,-0.22,26,-0.20,21,
Martin Cantor - Omid Karimi,128,-0.69,-0.11,-0.58,-0.32,62,  -0.83,66,-0.38,35,-0.25,27,
Kurt Siedenburg - Dr. Klaus Krtschil,176,-0.73,-0.34,-0.39,-0.20,71,  -0.52,104,-0.07,34,-0.32,37,
Fred Wrobel - Stefan Häßler,128,-1.07,-0.76,-0.31,-0.20,68,  -0.43,60,0.03,39,-0.51,29,
Helmut Lux - Marian Mrukwa,128,-1.32,-0.97,-0.36,-0.79,65,  0.09,63,-0.95,33,-0.62,32,

Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Jan Sohl - Yordan Boychev,32,1.85,1.39,0.46,1.13,15,  -0.13,17,0.33,9,2.34,6,
Kareen Schroeder - Moritz Steindl,16,1.44,0.41,1.04,0.66,9,  1.52,7,0.18,2,0.79,7,
Michael Thomsen - Thomas Martin,32,1.32,1.10,0.22,-0.40,17,  0.92,15,-0.74,9,-0.02,8,
Roy Welland - Sabine Auken,64,1.16,0.64,0.52,1.10,28,  0.07,36,1.82,17,-0.02,11,
Andreas Babsch - Arno Lindermann,64,1.07,0.37,0.70,0.67,27,  0.77,35,0.63,18,0.73,9,
Christian Farwig - Dr. Marcus Joest,64,0.80,0.18,0.62,0.74,35,  0.47,29,0.43,23,1.35,12,
Hartmut Kondoch - Luc Bellicaud,80,0.78,0.21,0.57,0.48,34,  0.66,45,0.22,13,0.64,21,
Beatrix Wodniansky - Berthold Engel,16,0.74,0.43,0.31,1.24,8,  -0.63,8,0.62,4,1.85,4,
Balasz Szegedi - Dima Nikolenkov,64,0.71,0.24,0.47,0.89,35,  -0.04,29,0.57,15,1.13,20,
Martin Löfgren - Carl Ragnarsson,80,0.54,0.40,0.14,-0.16,44,  0.51,36,-0.20,23,-0.12,21,
Andreas Schneider - Merle Schneeweis,48,0.50,-0.15,0.65,1.11,28,  0.01,20,0.88,15,1.37,13,
Thomas Neuhauser - Christoph Hauschild,63,0.50,0.06,0.44,0.97,29,  -0.02,33,0.49,19,1.88,10,
Norbert Stübinger - Ulf Bormann,48,0.47,0.33,0.14,0.24,27,  0.03,21,1.11,10,-0.28,17,
Theo Reinhard - Christoph Hauschild,64,0.46,-0.32,0.78,0.64,31,  0.91,33,0.16,18,1.32,13,
Eckhard Böhlke - Kathryn Herz,64,0.42,0.48,-0.06,0.06,37,  -0.22,27,0.61,16,-0.35,21,
Maria Spangemacher - Regine Bartels,32,0.34,-0.24,0.58,-0.99,13,  1.66,19,-2.62,5,0.03,8,
Helga Stoermer - Petra Eleftherakis,64,0.34,0.72,-0.38,-0.18,37,  -0.65,27,-0.57,18,0.18,19,
Klaus Spiegelberg - Christian Tobias Bolik,64,0.33,0.21,0.12,-0.04,30,  0.26,33,-0.80,15,0.71,15,
Michael Thomsen - Christine Kraus,32,0.32,0.35,-0.04,0.34,18,  -0.51,14,-0.00,7,0.55,11,
Maria Spangemacher - Thomas Schmitt,32,0.31,0.09,0.22,-0.59,18,  1.27,14,-1.13,13,0.80,5,
Helga Stoermer - Antje Berghaus,32,0.31,0.66,-0.35,-0.54,11,  -0.25,21,-0.65,8,-0.24,3,
Gianluca Bergami - Alessandro Calmanovici,64,0.29,-0.17,0.46,0.89,32,  0.03,32,0.80,13,0.95,19,
Dr. Silvia Klasberg-Brawanski - Martin Cantor,64,0.20,-0.04,0.24,-0.48,40,  1.43,24,-0.36,18,-0.58,22,
Stephan Magnusson - Balasz Szegedi,64,0.19,-0.05,0.23,1.05,36,  -0.82,28,1.33,19,0.74,17,
Helmut Häusler - Dr. Andreas Kirmse,80,0.18,0.36,-0.18,0.19,48,  -0.73,32,0.56,27,-0.29,21,
Dr. Wendelin Albert - Jan Chodorowski,64,0.17,0.28,-0.11,-0.18,23,  -0.07,41,0.88,12,-1.34,11,
Fikret Dogan - Ralph Vitters,80,0.16,-0.02,0.18,0.53,35,  -0.09,45,0.64,23,0.34,12,
Merle Schneeweis - Wolfram Rach,48,0.14,0.05,0.09,0.56,26,  -0.47,22,1.23,13,-0.10,13,
Hans-Jörge Schinze - Dr. Helmut Horacek,64,0.03,0.34,-0.31,0.49,29,  -0.96,35,0.80,17,0.05,12,
