1|7|42|2|84|18|3C|S|6|HA
1|7|43|129|58|62|3C|S|6|HA
1|7|44|77|63|38|3C|S|6|HA
1|7|45|92|37|131|3C|S|6|HA
1|7|48|114|133|64|3C|S|6|HK
1|7|5|14|25|93|3C|S|6|HA
1|7|52|28|78|30|3C|S|6|HA
1|7|54|66|87|72|3C|S|6|HA
1|7|56|29|121|32|1CX|W|7|HQ
1|7|6|105|60|89|3C|S|6|HA
1|7|68|11|101|65|3C|S|6|HA
1|7|82|116|10|46|1CX|W|7|SK
1|7|9|90|73|119|1CX|W|6|HQ
1|7|91|8|76|7|3C|S|6|HA
1|7|97|35|20|47|3CX|S|7|HA
1|8|108|126|83|88|4S|W|7|C3
1|8|109|85|117|106|1N|W|8|D7
1|8|124|33|94|125|3S|W|7|C2
1|8|16|110|15|95|4S|W|8|SA
1|8|31|59|134|34|4S|W|7|C5
1|8|4|100|23|12|4S|W|7|C2
1|8|41|74|3|75|5D|E|10|H3
1|8|42|2|84|18|3S|W|7|C2
1|8|43|129|58|62|5DX|E|8|DJ
1|8|44|77|63|38|3D|E|9|S4
1|8|45|92|37|131|5D|E|10|CA
1|8|48|114|133|64|3S|W|10|SA
1|8|5|14|25|93|3S|W|9|SA
1|8|52|28|78|30|5D|E|11|S4
1|8|54|66|87|72|3D|E|10|D6
1|8|56|29|121|32|3N|E|7|C7
1|8|6|105|60|89|4S|W|8|C2
1|8|68|11|101|65|5D|E|11|CA
1|8|82|116|10|46|2H|W|6|D7
1|8|9|90|73|119|3D|E|7|DJ
1|8|91|8|76|7|5D|W|10|C2
1|8|97|35|20|47|2D|W|7|D3
1|9|108|126|83|88|4H|S|10|S2
1|9|109|85|117|106|4H|S|10|DA
1|9|124|33|94|125|2H|S|11|CJ
1|9|16|110|15|95|4H|S|10|S3
1|9|31|59|134|34|4H|S|11|C7
1|9|4|100|23|12|4H|N|10|SQ
1|9|41|74|3|75|4H|S|10|DA
1|9|42|2|84|18|4H|N|10|C8
1|9|43|129|58|62|4H|S|10|S2
1|9|44|77|63|38|2H|N|10|SQ
1|9|45|92|37|131|4H|N|10|SQ
1|9|48|114|133|64|4H|N|10|SQ
1|9|5|14|25|93|4H|S|10|DA
1|9|52|28|78|30|4H|N|11|SQ
1|9|54|66|87|72|4H|N|10|SQ
1|9|56|29|121|32|4H|N|10|C9
1|9|6|105|60|89|4H|S|10|DA
1|9|68|11|101|65|4H|S|10|D5
1|9|82|116|10|46|4H|S|9|S2
1|9|9|90|73|119|4H|N|10|SQ
1|9|91|8|76|7|2H|N|10|SQ
1|9|97|35|20|47|4H|S|11|DA
2|17|103|66|135|72|6D|N|12|S2
2|17|104|91|40|76|6D|N|13|CQ
2|17|108|123|83|55|6D|N|12|S2
2|17|111|78|80|52|3N|N|10|CQ
2|17|113|114|27|64|6D|N|12|S9
2|17|118|2|79|18|3N|N|10|CQ
2|17|125|8|33|7|3N|N|12|S7
2|17|127|132|21|1|5D|N|12|S2
2|17|14|90|136|119|6D|N|12|S7
2|17|17|117|26|93|3N|N|11|S3
2|17|22|9|99|73|6D|N|12|S7
2|17|36|41|130|3|6D|N|12|S2
2|17|39|61|98|96|6D|S|12|SA
2|17|45|51|37|19|6D|N|12|S4
2|17|54|67|87|107|6D|N|12|S2
2|17|56|43|121|58|3N|N|11|S7
2|17|57|48|112|133|4SX|W|7|DA
2|17|71|70|50|120|3N|N|11|S7
2|17|74|77|75|38|6D|N|12|S5
2|17|85|122|106|81|6D|N|12|S2
2|17|86|29|53|32|3N|S|11|SJ
2|17|88|28|126|30|6D|N|12|S2
2|18|103|66|135|72|4HX|E|8|CK
2|18|104|91|40|76|3D|S|8|H7
2|18|108|123|83|55|3D|S|8|H7
2|18|111|78|80|52|3D|S|8|H7
2|18|113|114|27|64|4D|S|8|H7
2|18|118|2|79|18|4S|N|9|HK
2|18|125|8|33|7|3D|S|9|H4
2|18|127|132|21|1|4D|S|8|H7
2|18|14|90|136|119|3D|S|8|H7
2|18|17|117|26|93|3H|E|8|CA
2|18|22|9|99|73|3D|S|9|H7
2|18|36|41|130|3|3D|S|8|H7
2|18|39|61|98|96|3D|S|8|H7
2|18|45|51|37|19|4D|S|8|H7
2|18|54|67|87|107|4D|S|8|H6
2|18|56|43|121|58|3H|E|10|S8
2|18|57|48|112|133|4D|S|9|H7
2|18|71|70|50|120|4S|N|8|HK
2|18|74|77|75|38|4D|S|7|H7
2|18|85|122|106|81|3D|N|9|H7
2|18|86|29|53|32|3D|S|8|H7
2|18|88|28|126|30|4D|N|8|H3
2|19|103|66|135|72|3N|S|10|C8
2|19|104|91|40|76|3N|S|10|S6
2|19|108|123|83|55|3N|N|11|H4
2|19|111|78|80|52|6D|S|11|C7
2|19|113|114|27|64|5D|S|11|HT
2|19|118|2|79|18|3NX|S|10|HT
2|19|125|8|33|7|3N|N|11|H4
2|19|127|132|21|1|5D|S|11|DT
2|19|14|90|136|119|3N|N|11|H3
2|19|17|117|26|93|3N|N|10|C3
2|19|22|9|99|73|3N|S|10|S6
2|19|36|41|130|3|5D|N|11|C5
2|19|39|61|98|96|3N|N|10|HK
2|19|45|51|37|19|3N|S|10|S4
2|19|54|67|87|107|3N|N|10|C7
2|19|56|43|121|58|3N|S|10|SJ
2|19|57|48|112|133|1HX|E|4|DA
2|19|71|70|50|120|3N|N|10|C5
2|19|74|77|75|38|3N|S|10|C7
2|19|85|122|106|81|3N|S|10|S6
2|19|86|29|53|32|3N|N|10|C4
2|19|88|28|126|30|3N|N|10|H3
2|20|103|66|135|72|3S|S|8|CQ
2|20|104|91|40|76|2SX|S|7|HA
2|20|108|123|83|55|3C|W|10|D9
2|20|111|78|80|52|3C|W|10|HQ
2|20|113|114|27|64|4C|W|10|HK
2|20|118|2|79|18|2S|S|8|S2
2|20|125|8|33|7|3N|W|9|S9
2|20|127|132|21|1|2S|S|8|CQ
2|20|14|90|136|119|4C|W|11|HK
2|20|17|117|26|93|4C|W|10|D9
2|20|22|9|99|73|2S|S|8|S3
2|20|36|41|130|3|3N|W|10|H8
2|20|39|61|98|96|2S|S|8|CQ
2|20|45|51|37|19|3N|W|9|S2
2|20|54|67|87|107|2S|S|8|CQ
2|20|56|43|121|58|2S|S|7|CJ
2|20|57|48|112|133|2S|S|8|HA
2|20|71|70|50|120|2S|S|8|S3
2|20|74|77|75|38|3C|W|9|D9
2|20|85|122|106|81|3C|E|9|H7
2|20|86|29|53|32|2S|N|9|CA
2|20|88|28|126|30|3C|E|10|D9
2|21|103|66|135|72|4S|S|8|HK
2|21|104|91|40|76|4S|N|8|HT
2|21|108|123|83|55|4HX|E|9|SK
2|21|111|78|80|52|5HX|E|9|SQ
2|21|113|114|27|64|3S|N|8|HT
2|21|118|2|79|18|4S|N|11|DJ
2|21|125|8|33|7|3S|N|8|H7
2|21|127|132|21|1|4S|N|8|HT
2|21|14|90|136|119|4S|N|9|HT
2|21|17|117|26|93|4HX|E|9|SK
2|21|22|9|99|73|4S|N|8|HT
2|21|36|41|130|3|4S|S|8|HK
2|21|39|61|98|96|4S|N|8|HT
2|21|45|51|37|19|4HX|E|10|SK
2|21|54|67|87|107|3S|S|9|HK
2|21|56|43|121|58|5HX|E|10|SK
2|21|57|48|112|133|4S|S|9|HK
2|21|71|70|50|120|4S|S|9|HK
2|21|74|77|75|38|4S|N|9|CA
2|21|85|122|106|81|4HX|E|10|SK
2|21|86|29|53|32|4S|S|8|HK
2|21|88|28|126|30|3S|N|8|H3
2|22|103|66|135|72|4H|W|10|CA
2|22|104|91|40|76|3H|W|10|CA
2|22|108|123|83|55|2N|S|6|D3
2|22|111|78|80|52|4D|W|11|CA
2|22|113|114|27|64|5D|W|11|CA
2|22|118|2|79|18|4H|W|10|CA
2|22|125|8|33|7|4H|W|10|CA
2|22|127|132|21|1|5D|W|11|CA
2|22|14|90|136|119|2S|E|8|HK
2|22|17|117|26|93|3D|W|11|S3
2|22|22|9|99|73|4H|E|10|S3
2|22|36|41|130|3|2D|W|11|D5
2|22|39|61|98|96|3CX|N|9|H6
2|22|45|51|37|19|3C|N|7|H6
2|22|54|67|87|107|4H|W|10|CA
2|22|56|43|121|58|4D|W|11|CA
2|22|57|48|112|133|3H|W|10|DQ
2|22|71|70|50|120|2N|N|7|S4
2|22|74|77|75|38|4H|W|9|CA
2|22|85|122|106|81|2D|W|10|D5
2|22|86|29|53|32|4D|W|11|CA
2|22|88|28|126|30|3D|W|11|CA
2|23|103|66|135|72|4S|N|12|S3
2|23|104|91|40|76|4S|N|11|HT
2|23|108|123|83|55|4S|N|11|HT
2|23|111|78|80|52|2S|N|12|S7
2|23|113|114|27|64|4S|N|12|HT
2|23|118|2|79|18|4S|N|12|S3
2|23|125|8|33|7|4S|N|10|HT
2|23|127|132|21|1|2S|N|12|S3
2|23|14|90|136|119|4S|N|11|HT
2|23|17|117|26|93|4S|N|10|HT
2|23|22|9|99|73|4S|N|11|HT
2|23|36|41|130|3|4S|N|11|HT
2|23|39|61|98|96|4S|N|12|HT
2|23|45|51|37|19|2S|N|11|HT
2|23|54|67|87|107|4S|N|12|S3
2|23|56|43|121|58|4S|N|12|S7
2|23|57|48|112|133|4S|N|11|HT
2|23|71|70|50|120|4S|N|12|HT
2|23|74|77|75|38|4S|N|10|HT
2|23|85|122|106|81|4S|N|12|HT
2|23|86|29|53|32|4S|N|11|S3
2|23|88|28|126|30|4S|N|11|D2
2|24|103|66|135|72|5D|W|10|SA
2|24|104|91|40|76|5DX|W|10|SK
2|24|108|123|83|55|4SX|N|9|HA
2|24|111|78|80|52|5D|W|10|SK
2|24|113|114|27|64|4SX|N|9|HK
2|24|118|2|79|18|3C|N|10|HA
2|24|125|8|33|7|4SX|N|9|HA
2|24|127|132|21|1|5D|W|10|SK
2|24|14|90|136|119|5DX|W|10|SA
2|24|17|117|26|93|4SX|N|7|HA
2|24|22|9|99|73|5D|W|10|SA
2|24|36|41|130|3|5SX|N|9|HA
2|24|39|61|98|96|4S|N|8|HA
2|24|45|51|37|19|4D|W|10|SK
2|24|54|67|87|107|4S|N|9|HA
2|24|56|43|121|58|3S|N|8|HK
2|24|57|48|112|133|4SX|N|8|HK
2|24|71|70|50|120|4C|N|7|HK
2|24|74|77|75|38|3D|W|10|SK
2|24|85|122|106|81|5DX|W|10|SA
2|24|86|29|53|32|5SX|N|9|HK
2|24|88|28|126|30|4D|E|10|H3
2|25|103|66|135|72|2H|E|7|D3
2|25|104|91|40|76|1N|N|8|S3
2|25|108|123|83|55|2D|N|6|HQ
2|25|111|78|80|52|2C|W|10|H4
2|25|113|114|27|64|1NX|S|3|CK
2|25|118|2|79|18|2D|N|7|C4
2|25|125|8|33|7|2C|E|10|S4
2|25|127|132|21|1|2S|E|8|D3
2|25|14|90|136|119|3C|W|9|C9
2|25|17|117|26|93|1NX|N|7|H6
2|25|22|9|99|73|3N|W|6|D3
2|25|36|41|130|3|3C|W|11|D5
2|25|39|61|98|96|4C|W|11|D5
2|25|45|51|37|19|1NX|S|4|CK
2|25|54|67|87|107|2H|E|7|D3
2|25|56|43|121|58|3N|E|8|H5
2|25|57|48|112|133|2D|N|7|S3
2|25|71|70|50|120|1N|N|8|H3
2|25|74|77|75|38|3C|W|11|D5
