                                                       |             |              |           Play           |        Declaring         |                Defending              |
BRINGOLD Solange - SIMONNET Brigitte                   |  192  -0.56 | -0.45  -0.11 |  0.00 ( 93)  -0.22 ( 99) |  0.12 ( 57)  -0.19 ( 36) |  0.31 ( 51)  -0.28 ( 48)  -0.24 ( 99) |
DHAMASIRI Chuanpit - MEKCHARAS Supang                  |  160  -0.63 | -0.31  -0.32 | -0.41 ( 81)  -0.24 ( 78) | -0.34 ( 44)  -0.48 ( 37) |  0.14 ( 40)  -0.17 ( 38)  -0.23 ( 78) |
GRENIE Jany - MOERS Jeanine                            |  176  -0.64 | -0.39  -0.25 | -0.25 ( 76)  -0.25 (100) | -0.38 ( 38)  -0.13 ( 38) | -0.05 ( 47)  -0.08 ( 53)  -0.18 (100) |
AL GHUSSAIN Malak - KANAN Noura                        |  128  -0.67 | -0.33  -0.34 | -0.62 ( 65)  -0.05 ( 63) | -0.75 ( 32)  -0.51 ( 33) | -0.09 ( 36)   0.92 ( 27)  -0.40 ( 63) |
KANOKWATANAWAN Uraiwan - SITTHICHAROENSAWAT Pavinee    |  208  -0.73 | -0.38  -0.35 | -0.15 (104)  -0.55 (104) |  0.41 ( 46)  -0.59 ( 58) | -0.23 ( 54)  -0.02 ( 50)  -0.42 (104) |
KUZNIATSOVA Larysa - BELIANKINA Zoya                   |  144  -0.73 | -0.31  -0.42 | -0.43 ( 79)  -0.41 ( 65) | -0.68 ( 41)  -0.16 ( 38) | -0.00 ( 39)  -0.18 ( 26)  -0.34 ( 65) |
HOMSY Marguerite - SHATILA Samia                       |  128  -0.96 | -0.52  -0.44 | -0.64 ( 70)  -0.19 ( 58) | -1.11 ( 33)  -0.23 ( 37) | -0.28 ( 34)  -0.21 ( 24)   0.06 ( 58) |
JARDANEH Zaha - JOUDEH Zahia                           |  160  -0.99 | -0.25  -0.74 | -0.72 ( 83)  -0.77 ( 76) | -0.95 ( 44)  -0.47 ( 39) | -0.39 ( 39)  -0.22 ( 37)  -0.47 ( 76) |
DARDARANANDA Tassamon - BISALPUTRA Pimpraphai          |  176  -1.09 | -0.40  -0.69 | -0.52 ( 92)  -0.88 ( 83) | -1.05 ( 38)  -0.15 ( 54) | -0.14 ( 45)  -0.30 ( 38)  -0.67 ( 83) |
LAFON Jacqueline - ROUVRAIS Simone                     |  176  -1.13 | -0.56  -0.57 | -0.90 ( 86)  -0.26 ( 89) | -0.62 ( 33)  -1.08 ( 53) | -0.33 ( 47)  -0.52 ( 42)   0.17 ( 89) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
YAMADA Mizuko Tan - SHIMAMURA Kyoko                    |   16   2.38 |  1.64   0.74 |  0.64 (  6)   0.89 (  9) |  0.27 (  3)   1.00 (  3) | -0.20 (  2)   0.00 (  7)   0.93 (  9) |
HAMADEH Maha - KANAN Noura                             |   16   0.50 | -0.67   1.17 |  0.92 (  8)   1.42 (  8) |  1.39 (  5)   0.15 (  3) | -0.12 (  5)   2.26 (  3)   0.65 (  8) |
GRENIE Jany - BISTOQUET Chantal                        |   16  -0.44 | -0.34  -0.10 |  0.30 (  7)  -0.41 (  9) |     - (  0)   0.30 (  7) |  0.15 (  4)   0.06 (  5)  -0.51 (  9) |
JOUDEH Zahia - KANAN Noura                             |   16  -1.06 | -0.85  -0.22 | -1.96 (  3)   0.19 ( 13) | -2.15 (  2)  -1.60 (  1) |  0.44 (  6)   0.41 (  7)  -0.24 ( 13) |
HOMSY Marguerite - KHOURI Maud                         |   16  -1.25 | -0.36  -0.89 | -2.15 (  5)  -0.31 ( 11) | -9.00 (  1)  -0.43 (  4) | -0.46 (  6)  -0.66 (  5)   0.24 ( 11) |
VASANTH Sathyavathi - CHARI Lakshmi                    |   16  -1.31 | -1.35   0.03 |  0.25 (  9)  -0.24 (  7) |  2.38 (  6)  -4.00 (  3) | -0.02 (  5)  -0.19 (  2)  -0.17 (  7) |
JARDANEH Zaha - KANAN Noura                            |   16  -2.00 | -1.15  -0.85 | -0.24 (  7)  -1.33 (  9) | -0.25 (  1)  -0.24 (  6) | -0.22 (  3)  -0.45 (  6)  -0.95 (  9) |

