                                                       |             |              |           Play           |        Declaring         |                Defending              |
EIDI Michel - HARFOUCHE Gabriel                        |  224  -0.07 |  0.03  -0.10 | -0.18 (119)  -0.01 (103) | -0.23 (107)   0.25 ( 12) |  0.02 ( 10)  -0.19 ( 93)   0.16 (103) |
JOVANOVIC Dejan - KOLDZIC Zoran                        |  272  -0.09 | -0.12   0.03 |  0.18 (131)  -0.10 (140) | -0.03 ( 79)   0.48 ( 52) |  0.37 ( 70)  -0.09 ( 70)  -0.24 (140) |
SAULIS Alvydas - VAINIKONIS Erikas                     |  176  -0.10 | -0.30   0.20 |  0.00 ( 84)   0.38 ( 92) |  1.11 ( 35)  -0.79 ( 49) |  0.46 ( 45)   0.25 ( 47)   0.03 ( 92) |
KOKSOY Enver - OZGUL Levent                            |  128  -0.10 | -0.00  -0.10 | -0.11 ( 65)  -0.10 ( 63) | -0.57 ( 27)   0.22 ( 38) |  0.11 ( 23)  -0.11 ( 40)  -0.06 ( 63) |
COMPTON Chris - HAMMAN Bob                             |  144  -0.17 | -0.61   0.44 |  0.62 ( 70)   0.27 ( 73) |  0.79 ( 35)   0.46 ( 35) | -0.11 ( 41)   0.47 ( 32)   0.12 ( 73) |
ZIVKOVIC Gojko - MOSSOP David                          |  176  -0.19 | -0.35   0.17 |  0.03 (101)   0.36 ( 74) |  0.17 ( 45)  -0.08 ( 56) |  0.05 ( 41)   0.34 ( 33)   0.18 ( 74) |
GROSSET Philippe - TOULET Sandra                       |  176  -0.26 | -0.30   0.05 |  0.18 ( 73)  -0.05 (103) |  0.35 ( 41)  -0.04 ( 32) |  0.01 ( 53)   0.06 ( 50)  -0.08 (103) |
SIMON Philippe - TOULET Patrice                        |  176  -0.26 |  0.40  -0.66 | -0.70 ( 90)  -0.63 ( 84) | -0.95 ( 39)  -0.51 ( 51) | -0.12 ( 41)   0.25 ( 43)  -0.70 ( 84) |
CHIDIAC Pierre - HACHEM Tony                           |  128  -0.28 | -0.50   0.22 |  0.54 ( 64)  -0.11 ( 64) | -0.18 ( 32)   1.26 ( 32) |  0.34 ( 33)  -0.34 ( 31)  -0.12 ( 64) |
GHANEM Ghassan - HATTAR-GHANEM Nuha                    |  272  -0.30 | -0.21  -0.09 |  0.16 (150)  -0.41 (121) |  0.48 ( 83)  -0.22 ( 67) | -0.05 ( 60)  -0.14 ( 61)  -0.32 (121) |
KLINGER Ron - MULLAMPHY Matthew                        |  176  -0.36 |  0.04  -0.41 | -0.68 ( 67)  -0.24 (108) | -0.01 ( 27)  -1.14 ( 40) |  0.29 ( 54)  -0.25 ( 54)  -0.26 (108) |
PERISIC Marko - TODOROVIC Nebojsa                      |  272  -0.37 | -0.14  -0.22 | -0.40 (133)  -0.06 (137) | -0.52 ( 79)  -0.22 ( 54) |  0.05 ( 63)  -0.19 ( 74)   0.02 (137) |
PASQUINI Paolo - SULTAN Perla                          |  208  -0.54 | -0.44  -0.11 | -0.18 (100)  -0.04 (107) |  0.30 ( 47)  -0.61 ( 53) |  0.10 ( 66)  -0.05 ( 41)  -0.08 (107) |
AHMAD Mushir - MINWALLA Diniar                         |  272  -0.60 |  0.02  -0.62 | -0.52 (152)  -0.74 (120) | -0.96 ( 71)  -0.13 ( 81) | -0.19 ( 58)  -0.18 ( 62)  -0.56 (120) |
LA SPADA Olivier - MAGNUSSON Stephan                   |  160  -0.61 | -0.43  -0.19 |  0.19 ( 81)  -0.57 ( 79) | -0.02 ( 40)   0.41 ( 41) | -0.40 ( 34)   0.04 ( 45)  -0.43 ( 79) |
DROUET Didier - MONDON Yves                            |  176  -0.74 | -0.37  -0.38 | -0.49 ( 91)  -0.26 ( 84) | -0.15 ( 46)  -0.84 ( 45) |  0.02 ( 44)  -0.09 ( 40)  -0.23 ( 84) |
DIEBOLD Zoraida - ROSEN Eduardo                        |  176  -1.14 | -0.62  -0.52 | -0.26 ( 91)  -0.81 ( 85) |  0.06 ( 52)  -0.68 ( 39) | -0.07 ( 43)  -0.37 ( 42)  -0.59 ( 85) |
JANKAUSKAS Arunas - POSKA Gediminas                    |  160  -1.20 | -0.73  -0.46 | -0.40 ( 85)  -0.53 ( 75) | -0.50 ( 38)  -0.32 ( 47) | -0.06 ( 41)  -0.55 ( 34)  -0.25 ( 75) |
DANIEL George - DIKGANG Modisaotsile                   |  272  -1.39 | -0.73  -0.66 | -0.77 (114)  -0.60 (156) | -0.36 ( 61)  -1.24 ( 53) |  0.12 ( 72)  -0.24 ( 84)  -0.53 (156) |
MORGANTI Lillian - MORGANTI Ugo                        |  160  -1.63 | -0.68  -0.95 | -1.03 ( 76)  -0.90 ( 83) | -0.90 ( 39)  -1.16 ( 37) | -0.05 ( 41)  -0.14 ( 42)  -0.80 ( 83) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
CHIDIAC Pierre - HAMDAN Faycal                         |   64   1.47 |  0.38   1.09 |  1.89 ( 34)   0.18 ( 30) |  0.96 ( 12)   2.40 ( 22) |  0.14 ( 11)  -0.17 ( 19)   0.23 ( 30) |
FAYAD Mireille - HARFOUCHE Gabriel                     |   32   0.98 | -0.03   1.02 |  2.04 ( 10)   0.55 ( 22) |  2.04 ( 10)      - (  0) |  0.00 (  1)   0.21 ( 21)   0.35 ( 22) |
CARREON Ceferino - ANASTACIO Martin                    |   64  -0.03 | -0.18   0.15 |  0.64 ( 33)  -0.39 ( 30) |  1.03 ( 16)   0.28 ( 17) |  0.28 ( 15)  -0.64 ( 15)  -0.21 ( 30) |
FAYAD Mireille - HAMDAN Faycal                         |   80  -0.24 | -0.05  -0.19 | -0.06 ( 33)  -0.29 ( 45) | -0.91 ( 14)   0.57 ( 19) |  0.38 ( 23)  -0.44 ( 22)  -0.27 ( 45) |
REYES Vicente - VIROLA Romulo                          |   16  -0.27 |  0.09  -0.36 | -0.44 ( 12)  -0.12 (  4) |  0.14 (  8)  -1.61 (  4) | -0.13 (  2)  -0.07 (  2)  -0.02 (  4) |
ANASTACIO Martin - REYES Vicente                       |   96  -0.44 | -0.01  -0.43 |  0.15 ( 44)  -0.92 ( 52) | -0.16 ( 21)   0.43 ( 23) | -0.63 ( 33)   0.47 ( 19)  -0.69 ( 52) |
MAGNUSSON Stephan - SASSELLI Marco                     |   16  -0.46 | -0.19  -0.27 | -0.45 (  7)  -0.12 (  9) |  0.73 (  2)  -0.92 (  5) | -0.02 (  3)  -0.57 (  6)   0.27 (  9) |
MONDON Yves - TOULET Patrice                           |   16  -0.49 | -0.35  -0.14 |  1.31 (  2)  -0.34 ( 14) |     - (  0)   1.31 (  2) | -0.06 (  5)   0.25 (  9)  -0.48 ( 14) |
CARREON Ceferino - QUIMSON Angeles                     |   96  -0.57 | -0.74   0.17 |  0.19 ( 48)   0.15 ( 48) |  0.14 ( 25)   0.25 ( 23) |  0.06 ( 23)   0.26 ( 25)  -0.02 ( 48) |
SAULIS Alvydas - VAINIKONIS Vytautas                   |   16  -0.74 | -0.68  -0.06 |  1.38 (  6)  -0.93 ( 10) |  1.81 (  5)  -0.76 (  1) | -0.36 (  3)   0.92 (  7)  -1.46 ( 10) |
QUIMSON Angeles - REYES Vicente                        |   80  -1.32 | -0.87  -0.46 | -0.47 ( 42)  -0.44 ( 38) | -0.42 ( 17)  -0.50 ( 25) | -0.44 ( 15)  -0.32 ( 23)  -0.08 ( 38) |
HACHEM Tony - HAMDAN Faycal                            |   16  -1.49 | -1.74   0.25 |  0.30 ( 12)   0.11 (  4) |  0.19 (  8)   0.52 (  4) |  0.00 (  1)  -0.32 (  3)   0.35 (  4) |
ANASTACIO Martin - QUIMSON Angeles                     |   16  -1.81 | -1.49  -0.32 | -0.55 (  4)  -0.24 ( 12) |  0.04 (  2)  -1.15 (  2) |  0.03 ( 10)   0.17 (  2)  -0.29 ( 12) |
OLANSKI Wojtek - VAINIKONIS Erikas                     |   16  -2.21 | -0.97  -1.24 | -1.80 (  7)  -0.79 (  9) | -1.36 (  5)  -2.92 (  2) | -0.24 (  5)  -1.41 (  4)  -0.03 (  9) |

