                                                       |             |              |           Play           |        Declaring         |                Defending              |
XHORI Artan - XHULI Armand                             |   79  -0.48 | -0.30  -0.18 | -0.49 ( 34)   0.05 ( 45) | -0.23 ( 18)  -0.78 ( 16) |  0.22 ( 18)  -0.32 ( 27)   0.15 ( 45) |
KAPO Kostandin - XHORI Artan                           |   80  -0.52 | -0.59   0.07 |  0.23 ( 43)  -0.11 ( 37) |  0.05 ( 27)   0.53 ( 16) | -0.00 ( 22)  -0.10 ( 15)  -0.06 ( 37) |
HAMZARAJ Rasim - XHULI Vjollca                         |   48  -0.52 | -0.06  -0.46 | -0.13 ( 19)  -0.67 ( 29) |  1.46 ( 12)  -2.86 (  7) | -0.59 ( 15)   0.25 ( 14)  -0.49 ( 29) |
BRENNER Diego - FIGUEIREDO Mauricio                    |   47  -0.66 |  0.12  -0.78 | -0.48 ( 16)  -1.00 ( 29) | -0.54 (  9)  -0.39 (  7) | -0.24 ( 11)  -0.40 ( 18)  -0.66 ( 29) |
HAMZARAJ Rasim - SHEQI Gezim                           |   64  -1.34 | -0.67  -0.67 | -0.69 ( 29)  -0.65 ( 35) | -0.68 ( 24)  -0.78 (  5) |  0.10 ( 22)  -0.20 ( 13)  -0.64 ( 35) |
CHAGAS Gabriel - ASSUMPCAO Pedro Paulo                 |   16  -1.42 | -1.07  -0.35 | -0.07 (  8)  -0.62 (  8) |  0.70 (  6)  -2.40 (  2) |  0.08 (  2)  -0.12 (  6)  -0.55 (  8) |
KAPO Kostandin - XHULI Vjollca                         |   96  -1.71 | -0.49  -1.22 | -0.94 ( 40)  -1.42 ( 56) | -0.21 ( 26)  -2.30 ( 14) | -0.70 ( 22)   0.15 ( 34)  -1.24 ( 56) |
KAPO Kostandin - SHEQI Gezim                           |   48  -1.91 | -0.68  -1.24 | -1.91 ( 25)  -0.51 ( 23) | -2.83 ( 13)  -0.91 ( 12) |  0.26 ( 10)  -0.08 ( 13)  -0.57 ( 23) |
SHEQI Gezim - XHULI Armand                             |   80  -3.17 | -2.04  -1.14 | -1.28 ( 48)  -0.92 ( 32) | -1.70 ( 22)  -0.94 ( 26) | -0.91 ( 14)  -0.46 ( 18)  -0.26 ( 32) |

