                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
CAMBOURNAC Chantal - CAMBOURNAC Guy                    |  176  -1.07 | -0.67  -0.40 | -0.14 ( 90)  -0.67 ( 86) | -0.49 ( 35)   0.08 ( 55) |  0.03 ( 41)   0.03 ( 45)  -0.71 ( 86) |
BERRADA Mohammed Said - BENSOUDA Khalil                |  176  -1.09 | -0.50  -0.59 | -1.09 ( 89)  -0.10 ( 85) | -1.66 ( 45)  -0.50 ( 44) |  0.14 ( 46)   0.32 ( 39)  -0.32 ( 85) |
MARANGUNIC Beatriz - SANCHEZ Alejandro                 |  272  -1.12 | -0.71  -0.41 | -0.18 (129)  -0.61 (142) | -0.67 ( 62)   0.27 ( 67) | -0.23 ( 63)  -0.28 ( 79)  -0.36 (142) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
KNAP Andres - LANTARON Luis                            |   16   1.36 |  0.87   0.49 | -0.36 (  9)   1.58 (  7) |  0.25 (  4)  -0.85 (  5) |  1.34 (  5)   0.00 (  2)   0.63 (  7) |
GODED MERINO Gonzalo - LANTARON Luis                   |   48   1.26 |  0.72   0.54 |  0.91 ( 27)   0.06 ( 21) |  1.78 ( 12)   0.21 ( 15) |  0.97 ( 12)   0.07 (  9)  -0.52 ( 21) |
GODED Federico - LANTARON Luis                         |   80   0.45 |  0.43   0.02 | -0.35 ( 28)   0.22 ( 52) |  0.01 ( 17)  -0.89 ( 11) | -0.00 ( 23)   0.42 ( 29)  -0.01 ( 52) |
YEN Ding-Ming - HU Hsi Chen                            |   64   0.25 | -0.68   0.93 |  0.55 ( 30)   1.29 ( 33) |  1.04 ( 15)   0.06 ( 15) |  0.36 ( 14)   0.05 ( 19)   1.11 ( 33) |
WASIK Arturo - LANTARON Luis                           |   64   0.08 | -0.28   0.36 |  0.54 ( 28)   0.22 ( 35) |  1.00 ( 16)  -0.07 ( 12) | -0.23 ( 15)   0.51 ( 20)   0.03 ( 35) |
HUQ Qazi Habibul - ISLAM Khandakar Mobinul             |   80  -0.45 | -0.08  -0.37 | -0.36 ( 34)  -0.38 ( 46) | -0.16 ( 19)  -0.62 ( 15) |  0.11 ( 24)  -0.12 ( 22)  -0.38 ( 46) |
HU Hsi Chen - LIU Tien-Hsun                            |   16  -1.21 | -0.60  -0.61 | -1.40 ( 10)   0.71 (  6) | -2.30 (  6)  -0.04 (  4) | -0.54 (  4)  -2.11 (  2)   1.77 (  6) |
YEH Chen - SHIH Juei-Yu                                |   95  -1.24 | -0.68  -0.56 | -0.55 ( 55)  -0.58 ( 40) | -0.80 ( 28)  -0.29 ( 27) | -0.14 ( 16)  -0.06 ( 24)  -0.48 ( 40) |
HUQ Qazi Habibul - SALAHUDDIN Mohammed                 |   48  -1.37 | -0.80  -0.57 | -0.91 ( 19)  -0.34 ( 29) | -2.70 ( 12)   2.15 (  7) |  0.02 ( 14)  -0.18 ( 15)  -0.26 ( 29) |

