Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Dr. Michael Schneider - Gisela Smykalla;190;0,22;0,38;-0,15;-0,01;85;  -0,27;104;0,05;41;-0,07;44;;2b
Dr. Jean Georgiadis - Frank Reichelt;192;0,22;0,17;0,05;0,05;109;  0,05;83;0,06;59;0,04;50;;2b
Martin Rehder - Dr. Entscho Wladow;96;0,20;0,02;0,17;0,41;34;  0,04;62;0,64;19;0,12;15;;1
Clemens Oelker - Joachim Cappeller;191;0,19;-0,07;0,26;0,56;87;  0,01;103;0,29;41;0,79;46;;2a
Martin Loefgren - Nikolas Bausback;96;0,19;0,40;-0,21;-0,05;38;  -0,31;58;0,05;22;-0,19;16;;1
Stefan Häßler - Fred Wrobel;254;0,19;0,23;-0,04;-0,30;128;  0,21;126;-0,43;61;-0,18;67;;2b
Claus Daehr - George Cohner;192;0,19;0,16;0,02;0,09;103;  -0,05;89;0,25;52;-0,08;51;;1
Stefan Back - Heinrich Nowak;112;0,19;0,39;-0,20;0,00;57;  -0,41;55;-0,38;23;0,26;34;;2b
Robert Boeddeker - Flora Boeddeker;287;0,15;0,29;-0,14;0,20;147;  -0,50;140;-0,01;79;0,44;68;;2a
Klaus Reps - Bernard Ludewig;191;0,15;0,06;0,09;0,40;95;  -0,23;95;0,57;37;0,30;58;;1
Susanne Kriftner - Andrea Reim;160;0,12;-0,02;0,14;0,38;75;  -0,08;85;0,97;37;-0,19;38;;2b
Dr. Gerhard Göttsch - Henning Gärner;286;0,11;-0,14;0,25;0,23;146;  0,27;140;0,37;82;0,04;64;;2a
Fabian Hupe - Jascha Garre;288;0,11;0,15;-0,05;0,11;145;  -0,21;142;0,25;71;-0,02;74;;2a
Ralf Schmellekamp - Dimitri Markaris;176;0,10;0,07;0,03;-0,26;90;  0,33;85;0,22;47;-0,79;43;;1
Josias Prinz zu Waldeck - Hartmut Kondoch;192;0,08;0,14;-0,06;-0,15;89;  0,03;103;0,11;42;-0,39;47;;2b
Andeas Böhmer - Erhard Sternheimer;191;0,06;0,24;-0,18;-0,15;95;  -0,22;94;0,25;44;-0,49;51;;2b
Herbert Klumpp - Jochen Bitschené;224;0,06;0,11;-0,05;0,29;116;  -0,41;107;0,41;60;0,16;56;;1
Rainer Herrmann - Detlev Kröning;288;0,06;-0,21;0,27;0,37;158;  0,15;129;0,33;84;0,41;74;;2b
Claudia Lüßmann - Ingo Lüßmann;190;0,03;-0,22;0,26;0,92;95;  -0,41;93;0,94;40;0,91;55;;2b
Christian Dörmer - Holger Hoffmann;160;0,03;-0,05;0,08;0,20;82;  -0,05;77;-0,20;41;0,60;41;;2b
Rolf Beckmann - Wolfram Rach;127;0,03;-0,19;0,22;0,55;63;  -0,11;64;0,65;28;0,47;35;;2a
Hans-Jörg Schinze - Ingrid Gromann;191;0,02;0,07;-0,05;0,13;101;  -0,25;89;-0,25;55;0,57;46;;2a
Max Neumann - Helge Dzellak;128;0,02;0,26;-0,24;-0,25;62;  -0,23;66;0,47;34;-1,13;28;;2a
Peter Jokisch - Udo Kasimir;288;0,01;0,14;-0,14;-0,17;144;  -0,10;144;-0,63;75;0,33;69;;1
Miklós Dumbovich - Dr. László Gotthard;208;-0,02;0,09;-0,11;0,06;98;  -0,27;109;0,04;47;0,08;51;;1
Tomasz Gotard - Jacek Lesniczak;192;-0,03;-0,31;0,28;-0,02;90;  0,55;102;-0,09;37;0,03;53;;1
Dr. Frank Pioch - Dr. Rolf Kühn;192;-0,03;0,02;-0,05;-0,13;94;  0,02;98;-0,39;47;0,12;47;;1
Karin Buhr - Günter Buhr;288;-0,05;-0,13;0,08;-0,28;147;  0,47;141;0,02;66;-0,53;81;;2b
Paul Orth - Cristina Giampetro;96;-0,05;-0,03;-0,02;0,11;43;  -0,13;51;-0,28;16;0,34;27;;2a
Dr. Wolfgang Walenta - Hans Ott;128;-0,07;0,21;-0,28;0,19;74;  -0,94;53;0,44;44;-0,16;30;;2b
Julius Linde - Christian Schwerdt;192;-0,07;-0,04;-0,03;-0,26;86;  0,15;105;-0,19;43;-0,32;43;;1
Martin Hofmann - Dr. Peer Köster;191;-0,07;0,03;-0,10;0,15;86;  -0,31;103;-0,15;50;0,56;36;;2a
Lothar Schmidt - Martin Jentsch;191;-0,08;-0,20;0,12;0,56;89;  -0,25;102;-0,28;46;1,45;43;;2b
Jörg Kraemer - Dennis Kraemer;144;-0,08;-0,36;0,28;0,50;76;  0,04;67;1,51;37;-0,46;39;;2a
Robert Koch - Göran Mattsson;160;-0,09;-0,25;0,16;0,43;69;  -0,04;90;0,15;32;0,67;37;;2a
Roland Kühnle - Horst Borho;175;-0,11;0,06;-0,17;-0,29;78;  -0,07;97;-0,09;32;-0,43;46;;1
Loek Fresen - Waltraud Vogt;144;-0,12;-0,34;0,22;-0,09;69;  0,51;75;-0,27;46;0,29;23;;2a
Dirk Sanne - Fabian von Löbbecke;192;-0,12;0,09;-0,21;-0,05;97;  -0,38;94;0,14;56;-0,32;41;;1
Christian Farwig - Dr. Marcus Joest;192;-0,14;-0,16;0,03;0,37;95;  -0,31;97;-0,30;43;0,92;52;;1
Theo Reinhard - Helmut Schmid;128;-0,14;-0,11;-0,02;-0,19;67;  0,16;60;-0,29;40;-0,03;27;;2b
Prof, Ulrich Spengler - Werner Schneider;271;-0,15;-0,07;-0,08;-0,19;135;  0,03;135;-0,33;71;-0,03;64;;2a
Dieter Laidig - Gerben Dirksen;192;-0,15;-0,18;0,02;0,40;94;  -0,33;98;0,36;57;0,46;37;;2b
Christian Schlicker - Dr. Claus Günther;224;-0,19;-0,12;-0,07;0,40;104;  -0,47;119;1,13;59;-0,56;45;;1
Matthias Berghaus - Frank-Onno Bettermann;224;-0,19;-0,27;0,08;0,26;101;  -0,07;122;0,30;47;0,23;54;;2a
Rainer Handel - Christoph Kemmer;287;-0,20;-0,19;-0,01;0,00;156;  -0,02;130;-0,23;72;0,21;84;;1
Thomas Neuhauser - Dr. Regine Neuhauser-Riess;207;-0,20;-0,08;-0,12;-0,13;100;  -0,11;106;-0,32;62;0,20;38;;2b
Dirk Gyselinck - Andreas Schiffmann;286;-0,20;-0,27;0,07;0,28;141;  -0,13;145;0,31;64;0,25;77;;2a
Stefan Helling - Dr. Sören Hein;144;-0,21;0,00;-0,22;0,03;73;  -0,47;71;0,67;41;-0,80;32;;2a
Maria Würmseer - Felix Zimmermann;174;-0,22;-0,12;-0,09;0,00;84;  -0,18;89;0,15;48;-0,20;36;;2b
Claudia Vechiatto - Dr. Gerold Wieber;284;-0,24;-0,15;-0,09;0,03;140;  -0,21;144;0,55;76;-0,59;64;;2b
Stanislaus Kosikowski - Dr. Walter Höger;112;-0,25;0,08;-0,32;0,15;57;  -0,82;55;0,21;27;0,10;30;;2b
Laszló Honti - Dr. Josef Harsányi;208;-0,28;-0,38;0,11;0,31;109;  -0,11;99;0,44;52;0,18;57;;1
Klaus-Dieter Wacker - Wolfhart Umlauft;192;-0,29;-0,35;0,07;0,02;83;  0,10;109;-0,09;41;0,12;42;;2b
Axel Meuer - Otto Ruthenberg;127;-0,30;-0,16;-0,14;0,22;63;  -0,49;63;1,01;31;-0,55;32;;2b
Jürgen Hollich - Dr. Herbert Thieme;96;-0,30;-0,47;0,17;0,27;43;  0,09;53;0,87;23;-0,43;20;;2b
Klaus Kersting - Andreas Bollhorst;192;-0,31;0,22;-0,52;-0,60;109;  -0,43;83;-0,53;51;-0,66;58;;2a
Nedju Buchlev - Sebastian Reim;96;-0,31;-0,29;-0,02;-0,42;53;  0,48;43;0,04;29;-0,98;24;;1
Ulrich Wenning - Hans Frerichs;192;-0,32;-0,41;0,09;0,50;99;  -0,35;92;-0,25;44;1,10;55;;1
Beate Nehmert - Reiner Marsal;112;-0,38;-0,10;-0,28;-0,13;56;  -0,43;56;-0,40;25;0,10;31;;1
Eckhard Renken - Franz-Jürgen Röttger;144;-0,38;0,05;-0,43;0,34;64;  -1,04;80;0,86;29;-0,10;35;;2a
Ulrich Jahr - Jerzy Kozyczkowski;176;-0,39;-0,04;-0,35;0,22;90;  -0,94;86;-0,15;43;0,56;47;;1
Josef Piekarek - Alexander Smirnov;176;-0,44;-0,30;-0,14;0,30;87;  -0,58;89;0,71;37;-0,01;50;;1
Anja Alberti - Mirja Schraverus-Meuer;128;-0,48;-0,17;-0,31;0,03;55;  -0,57;73;-0,37;28;0,44;27;;2b
Rudi Eisenacht - Uwe Siedenburg;191;-0,54;-0,31;-0,23;0,03;106;  -0,56;85;0,15;60;-0,11;46;;2b
Angelika Röttger - Friedrich Kleißendorf;208;-0,56;-0,40;-0,16;-0,20;112;  -0,11;96;-0,54;58;0,16;54;;2a
Bernd Engelhardt - Andreas Visetti;208;-0,58;-0,35;-0,23;-0,26;97;  -0,20;111;-0,08;48;-0,43;49;;2a
Rüdiger Beck - Stefan Behn;96;-0,62;0,04;-0,66;-0,75;48;  -0,58;48;-0,59;24;-0,92;24;;2a
Jochen Paustian - Prof, Roland Schmidt;144;-0,69;-0,47;-0,23;-0,24;72;  -0,21;72;0,20;31;-0,57;41;;2a
Achim Greune - Diana Farken;192;-0,84;-0,23;-0,60;-0,69;101;  -0,52;89;-0,81;58;-0,53;43;;2a
Angela Gramberg - Norbert Schilhart;95;-0,84;-0,85;0,00;0,38;39;  -0,26;56;0,23;21;0,56;18;;1
Alexandra Schwerdt - Jenny Ewald;127;-1,22;-0,78;-0,44;-0,34;60;  -0,53;67;-0,42;31;-0,25;29;;2b

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Josef Knoll - Lothar Schmidt;32;1,34;1,00;0,34;0,25;18;  0,46;14;-1,22;6;0,99;12;;2b
Josef Knoll - Hans Ott;16;0,96;0,35;0,61;0,58;7;  0,63;9;-0,03;6;4,25;1;;2b
Stefan Behn - Dirk Nedler;48;0,89;0,64;0,26;0,08;26;  0,47;22;0,62;17;-0,94;9;;2a
Michael Gromöller - Helmut Häusler;48;0,76;0,63;0,14;0,31;31;  -0,18;17;0,28;15;0,33;16;;1
Dr. Andreas Kirmse - Helmut Häusler;48;0,32;0,30;0,02;0,26;29;  -0,35;19;-0,40;13;0,79;16;;1
Michael Gromöller - Dr. Andreas Kirmse;80;0,01;0,31;-0,30;0,29;38;  -0,86;41;0,41;22;0,13;16;;1
Theo Reinhard - Thomas Neuhauser;16;-0,29;-0,12;-0,16;-0,21;9;  -0,11;7;-0,04;1;-0,23;8;;2b
Rosaline Barendregt - Thomas Gotard;48;-0,30;-0,20;-0,10;-0,15;25;  -0,05;22;-0,78;17;1,17;8;;1
Dr. Claus Günther - Dr. Karl-Heinz Kaiser;32;-0,33;-0,16;-0,16;-0,54;15;  0,16;17;-1,28;6;-0,04;9;;1
Josef Knoll - Dr. Wolfgang Walenta;80;-1,03;-0,59;-0,44;-0,77;42;  -0,06;38;-1,65;18;-0,12;24;;2b
Theo Reinhard - Andeas Böhmer;16;-1,73;-0,67;-1,07;-0,38;7;  -1,60;9;-;0;-0,38;7;;2b
Dr. Regine Neuhauser-Riess - Erhard Sternheimer;16;-2,06;-1,66;-0,40;-0,26;8;  -0,55;8;-0,33;6;-0,06;2;;2b

