Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
Malcolm Mayer - Tom Jacob;220;0,08;0,03;0,06;0,03;124;  0,09;95;-0,60;69;0,82;55;0,00;47;0,00;48;0,09;95;
Manash Kumar Mukherjee - Rana Roy;240;0,08;-0,12;0,20;0,36;123;  0,03;117;0,42;77;0,26;46;0,00;64;0,00;53;0,03;117;
Jim Patrick - John Matheson;220;0,07;-0,21;0,29;0,47;117;  0,07;103;0,13;64;0,89;53;0,00;49;0,00;54;0,07;103;
Roman Smolski - Vera Petty;260;0,07;0,13;-0,06;-0,07;133;  -0,04;126;0,33;77;-0,64;56;0,00;59;0,00;67;-0,04;126;
Filip Kurbalija - Tim Rees;340;0,06;0,10;-0,03;-0,05;170;  -0,01;170;-0,19;73;0,05;97;0,00;97;0,00;73;-0,01;170;
Samuel Wan - Derek Zen;240;0,04;-0,15;0,19;0,52;119;  -0,14;121;0,86;53;0,25;66;0,00;56;0,00;65;-0,14;121;
Gocha Goshadze - David Chechelashvili;260;0,03;0,01;0,02;-0,30;122;  0,30;138;-0,55;58;-0,07;64;0,00;81;0,00;57;0,30;138;
Philippe Mathieu - Dominique Gerin;260;0,02;-0,03;0,05;0,18;127;  -0,07;133;0,51;57;-0,09;70;0,00;74;0,00;59;-0,07;133;
Vytautas Vainikonis - Wojtek Olanski;220;-0,01;-0,26;0,26;0,11;93;  0,36;127;0,18;44;0,04;49;0,00;61;0,00;66;0,36;127;
Hédi Baccour - Tahar Touil;180;-0,01;-0,10;0,09;0,13;77;  0,05;102;-0,57;37;0,78;40;0,00;56;0,00;46;0,05;102;
Ivars Rubenis - Ugis Jansons;220;-0,02;0,17;-0,18;0,22;103;  -0,54;117;0,12;56;0,33;47;0,00;64;0,00;53;-0,54;117;
Gopal Hingorani - Diniar Minwalla;336;-0,02;-0,16;0,14;0,18;169;  0,09;167;0,08;77;0,26;92;0,00;86;0,00;81;0,09;167;
Hong Dong Duong - Tarik Yalcin;240;-0,02;0,08;-0,10;0,09;114;  -0,27;125;0,08;66;0,09;48;0,00;56;0,00;69;-0,27;125;
Aris Filios - Yankos Papakyriacopoulos;220;-0,03;0,27;-0,30;-0,52;125;  -0,01;93;-0,20;55;-0,77;70;0,00;37;0,00;56;-0,01;93;
Ettore Pizza - Carlo Magnani;240;-0,03;-0,23;0,20;0,41;138;  -0,08;102;0,69;79;0,02;59;0,00;54;0,00;48;-0,08;102;
Ron Klinger - Bruce Neill;260;-0,04;0,09;-0,14;0,17;143;  -0,51;117;-0,01;76;0,38;67;0,00;65;0,00;52;-0,51;117;
Goran Borevkovic - Vedan Zoric;240;-0,05;0,34;-0,38;-0,32;115;  -0,44;125;-0,24;59;-0,40;56;0,00;67;0,00;58;-0,44;125;
Rui Santos - Sofia Pessoa;220;-0,05;-0,01;-0,04;0,03;120;  -0,13;98;0,40;64;-0,40;56;0,00;41;0,00;57;-0,13;98;
Alan Shum Sum Sze - Wai Kit Chan;220;-0,05;-0,37;0,32;0,54;101;  0,13;119;0,67;53;0,40;48;0,00;69;0,00;50;0,13;119;
Hector Camberos - Pablo Lambardi;120;-0,06;-0,07;0,01;0,65;54;  -0,53;65;0,93;29;0,33;25;0,00;41;0,00;24;-0,53;65;
Philip Gue - Terry Brown;180;-0,06;-0,12;0,05;0,07;92;  0,04;88;0,75;45;-0,58;47;0,00;38;0,00;50;0,04;88;
Hayet Hachimi - Mohamed Said Berrada;120;-0,08;0,05;-0,13;-0,41;59;  0,15;60;-0,38;28;-0,43;31;0,00;29;0,00;31;0,15;60;
Jean Pierre Bouveresse - Jeanine Moers;260;-0,08;0,05;-0,13;0,00;113;  -0,24;147;0,07;59;-0,07;54;0,00;68;0,00;79;-0,24;147;
Amar Nath Banerjee - Sumit Mukherjee;180;-0,09;0,21;-0,30;0,72;87;  -1,27;92;1,51;44;-0,10;43;0,00;53;0,00;39;-1,27;92;
Mika Salomaa - Sue Bäckström;320;-0,09;-0,26;0,17;0,19;152;  0,14;168;0,14;72;0,24;80;0,00;72;0,00;96;0,14;168;
Marwan Ghanem - Sireen Barakat;340;-0,10;0,07;-0,17;-0,06;148;  -0,25;190;-0,23;68;0,09;80;0,00;91;0,00;99;-0,25;190;
Jose Ignacio Torres - Antonio Frances;220;-0,11;0,36;-0,47;-0,69;107;  -0,26;111;-0,40;56;-1,01;51;0,00;49;0,00;62;-0,26;111;
Ranko Tica - Samir Dolarevic;196;-0,12;-0,07;-0,05;0,60;86;  -0,56;110;0,28;41;0,90;45;0,00;50;0,00;60;-0,56;110;
Jorge Cruzeiro - Paulo Gonçalves Pereira;220;-0,12;-0,22;0,10;-0,12;110;  0,32;110;0,15;46;-0,32;64;0,00;52;0,00;58;0,32;110;
Aarne Rummel - Ivar Kalma;220;-0,14;0,01;-0,15;-0,39;101;  0,06;118;-0,74;63;0,18;38;0,00;58;0,00;60;0,06;118;
Michal Zadrazil - David Vozábal;220;-0,14;-0,14;0,00;0,10;104;  -0,09;115;-0,06;49;0,26;55;0,00;50;0,00;65;-0,09;115;
Su-Beng Tan - Sze-Guan Tan;340;-0,14;-0,19;0,05;0,67;157;  -0,48;182;0,68;82;0,65;75;0,00;97;0,00;85;-0,48;182;
Ilkka Renno - Martin Löfgren;240;-0,15;-0,06;-0,09;-0,02;121;  -0,17;118;-0,10;57;0,05;64;0,00;64;0,00;54;-0,17;118;
James Priebe - Stephen Mackay;220;-0,16;-0,32;0,16;0,08;112;  0,24;106;0,38;56;-0,21;56;0,00;63;0,00;43;0,24;106;
