Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Eckhard Renken - Franz-Jürgen Röttger;192;-0,17;-0,18;0,01;-0,02;102;  0,05;89;-0,03;51;-0,01;51;;2
Kareen Schroeder - Dr. Josef Harsanyi;192;-0,22;-0,25;0,04;0,20;102;  -0,15;89;0,39;37;0,09;65;;2
Ralph Vitters - Bernd Gahntz;96;-0,23;-0,21;-0,02;0,55;42;  -0,49;52;0,57;20;0,53;22;;3b
Michael Thomsen - Dr. Gerben Dirksen;208;-0,24;0,13;-0,37;-0,30;104;  -0,44;103;0,02;51;-0,61;53;;3b
Uwe Schoolmann - Dr. Annikki Schoolmann;191;-0,25;0,06;-0,31;-0,41;108;  -0,19;82;-0,30;65;-0,57;43;;3c
Roland Kühnle - Ulrik Wittek;192;-0,27;-0,13;-0,14;-0,08;101;  -0,21;90;-0,01;58;-0,17;43;;2
Peter Klein - Walter Sorger;288;-0,27;-0,03;-0,24;0,09;149;  -0,60;136;0,46;74;-0,26;75;;3b
Loek Fresen - Waltraud Vogt;191;-0,27;-0,27;-0,01;0,20;99;  -0,23;92;0,32;54;0,07;45;;1
Ralf Schmellekamp - Dimitrios Markaris;191;-0,28;-0,11;-0,17;0,02;104;  -0,39;87;0,22;50;-0,17;54;;1
Niko Forchert - Dr. Silvia Klasberg-Brawanski;160;-0,31;-0,12;-0,19;0,01;71;  -0,35;89;-0,27;36;0,31;35;;3b
Ingeborg Metzler - Bernd Metzler;208;-0,32;-0,16;-0,15;-0,40;106;  0,10;101;-0,54;45;-0,29;61;;3a
Ingo Lüßmann - Claudia Lüßmann;192;-0,36;-0,32;-0,04;-0,03;99;  -0,06;93;-0,38;49;0,32;50;;1
Lukas Kautzsch - Arne Siegel;96;-0,36;-0,17;-0,19;0,14;47;  -0,52;49;-0,38;27;0,85;20;;2
Rainer Handel - Christoph Kemmer;192;-0,38;-0,24;-0,14;-0,10;99;  -0,19;93;-0,77;50;0,59;49;;1
Henning Gärner - Rainer Twele;288;-0,38;-0,38;-0,00;-0,27;136;  0,24;152;-0,23;86;-0,34;50;;3c
Matthias Voigt - Dr. Gerold Wieber;160;-0,39;-0,23;-0,16;-0,07;81;  -0,24;78;-0,24;43;0,12;38;;3b
Jürgen Nordmann - Kai Timofejew;191;-0,40;-0,29;-0,11;0,05;99;  -0,28;91;0,27;47;-0,15;52;;3a
Gerald Voigt - Lars Christiansen;192;-0,40;-0,24;-0,16;-0,20;83;  -0,13;109;-0,57;49;0,33;34;;3c
Dr. Herbert Thieme - Dr. Klaus Krtschil;144;-0,40;-0,08;-0,32;0,11;70;  -0,74;74;0,44;39;-0,29;31;;3b
Frank Reichelt - Dr. Jean Georgiades;192;-0,41;-0,44;0,03;-0,16;88;  0,20;104;0,08;40;-0,36;48;;1
Flora Zarkesch-Boeddeker - Robert Boeddeker;192;-0,43;-0,43;-0,00;-0,25;108;  0,32;84;0,43;50;-0,83;58;;2
Horst Hübner - Dr. Peer Köster;224;-0,43;-0,31;-0,13;0,04;105;  -0,27;119;-0,27;50;0,32;55;;3b
Jan van Oosten - Dr. Ansgar Seiter;192;-0,43;-0,12;-0,31;-0,47;98;  -0,14;93;-0,72;50;-0,22;48;;2
Marian Powalla - Adam Griger;176;-0,44;-0,39;-0,05;-0,29;81;  0,15;93;-0,30;45;-0,27;36;;3a
Eckhard Böhlke - Kathryn Herz;128;-0,47;0,01;-0,47;-0,80;61;  -0,17;67;-0,71;31;-0,90;30;;3a
Horst-Dieter Uhlmann - Peter Kazub;128;-0,48;0,01;-0,49;-0,24;73;  -0,86;53;-0,14;36;-0,35;37;;2
Andrea Reim - Pony Nehmert;96;-0,55;-0,27;-0,28;-0,06;50;  -0,52;45;-0,37;26;0,27;24;;2
Julius Linde - Christian Schwerdt;128;-0,55;-0,36;-0,18;-0,05;61;  -0,31;66;-0,51;20;0,17;41;;1
Helga Stoermer - Lutz Narajek;128;-0,55;-0,78;0,23;0,21;62;  0,25;66;-0,28;30;0,67;32;;3c
Ellen Sieprath - Lothar Schmidt;192;-0,56;-0,32;-0,24;0,04;91;  -0,50;101;-0,78;40;0,69;51;;3b
