                                                       |             |              |           Play           |        Declaring         |                Defending              |
W Olański - M Barylewski                               |   12   2.83 |  2.20   0.63 |  0.25 (  8)   1.40 (  4) |  0.31 (  3)   0.21 (  5) |  0.00 (  1)   0.21 (  3)   1.24 (  4) |
C Balicki - M Klukowski                                |   12   2.58 |  2.37   0.21 | -0.08 (  9)   1.07 (  3) |     - (  0)  -0.08 (  9) |  0.00 (  1)   0.00 (  2)   1.07 (  3) |
I Dzikowski - K Sikorski                               |   36   1.78 |  0.87   0.91 |  0.63 ( 18)   1.25 ( 17) | -1.05 (  6)   1.47 ( 12) |  0.50 ( 10)   0.42 (  7)   0.79 ( 17) |
D Kowalski - M Puczyński                               |   48   1.50 |  0.81   0.69 |  0.35 ( 21)   0.95 ( 27) |  1.01 ( 11)  -0.37 ( 10) |  0.32 ( 15)   0.30 ( 12)   0.64 ( 27) |
M Blat - M Witek                                       |   24   1.21 |  1.20   0.01 | -0.43 ( 11)   0.41 ( 12) | -3.15 (  3)   0.59 (  8) |  0.15 (  8)   0.08 (  4)   0.28 ( 12) |
W Strzemecki - P Janiszewski                           |   71   1.08 |  1.09  -0.00 |  0.03 ( 32)  -0.03 ( 39) | -0.24 ( 17)   0.34 ( 15) | -0.16 ( 22)   0.39 ( 17)  -0.11 ( 39) |
T Pilch - P Janiszewski                                |   12   1.08 |  0.77   0.32 |  1.61 (  5)  -0.61 (  7) |  1.33 (  3)   2.03 (  2) |  0.06 (  4)   0.21 (  3)  -0.74 (  7) |
J Zadroga - P Walczak                                  |   12   0.92 |  0.84   0.08 | -0.29 (  7)   0.59 (  5) |  0.00 (  2)  -0.40 (  5) | -0.18 (  4)   0.00 (  1)   0.73 (  5) |
W Wejknis - D Bogucki                                  |   72   0.89 |  0.68   0.21 |  0.98 ( 33)  -0.44 ( 39) |  0.44 ( 17)   1.56 ( 16) |  0.10 ( 18)   0.15 ( 21)  -0.57 ( 39) |
J Stworzewicz - Ł Brede                                |   60   0.65 |  0.53   0.12 | -0.06 ( 37)   0.41 ( 23) | -0.19 ( 26)   0.25 ( 11) |  0.48 ( 17)   0.05 (  6)   0.04 ( 23) |
K Nowak - M Wójcicki                                   |   60   0.62 |  0.58   0.03 |  0.33 ( 33)  -0.33 ( 27) |  0.29 ( 13)   0.36 ( 20) | -0.03 ( 11)  -0.21 ( 16)  -0.20 ( 27) |
J Poletyło - M Wójcicki                                |   36   0.61 |  0.61   0.00 |  0.08 ( 18)  -0.07 ( 18) | -0.16 ( 12)   0.56 (  6) |  0.46 (  7)   0.09 ( 11)  -0.30 ( 18) |
K Omernik - K Sikorski                                 |   12   0.42 |  1.27  -0.85 |  0.31 (  6)  -2.02 (  6) |  0.00 (  1)   0.38 (  5) |  0.04 (  4)  -5.50 (  2)  -0.21 (  6) |
J Rymwid - J Sieracki                                  |   12   0.42 |  0.05   0.37 |  0.47 (  4)   0.32 (  8) |  0.53 (  3)   0.30 (  1) |  0.93 (  5)  -0.06 (  3)  -0.24 (  8) |
A Robak - M Miłaszewski                                |   24   0.42 |  0.70  -0.28 |  0.81 ( 12)  -1.37 ( 12) |  2.44 (  3)   0.26 (  9) | -0.37 (  8)  -0.16 (  4)  -1.07 ( 12) |
S Gołębiowski - C Balicki                              |   72   0.36 |  0.27   0.09 |  0.22 ( 37)  -0.05 ( 35) |  0.06 ( 19)   0.39 ( 18) | -0.03 ( 16)  -0.00 ( 19)  -0.03 ( 35) |
K Pikus - L Sztyrak                                    |   84   0.36 |  0.28   0.08 |  0.07 ( 43)   0.09 ( 41) |  0.14 ( 23)  -0.01 ( 20) |  0.13 ( 26)   0.07 ( 15)  -0.01 ( 41) |
L Sztyrak - M Cichocki                                 |   12   0.25 |  0.30  -0.05 |  0.27 (  5)  -0.28 (  7) |  0.80 (  2)  -0.08 (  3) | -0.03 (  7)      - (  0)  -0.25 (  7) |
J Stworzewicz - M Blat                                 |   96   0.22 | -0.10   0.32 |  0.13 ( 45)   0.48 ( 51) |  0.43 ( 20)  -0.11 ( 25) |  0.14 ( 23)   0.71 ( 28)   0.03 ( 51) |
D Bogucki - B Małysz                                   |   24   0.21 |  0.26  -0.05 |  0.15 ( 16)  -0.44 (  8) |  0.31 ( 10)  -0.13 (  6) | -0.05 (  7)  -0.27 (  1)  -0.37 (  8) |
J Zadroga - P Ilczuk                                   |   12   0.17 |  0.60  -0.44 |  0.12 (  3)  -0.62 (  9) |  0.64 (  1)  -0.14 (  2) | -0.11 (  4)  -0.07 (  5)  -0.54 (  9) |
M Krupowicz - P Zawada                                 |   96   0.15 |  0.39  -0.25 |  0.18 ( 61)  -1.00 ( 35) |  0.07 ( 29)   0.28 ( 32) | -0.10 ( 18)  -0.27 ( 17)  -0.82 ( 35) |
A Kowalski - J Russyan                                 |   84   0.13 |  0.41  -0.27 |  0.32 ( 46)  -0.99 ( 38) |  0.67 ( 19)   0.07 ( 27) | -0.19 ( 13)  -0.37 ( 25)  -0.68 ( 38) |
R Szczepański - T Winciorek                            |   60   0.12 |  0.07   0.05 |  0.27 ( 29)  -0.15 ( 31) |  0.26 ( 13)   0.27 ( 16) |  0.02 ( 17)   0.30 ( 14)  -0.30 ( 31) |
W Jaworski - M Blat                                    |   48   0.08 | -0.08   0.16 |  0.27 ( 25)   0.04 ( 23) |  0.30 ( 15)   0.21 ( 10) | -0.00 ( 13)  -0.38 ( 10)   0.21 ( 23) |
D Bogucki - I Dzikowski                                |   48   0.06 | -0.32   0.38 | -0.07 ( 25)   0.87 ( 23) |  0.11 ( 14)  -0.31 ( 11) | -0.34 ( 12)   0.34 ( 11)   0.89 ( 23) |
J Klukowski - J Russyan                                |   72   0.01 |  0.07  -0.05 | -0.02 ( 40)  -0.10 ( 32) | -0.36 ( 23)   0.44 ( 17) | -0.13 ( 12)  -0.13 ( 20)   0.03 ( 32) |
W Wejknis - I Dzikowski                                |   24  -0.25 | -0.40   0.15 |  0.52 ( 10)  -0.11 ( 14) |  1.98 (  2)   0.15 (  8) |  0.09 (  7)   0.19 (  7)  -0.24 ( 14) |
A Jaszczak - P Janiszewski                             |   12  -0.25 | -0.25   0.00 | -0.66 (  6)   0.67 (  6) | -2.60 (  3)   1.28 (  3) | -0.08 (  4)   0.00 (  2)   0.72 (  6) |
C Balicki - W Starkowski                               |   12  -0.42 | -1.20   0.78 |  0.27 (  3)   0.96 (  9) |  0.00 (  1)   0.40 (  2) |  0.62 (  3)   0.69 (  6)   0.29 (  9) |
Z Halat - K Rogoziński                                 |   94  -0.48 | -0.71   0.24 | -0.16 ( 48)   0.65 ( 46) | -0.10 ( 25)  -0.23 ( 23) |  0.16 ( 32)   0.47 ( 14)   0.39 ( 46) |
W Sroczyński - P Tuszyński                             |   60  -0.55 | -0.88   0.33 |  0.10 ( 32)   0.60 ( 28) | -0.21 ( 15)   0.37 ( 17) |  0.07 ( 16)   0.15 ( 12)   0.50 ( 28) |
T Winciorek - P Ilczuk                                 |   36  -0.56 |  0.15  -0.70 | -0.98 ( 16)  -0.48 ( 20) | -2.17 (  6)  -0.26 ( 10) |  0.11 ( 13)   0.15 (  7)  -0.60 ( 20) |
W Starkowski - A Żmudziński                            |   48  -0.65 | -0.42  -0.23 | -0.39 ( 26)  -0.04 ( 22) | -0.80 ( 15)   0.17 ( 11) | -0.13 ( 12)  -0.10 ( 10)   0.08 ( 22) |
J Skwark - A Robak                                     |   23  -0.65 | -0.41  -0.24 | -0.73 ( 16)   0.86 (  7) | -0.82 ( 13)  -0.34 (  3) | -0.11 (  6)  -2.40 (  1)   1.29 (  7) |
D Bogucki - K Sikorski                                 |   60  -0.73 | -0.47  -0.26 | -0.17 ( 27)  -0.33 ( 33) |  0.30 ( 17)  -0.98 ( 10) | -0.11 ( 16)  -0.05 ( 17)  -0.25 ( 33) |
Y Shpuntou - M Superson                                |   84  -0.75 | -0.65  -0.10 | -0.29 ( 47)   0.13 ( 37) |  0.01 ( 24)  -0.59 ( 23) | -0.06 ( 21)  -0.01 ( 16)   0.17 ( 37) |
J Skwark - M Blat                                      |   24  -0.75 |  0.63  -1.38 | -0.86 (  9)  -1.70 ( 15) | -1.76 (  5)   0.27 (  4) | -0.36 ( 13)  -0.07 (  2)  -1.38 ( 15) |
Y Shpuntou - M Bojarski                                |   96  -0.75 | -0.62  -0.13 | -0.22 ( 45)  -0.04 ( 51) | -0.13 ( 19)  -0.29 ( 26) | -0.01 ( 21)  -0.18 ( 30)   0.07 ( 51) |
V Vainikonis - W Olański                               |   72  -0.76 | -0.59  -0.18 | -0.87 ( 50)   1.40 ( 22) | -1.34 ( 32)  -0.04 ( 18) |  0.98 ( 17)   1.62 (  5)   0.28 ( 22) |
J Skwark - J Stworzewicz                               |   48  -0.77 | -0.33  -0.44 |  0.00 ( 28)  -1.06 ( 20) | -0.07 ( 20)   0.17 (  8) | -0.30 (  8)  -0.38 ( 12)  -0.72 ( 20) |
Ł Brede - M Witek                                      |   24  -0.83 |  0.20  -1.03 | -1.68 ( 13)  -0.28 ( 11) | -3.54 (  6)  -0.08 (  7) | -0.04 (  3)  -0.01 (  8)  -0.26 ( 11) |
W Jaworski - Ł Brede                                   |   24  -0.88 |  0.27  -1.15 | -1.17 ( 14)  -1.11 ( 10) | -0.22 ( 10)  -3.56 (  4) | -0.07 (  6)   1.84 (  4)  -1.80 ( 10) |
J Rymwid - M Wójcicki                                  |   60  -0.88 | -0.69  -0.19 | -0.11 ( 30)  -0.28 ( 30) |  0.14 ( 21)  -0.70 (  9) | -0.37 ( 19)   1.07 ( 11)  -0.44 ( 30) |
W Gaweł - P Tuczyński                                  |   24  -0.92 | -0.97   0.05 | -0.15 ( 11)   0.22 ( 13) | -0.28 (  4)  -0.08 (  7) |  0.66 (  6)  -0.78 (  7)   0.33 ( 13) |
Z Rogowski - M Cichocki                                |   12  -0.92 |  1.23  -2.15 | -2.77 (  6)  -1.53 (  6) | -3.79 (  4)  -0.73 (  2) |  0.00 (  1)   0.07 (  5)  -1.58 (  6) |
A Lućko - M Superson                                   |   48  -1.04 | -1.16   0.12 |  0.30 ( 18)   0.01 ( 30) |  0.57 ( 13)  -0.41 (  5) |  0.82 ( 17)   0.24 ( 13)  -0.55 ( 30) |
Z Beling - J Olczyk                                    |   60  -1.05 | -0.22  -0.83 | -0.79 ( 33)  -0.87 ( 27) | -1.60 ( 19)   0.30 ( 14) |  0.21 ( 16)  -0.02 ( 11)  -0.99 ( 27) |
M Miłaszewski - M Witek                                |   84  -1.06 | -0.45  -0.61 |  0.01 ( 44)  -1.30 ( 40) | -0.72 ( 29)   1.41 ( 15) |  0.08 ( 13)  -0.20 ( 27)  -1.19 ( 40) |
W Jaworski - J Skwark                                  |   12  -1.08 |  0.70  -1.79 | -1.01 (  6)  -2.56 (  6) | -0.73 (  2)  -1.15 (  4) | -1.66 (  3)  -0.23 (  3)  -1.62 (  6) |
R Szczepański - J Zadroga                              |   12  -1.17 | -1.21   0.05 | -0.38 (  6)   0.47 (  6) | -0.54 (  3)  -0.22 (  3) | -0.73 (  1)   0.32 (  5)   0.33 (  6) |
S Henclik - K Omernik                                  |   12  -1.17 | -1.44   0.27 | -0.30 (  6)   0.85 (  6) | -1.35 (  2)   0.22 (  4) |  0.07 (  3)  -0.22 (  3)   0.93 (  6) |
M Bojarski - M Chodacki                                |   84  -1.21 | -0.98  -0.24 |  0.16 ( 41)  -0.61 ( 43) |  0.68 ( 25)  -0.65 ( 16) |  0.51 ( 20)  -0.37 ( 23)  -0.65 ( 43) |
J Skwark - Ł Brede                                     |   23  -1.30 | -1.80   0.50 |  0.62 ( 15)   0.27 (  8) |  1.48 (  5)   0.19 ( 10) |  0.19 (  4)  -0.13 (  4)   0.23 (  8) |
Ł Brede - M Blat                                       |   12  -1.33 | -0.85  -0.49 | -0.83 (  4)  -0.31 (  8) | -1.11 (  3)   0.00 (  1) | -0.24 (  5)  -0.18 (  3)  -0.10 (  8) |
A Robak - M Witek                                      |   60  -1.40 | -0.84  -0.56 | -0.81 ( 35)  -0.20 ( 25) | -0.45 ( 11)  -0.98 ( 24) |  0.11 ( 11)   0.07 ( 14)  -0.28 ( 25) |
A Zaleski - B Małysz                                   |   60  -1.45 | -1.00  -0.45 | -0.20 ( 32)  -0.74 ( 28) | -0.52 ( 15)   0.08 ( 17) |  0.36 (  8)   0.01 ( 20)  -0.85 ( 28) |
T Przybora - G Narkiewicz                              |   60  -1.77 | -1.70  -0.07 | -0.28 ( 37)   0.28 ( 23) | -0.46 ( 14)  -0.17 ( 23) |  0.02 (  9)   0.65 ( 14)  -0.13 ( 23) |
M Chodacki - M Superson                                |   48  -2.21 | -1.56  -0.64 | -1.31 ( 21)  -0.13 ( 27) | -2.01 (  8)  -0.88 ( 13) |  0.04 ( 13)  -0.23 ( 14)  -0.03 ( 27) |
A Jaszczak - W Strzemecki                              |   35  -2.31 | -1.38  -0.94 | -0.95 ( 14)  -0.92 ( 21) | -2.61 (  6)   0.29 (  8) | -0.02 ( 11)  -1.46 ( 10)  -0.22 ( 21) |
B Pazur - M Pieczka                                    |   12  -2.50 | -1.06  -1.44 | -1.70 (  9)  -0.65 (  3) | -2.22 (  7)   0.11 (  2) |  1.05 (  2)   0.10 (  1)  -1.39 (  3) |
T Przybora - M Kwiecień                                |   24  -2.00 | -1.40  -0.60 | -1.03 ( 13)  -0.08 ( 11) | -0.95 ( 10)  -1.30 (  3) | -0.29 (  7)  -0.41 (  4)   0.26 ( 11) |

