Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
W Jaworski - P Janiszewski;12;-0,67;0,71;-1,38;-1,61;8;  -0,91;4;-2,07;5;-0,83;3;-0,29;3;-1,99;1;-0,20;4;
T Pilch - Z Papierniak;24;-0,67;-0,27;-0,40;-1,17;12;  0,37;12;-0,99;9;-1,69;3;-0,29;5;0,01;7;0,48;12;
W Kaźmierczak - P Dybicz;60;-0,80;-0,83;0,03;-0,13;33;  0,22;27;-0,59;15;0,25;18;0,48;6;0,01;21;0,11;27;
J Janowski - M Tutka;23;-0,83;-0,48;-0,34;-0,62;14;  0,10;8;-1,07;10;0,48;4;0,28;5;0,01;3;-0,07;8;
T Gotard - B Małysz;48;-0,85;-0,25;-0,60;-0,50;25;  -0,75;22;-0,24;9;-0,65;16;0,12;15;-0,47;7;-0,68;22;
B Małysz - A Zaleski;60;-1,02;-1,07;0,05;0,34;27;  -0,18;33;-0,09;11;0,63;16;-0,24;15;-0,22;18;0,05;33;
E Warząchowski - K Kleinrok;72;-1,03;-0,05;-0,98;-0,79;28;  -1,10;44;-0,98;16;-0,54;12;-0,13;26;-0,24;18;-0,92;44;
T Raczkiewicz - M Atalski;72;-1,10;-0,61;-0,49;0,19;37;  -1,21;35;-0,25;14;0,47;23;-0,08;20;-0,39;15;-0,99;35;
E Warząchowski - A Lubojemski;48;-1,10;-0,80;-0,30;-0,20;26;  -0,43;22;0,20;17;-0,94;9;0,18;14;-0,49;8;-0,37;22;
S Walerowicz - J Rymwid;48;-1,10;-1,01;-0,10;-0,80;21;  0,45;27;-0,95;5;-0,76;16;0,77;9;-0,52;18;0,54;27;
Z Rogowski - M Cichocki;24;-1,13;-1,05;-0,07;0,25;7;  -0,20;17;0,43;5;-0,22;2;-0,04;12;0,04;5;-0,18;17;
T Kluz - A Lubojemski;12;-1,25;-0,79;-0,46;-1,29;8;  1,22;4;-0,57;4;-2,02;4;0,00;2;1,53;2;0,45;4;
L Majdański - M Kupnicki;84;-1,27;-0,72;-0,55;-0,54;38;  -0,56;46;-0,36;21;-0,76;17;-0,05;19;-0,25;27;-0,40;46;
W Jaworski - Z Papierniak;36;-1,39;-0,75;-0,64;-1,16;18;  -0,12;18;-0,61;12;-2,25;6;0,15;8;-0,01;10;-0,18;18;
S Henclik - B Małysz;12;-1,50;-1,44;-0,06;0,31;5;  -0,32;7;0,00;1;0,39;4;0,00;2;-0,15;5;-0,21;7;
T Jochymski - W Kaźmierczak;12;-1,50;-2,04;0,54;0,91;9;  -0,55;3;0,00;2;1,16;7;-0,55;3;-;0;0,00;3;
W Klapper - K Kleinrok;12;-1,50;0,06;-1,56;-1,79;7;  -1,24;5;-0,43;3;-2,81;4;-0,27;3;0,17;2;-1,14;5;
J Janowski - P Wiankowski;24;-1,79;-1,01;-0,78;-0,59;12;  -1,06;11;-0,55;6;-0,62;6;0,61;5;-0,10;6;-1,28;11;
M Pędziński - P Tuczyński;12;-1,92;-0,25;-1,67;-0,10;5;  -2,79;7;0,14;2;-0,26;3;0,65;2;-1,08;5;-2,20;7;
W Klapper - J Posłuszny;12;-1,92;-1,19;-0,73;-0,92;7;  -0,46;5;0,20;3;-1,77;4;0,07;4;0,25;1;-0,57;5;
J Posłuszny - A Lubojemski;47;-2,00;-1,21;-0,79;-0,29;19;  -1,22;26;0,27;9;-0,79;10;0,29;16;-0,03;10;-1,39;26;
T Włodarczak - W Janicki;36;-2,22;-0,90;-1,32;-0,60;15;  -1,84;21;-1,05;6;-0,29;9;-0,01;12;-2,38;9;-0,82;21;
T Gotard - K Sikorski;12;-3,00;-3,05;0,05;0,13;6;  -0,03;6;0,00;2;0,19;4;0,82;4;0,00;2;-0,58;6;

