                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
S Walerowicz - W Janicki                               |  108  -0.56 | -0.39  -0.16 | -0.26 ( 61)  -0.03 ( 47) |  0.55 ( 26)  -0.87 ( 35) |  0.29 ( 19)  -0.02 ( 28)  -0.14 ( 47) |
T Kluz - J Mścisz                                      |  228  -0.65 | -0.23  -0.43 | -0.50 (103)  -0.38 (122) | -0.59 ( 56)  -0.39 ( 47) | -0.31 ( 57)  -0.50 ( 65)   0.03 (122) |
W Talar - J Dmowski                                    |  120  -0.82 | -0.59  -0.23 | -0.45 ( 55)  -0.04 ( 64) | -0.03 ( 20)  -0.68 ( 35) | -0.28 ( 30)  -0.10 ( 34)   0.14 ( 64) |
J Romański - R Grzelak                                 |  144  -0.97 | -0.35  -0.61 | -1.16 ( 72)  -0.06 ( 72) | -1.07 ( 34)  -1.24 ( 38) | -0.79 ( 38)  -0.26 ( 34)   0.48 ( 72) |
G Głasek - M Piwowarczyk                               |  156  -1.05 | -0.46  -0.59 | -0.96 ( 80)  -0.21 ( 76) | -1.42 ( 45)  -0.36 ( 35) |  0.18 ( 40)  -0.47 ( 36)  -0.08 ( 76) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
J Kalita - B Chmurski                                  |   12   1.41 |  1.91  -0.50 | -0.60 (  5)  -0.42 (  7) | -0.60 (  5)      - (  0) | -0.18 (  7)      - (  0)  -0.24 (  7) |
M Klukowski - P Zatorski                               |   96   1.28 |  1.28   0.00 | -0.26 ( 52)   0.32 ( 44) | -0.26 ( 29)  -0.26 ( 23) |  0.02 ( 20)   0.17 ( 24)   0.22 ( 44) |
J Kalida - J Russyan                                   |   12   1.09 |  0.46   0.63 |  1.18 (  9)  -1.02 (  3) | -1.12 (  3)   2.33 (  6) | -0.88 (  3)      - (  0)  -0.14 (  3) |
A Kowalski - P Lutostański                             |   12   1.06 |  0.01   1.05 |  0.28 (  8)   2.61 (  4) | -1.24 (  4)   1.79 (  4) | -0.27 (  2)  -0.02 (  2)   2.75 (  4) |
W Jaworski - A Szymczak                                |   60   1.02 |  0.54   0.48 |  0.53 ( 33)   0.43 ( 26) |  1.09 ( 16)   0.01 ( 17) |  0.27 ( 14)  -0.17 ( 12)   0.36 ( 26) |
W Kaźmierczak - Ł Witkowski                            |   24   0.99 |  1.07  -0.08 |  0.27 ( 11)  -0.40 ( 12) | -0.08 (  5)   0.56 (  6) |  0.23 (  6)   0.08 (  6)  -0.55 ( 12) |
K Pikus - M Cichocki                                   |   60   0.90 |  0.29   0.61 |  1.34 ( 30)  -0.12 ( 30) |  0.59 ( 10)   1.71 ( 20) |  0.21 ( 14)  -0.06 ( 16)  -0.18 ( 30) |
A Kowalski - M Krupowicz                               |   12   0.84 |  0.69   0.15 | -1.37 (  4)   0.91 (  8) |  0.00 (  2)  -2.74 (  2) | -0.46 (  4)   0.30 (  4)   0.99 (  8) |
W Kaźmierczak - P Nawrocki                             |   12   0.72 |  1.31  -0.58 | -1.71 (  8)   1.67 (  4) |  0.01 (  2)  -2.28 (  6) | -0.30 (  2)   0.75 (  2)   1.45 (  4) |
J Ciechomski - J Janowski                              |   84   0.67 |  0.93  -0.26 | -0.19 ( 44)  -0.32 ( 40) | -0.73 ( 25)   0.52 ( 19) | -0.39 ( 20)   0.34 ( 20)  -0.30 ( 40) |
S Gołębiowski - P Gawryś                               |   48   0.47 |  0.05   0.42 |  0.36 ( 18)   0.45 ( 30) |  0.47 (  9)   0.25 (  9) | -0.10 ( 12)   0.19 ( 18)   0.38 ( 30) |
M Gulczyński - M Pędziński                             |   36   0.38 | -0.29   0.67 |  0.33 ( 12)   0.85 ( 24) | -0.15 (  6)   0.80 (  6) |  0.08 (  9)   0.89 ( 15)   0.26 ( 24) |
E Warząchowski - M Atalski                             |   48   0.34 |  0.43  -0.08 | -0.24 ( 22)   0.05 ( 26) | -0.47 ( 14)   0.16 (  8) | -0.07 ( 12)   0.53 ( 14)  -0.20 ( 26) |
W Starkowski - P Gawryś                                |   60   0.34 |  0.06   0.27 |  0.02 ( 30)   0.53 ( 30) | -0.42 ( 16)   0.53 ( 14) |  1.14 ( 17)   0.19 ( 13)  -0.20 ( 30) |
L Sztyrak - M Cichocki                                 |   60   0.33 | -0.01   0.34 | -0.03 ( 28)   0.66 ( 32) |  0.31 ( 16)  -0.48 ( 12) | -0.02 ( 15)   0.74 ( 17)   0.28 ( 32) |
A Kowalski - J Russyan                                 |   84   0.32 |  0.41  -0.09 | -0.02 ( 36)  -0.14 ( 48) | -0.47 ( 15)   0.30 ( 21) |  0.18 ( 24)  -0.46 ( 24)   0.00 ( 48) |
N Sakowska - P Butryn                                  |   96   0.32 |  0.33  -0.02 |  0.06 ( 56)  -0.12 ( 40) |  0.90 ( 22)  -0.48 ( 34) | -0.15 ( 18)   0.16 ( 22)  -0.14 ( 40) |
S Henclik - T Gotard                                   |   36   0.25 | -0.07   0.32 | -0.18 ( 18)   0.82 ( 18) | -0.87 ( 11)   0.89 (  7) |  0.08 ( 12)   1.99 (  6)   0.11 ( 18) |
W Klapper - A Lubojemski                               |   72   0.12 |  0.13  -0.01 | -0.37 ( 33)   0.28 ( 39) |  0.10 ( 20)  -1.08 ( 13) |  0.19 ( 18)  -0.03 ( 21)   0.21 ( 39) |
T Gotard - W Wejknis                                   |   24  -0.02 |  0.33  -0.34 | -0.60 ( 11)  -0.12 ( 13) | -0.57 (  5)  -0.63 (  6) | -0.08 (  2)  -0.32 ( 11)   0.16 ( 13) |
Z Mącior - A Szymczak                                  |   24  -0.07 |  0.92  -0.99 | -1.13 ( 13)  -0.82 ( 11) |  0.07 (  7)  -2.53 (  6) |  0.58 (  3)  -0.53 (  8)  -0.60 ( 11) |
A Lubojemski - K Kleinrok                              |   72  -0.08 |  0.24  -0.31 | -0.59 ( 37)  -0.02 ( 34) | -1.10 ( 18)  -0.11 ( 19) |  0.33 ( 22)  -0.00 ( 12)  -0.23 ( 34) |
E Kaczmarek - J Leśniczak                              |   72  -0.12 | -0.23   0.11 |  0.75 ( 33)  -0.42 ( 39) |  1.22 ( 18)   0.18 ( 15) |  0.42 ( 18)   0.03 ( 21)  -0.63 ( 39) |
C Serek - M Dembiński                                  |   60  -0.22 | -0.34   0.12 |  0.41 ( 32)  -0.22 ( 28) |  0.24 ( 20)   0.69 ( 12) | -0.08 (  9)   0.25 ( 19)  -0.36 ( 28) |
M Pędziński - O Bestrzyński                            |   12  -0.24 | -0.99   0.76 |  0.24 (  9)   2.31 (  3) |  0.23 (  4)   0.25 (  5) |  1.83 (  3)      - (  0)   0.48 (  3) |
J Posłuszny - K Kleinrok                               |   24  -0.33 | -0.80   0.48 | -0.21 (  8)   0.82 ( 16) |  0.48 (  5)  -1.36 (  3) | -0.15 ( 10)   0.20 (  6)   0.84 ( 16) |
J Cieślak - J Moszyński                                |   72  -0.34 | -0.22  -0.12 |  0.07 ( 39)  -0.34 ( 33) |  0.43 ( 19)  -0.27 ( 20) | -0.66 ( 12)   0.36 ( 21)  -0.33 ( 33) |
K Pikus - L Sztyrak                                    |   48  -0.44 |  0.41  -0.85 | -0.91 ( 21)  -0.83 ( 26) | -0.39 ( 10)  -1.39 ( 11) | -0.03 ( 10)  -0.45 ( 16)  -0.54 ( 26) |
T Pilch - Z Papierniak                                 |   24  -0.47 | -0.10  -0.38 | -1.14 ( 12)   0.38 ( 12) | -0.93 (  9)  -1.78 (  3) | -0.23 (  5)   0.03 (  7)   0.46 ( 12) |
A Czech - A Szymczak                                   |   96  -0.60 | -0.64   0.05 |  0.15 ( 47)  -0.05 ( 49) | -0.20 ( 23)   0.49 ( 24) | -0.08 ( 28)   0.37 ( 21)  -0.17 ( 49) |
W Kaźmierczak - P Dybicz                               |   60  -0.79 | -0.85   0.06 | -0.08 ( 33)   0.24 ( 27) | -0.46 ( 15)   0.24 ( 18) |  0.39 (  6)   0.05 ( 21)   0.11 ( 27) |
T Kluz - A Lubojemski                                  |   12  -0.84 | -0.69  -0.15 | -0.91 (  8)   1.37 (  4) | -0.45 (  4)  -1.38 (  4) | -0.00 (  2)   1.47 (  2)   0.63 (  4) |
B Małysz - A Zaleski                                   |   60  -0.89 | -0.92   0.03 |  0.27 ( 27)  -0.17 ( 33) | -0.10 ( 11)   0.53 ( 16) | -0.21 ( 15)  -0.18 ( 18)   0.02 ( 33) |
E Warząchowski - A Lubojemski                          |   48  -0.89 | -0.62  -0.28 | -0.24 ( 26)  -0.32 ( 22) |  0.21 ( 17)  -1.08 (  9) |  0.14 ( 14)  -0.40 (  8)  -0.27 ( 22) |
W Jaworski - P Janiszewski                             |   12  -0.90 |  0.46  -1.36 | -1.67 (  8)  -0.73 (  4) | -2.19 (  5)  -0.79 (  3) | -0.25 (  3)  -1.72 (  1)  -0.12 (  4) |
J Janowski - M Tutka                                   |   23  -0.90 | -0.54  -0.35 | -0.59 ( 14)   0.01 (  8) | -1.10 ( 10)   0.68 (  4) |  0.21 (  5)   0.03 (  3)  -0.13 (  8) |
