Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
A Sarniak - G Brewiak;120;-0,03;-0,03;-0,01;0,02;54;  -0,02;66;0,06;25;-0,02;29;-0,03;38;-0,03;28;0,00;66;
P Tuszyński - M Nowosadzki;168;-0,04;-0,10;0,06;0,21;92;  -0,12;76;0,39;45;0,05;47;0,09;39;-0,01;37;-0,16;76;
P Zatorski - S Gołębiowski;108;-0,04;0,06;-0,10;-0,54;56;  0,37;52;-0,38;30;-0,71;26;0,49;24;0,11;28;0,09;52;
A Syrek - P Busse;192;-0,05;-0,24;0,19;0,22;100;  0,16;92;-0,18;57;0,75;43;-0,12;55;0,07;37;0,21;92;
A Zhukov - A Karbanovich;288;-0,06;-0,15;0,09;0,06;144;  0,12;144;-0,16;76;0,31;68;0,16;77;-0,14;67;0,11;144;
A Arlovich - E Vainikonis;120;-0,10;-0,27;0,18;0,38;64;  -0,05;56;0,45;34;0,29;30;0,10;35;-0,46;21;0,06;56;
T Rawicz - A Hintertan;204;-0,18;0,09;-0,28;-0,33;100;  -0,23;104;-0,11;49;-0,55;51;-0,41;60;0,01;44;0,00;104;
S Zakrzewski - E Miszewska;240;-0,27;-0,19;-0,08;-0,19;102;  0,00;138;-0,28;60;-0,08;42;0,31;78;-0,11;60;-0,12;138;
A Suwik - R Stoliński;216;-0,28;-0,40;0,12;0,10;106;  0,13;108;0,21;59;-0,03;47;-0,01;54;0,05;54;0,11;108;
T Ukraiński - M Bartkowski;240;-0,32;-0,03;-0,29;-0,81;113;  0,18;127;-0,55;55;-1,07;58;0,32;77;-0,16;50;0,04;127;
A Sarniak - E Harasimowicz;120;-0,36;-0,06;-0,30;-0,34;66;  -0,26;54;-0,58;36;-0,05;30;0,21;21;-0,41;33;-0,09;54;
E Warząchowski - M Atalski;132;-0,38;-0,15;-0,23;-0,42;60;  -0,08;72;-0,61;30;-0,23;30;-0,41;42;0,11;30;0,11;72;
M Jeleniewski - P Lutostański;108;-0,38;-0,06;-0,32;-0,13;61;  -0,56;47;-0,72;21;0,17;40;-0,30;30;-0,07;17;-0,35;47;
Z Halat - K Rogoziński;192;-0,41;-0,02;-0,40;-0,41;93;  -0,39;99;-0,14;45;-0,66;48;0,13;44;0,03;55;-0,46;99;
J Ciechomski - P Janiszewski;120;-0,44;-0,35;-0,08;0,04;52;  -0,18;68;-0,36;24;0,39;28;0,33;19;0,11;49;-0,35;68;
D Krajewski - L Łuniewski;264;-0,44;-0,33;-0,12;0,16;118;  -0,34;146;-0,11;54;0,38;64;-0,47;71;0,01;75;-0,11;146;
M Podsiadło - P Matkowski;132;-0,46;-0,20;-0,26;-0,40;58;  -0,15;74;-0,11;25;-0,62;33;0,10;37;-0,13;37;-0,13;74;
R Gardzielewski - O Bestrzyński;108;-0,57;-0,65;0,08;0,49;51;  -0,29;57;1,03;26;-0,07;25;-0,28;24;-0,33;33;0,01;57;
J Skwark - M Witek;252;-0,58;-0,36;-0,22;0,04;132;  -0,51;120;-0,23;68;0,33;64;-0,74;45;-0,19;75;-0,12;120;
A Wojtusiak - A Guła;180;-0,59;-0,40;-0,19;-0,03;103;  -0,41;77;0,06;56;-0,14;47;-0,00;38;-0,13;39;-0,34;77;
J Znamirowski - M Pietraszek;228;-0,71;-0,49;-0,22;-0,03;118;  -0,43;110;-0,31;56;0,22;62;-0,04;56;0,06;54;-0,44;110;
P Miechowicz - T Wiśniewski;131;-1,11;-0,09;-1,02;-0,91;57;  -1,11;74;-1,07;24;-0,79;33;-0,30;33;-0,86;41;-0,50;74;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
D Koproń - J Ciechomski;12;1,89;1,48;0,40;0,04;7;  0,91;5;-0,32;4;0,53;3;1,07;3;-0,42;2;0,44;5;
R Jagniewski - S Zawiślak;36;1,83;1,23;0,60;0,72;19;  0,47;17;0,52;12;1,04;7;-0,15;9;0,00;8;0,55;17;
J Kalida - J Russyan;12;1,24;-0,12;1,36;-0,44;3;  1,96;9;-0,38;2;-0,56;1;1,29;6;3,75;3;-0,15;9;
D Filipowicz - J Cieślak;12;1,09;1,89;-0,80;1,37;3;  -1,52;9;-0,62;2;5,36;1;-1,49;4;-0,64;5;-0,50;9;
R Kierznowski - Z Rogowski;60;1,03;0,11;0,92;0,07;23;  1,49;36;-0,01;13;0,17;10;0,03;18;0,95;18;1,01;36;
S Gołębiowski - K Jassem;12;0,88;0,78;0,10;1,04;5;  -0,57;7;0,94;4;1,40;1;0,27;1;-0,03;6;-0,58;7;
E Warząchowski - A Lubojemski;12;0,76;0,32;0,44;0,29;5;  0,56;7;0,00;1;0,36;4;0,84;4;0,31;3;-0,06;7;
J Michałek - J Stworzewicz;84;0,73;0,76;-0,02;-0,60;39;  0,48;45;-0,90;18;-0,34;21;0,10;30;0,63;15;0,20;45;
B Gierulski - L Sztyrak;48;0,58;0,20;0,38;0,35;26;  0,42;22;0,16;9;0,45;17;0,09;7;0,93;15;-0,24;22;
J Ciechomski - M Nowosadzki;12;0,56;-0,19;0,75;0,61;8;  1,02;4;0,53;6;0,86;2;-;0;0,05;4;0,96;4;
T Kluz - K Kleinrok;36;0,54;0,32;0,22;0,67;15;  -0,09;21;1,15;7;0,25;8;-0,18;15;-0,17;6;0,08;21;
Z Guła - M Błach;12;0,51;0,27;0,24;1,13;4;  -0,20;8;-0,18;2;2,44;2;0,01;3;-0,00;5;-0,21;8;
P Janiszewski - P Klimacki;12;0,44;1,34;-0,90;-1,89;5;  -0,19;7;-0,52;1;-2,23;4;-0,56;1;0,21;6;-0,29;7;
R Sakowicz - J Wachnowski;48;0,43;0,30;0,13;0,26;23;  0,01;25;0,35;14;0,12;9;0,20;12;0,27;13;-0,22;25;
J Klukowski - J Russyan;84;0,42;-0,23;0,65;0,72;44;  0,57;40;0,20;21;1,19;23;0,09;17;0,20;23;0,42;40;
A Wojtusiak - A Robak;60;0,41;0,21;0,21;0,32;28;  0,11;32;-0,37;19;1,78;9;-0,05;11;0,10;21;0,06;32;
S Gołębiowski - W Starkowski;35;0,41;0,30;0,10;0,72;18;  -0,55;17;0,38;9;1,07;9;-0,33;6;-0,31;11;-0,23;17;
E Zalewski - M Chwirut;48;0,40;0,61;-0,21;-0,30;19;  -0,15;28;-0,55;5;-0,22;14;0,08;17;0,01;11;-0,20;28;
M Kwiecień - M Wójcicki;36;0,39;-0,05;0,44;0,62;15;  0,31;21;-1,50;7;2,48;8;0,07;14;-0,31;7;0,37;21;
K Pikus - M Cichocki;84;0,38;0,14;0,24;0,23;41;  0,25;43;0,68;23;-0,35;18;0,47;22;-0,24;21;0,12;43;
A Sarniak - M Wiącek;24;0,38;0,68;-0,30;-0,45;11;  -0,17;13;-0,34;5;-0,53;6;0,05;7;-0,39;6;-0,02;13;
J Turczynowicz - L Ohrysko;60;0,38;-0,03;0,41;0,95;27;  -0,03;33;1,23;20;0,15;7;0,26;16;-0,26;17;-0,03;33;
J Turczynowicz - A Ratyński;60;0,21;-0,32;0,53;0,81;35;  0,13;25;1,16;16;0,52;19;-0,02;16;1,03;9;-0,23;25;
R Sakowicz - Z Halat;12;0,21;1,59;-1,38;-0,76;6;  -2,00;6;-0,82;3;-0,71;3;0,00;3;-0,58;3;-1,71;6;
E Zalewski - A Robak;12;0,19;0,48;-0,29;-1,60;5;  0,65;7;0,67;2;-3,11;3;0,06;3;0,21;4;0,50;7;
K Araszkiewicz - K Kotorowicz;96;0,17;0,09;0,08;-0,04;44;  0,19;52;0,09;23;-0,18;21;-0,07;31;0,33;21;0,10;52;
K Kleinrok - A Lubojemski;72;0,13;0,06;0,07;0,31;33;  -0,13;38;0,56;18;0,00;15;-0,59;23;0,01;15;0,22;38;
A Kowalski - P Lutostański;84;0,12;0,01;0,11;0,92;45;  -0,83;39;0,66;12;1,01;33;0,28;22;-1,04;17;-0,53;39;
W Sołtysik - M Błach;12;0,12;-0,10;0,22;0,26;8;  0,13;4;-1,34;3;1,23;5;-0,12;2;-0,95;2;0,67;4;
R Kierznowski - M Cichocki;84;0,06;0,15;-0,09;-0,23;44;  0,07;40;-0,51;29;0,30;15;0,53;27;-0,64;13;-0,08;40;
J Kalida - A Ratyński;12;0,02;0,79;-0,77;0,05;8;  -2,40;4;0,17;6;-0,32;2;0,00;2;-0,54;2;-2,13;4;
R Matlak - A Szepe;60;-0,01;-0,02;0,00;0,17;28;  -0,14;32;0,75;12;-0,27;16;-0,43;16;0,07;16;0,04;32;
S Gołębiowski - M Klukowski;24;-0,09;-1,14;1,06;2,23;14;  -0,59;10;2,45;5;2,11;9;0,21;6;0,88;4;-1,07;10;
P Zatorski - M Klukowski;96;-0,10;-0,26;0,16;0,33;57;  -0,08;39;0,50;38;-0,01;19;0,22;23;0,18;16;-0,28;39;
R Pepłoński - J Ciechomski;24;-0,12;0,54;-0,66;-1,13;12;  -0,20;12;-1,31;5;-0,99;7;-0,39;10;0,08;2;0,11;12;
R Kierznowski - L Sztyrak;84;-0,22;0,03;-0,25;-0,50;40;  -0,03;44;-0,55;15;-0,47;25;0,06;22;-0,31;22;0,09;44;
J Michałek - K Lichawski;48;-0,24;-0,26;0,02;-0,26;26;  0,35;22;-0,99;13;0,48;13;0,23;10;0,19;12;0,15;22;
P Żak - J Zaremba;48;-0,26;-0,54;0,28;-0,32;28;  1,12;20;-0,70;17;0,28;11;-0,59;10;-0,01;10;1,43;20;
J Posłuszny - K Kleinrok;72;-0,28;-0,43;0,15;-0,01;30;  0,26;42;0,68;13;-0,54;17;-0,04;12;-0,01;30;0,28;42;
S Gołębiowski - C Balicki;12;-0,28;-0,49;0,21;-0,00;8;  0,63;4;0,57;6;-1,72;2;0,00;4;-;0;0,63;4;
W Sołtysik - A Robak;12;-0,39;-1,21;0,82;0,49;6;  1,16;6;0,82;4;-0,19;2;0,22;5;6,50;1;-0,11;6;
A Jeleniewski - J Wachnowski;84;-0,42;-0,44;0,02;-0,09;39;  0,11;45;0,13;21;-0,34;18;-0,08;13;-0,05;32;0,17;45;
L Ohrysko - A Ratyński;36;-0,47;0,13;-0,60;-0,79;15;  -0,46;21;-0,28;9;-1,56;6;-0,14;6;0,15;15;-0,53;21;
A Guła - E Zalewski;12;-0,50;0,15;-0,65;-1,08;5;  -0,34;7;-2,26;2;-0,30;3;0,00;2;-0,16;5;-0,23;7;
L Łuniewski - M Wiącek;12;-0,51;-0,27;-0,24;0,20;8;  -1,13;4;0,12;3;0,25;5;-0,09;2;0,18;2;-1,18;4;
D Koproń - P Janiszewski;60;-0,58;-0,28;-0,30;0,10;31;  -0,72;29;0,26;20;-0,19;11;-0,13;10;-0,23;19;-0,52;29;
J Russyan - A Kowalski;48;-0,60;0,28;-0,88;-1,20;25;  -0,54;23;-1,46;21;0,20;4;-1,11;17;0,66;6;0,11;23;
R Kierznowski - K Pikus;36;-0,69;-0,23;-0,46;-0,12;14;  -0,68;22;-0,35;9;0,29;5;-1,19;8;-0,01;14;-0,24;22;
J Kalita - Ł Brede;84;-0,81;-0,71;-0,09;0,06;42;  -0,24;42;0,10;21;0,01;21;-0,06;25;-0,07;17;-0,18;42;
T Wiśniewski - D Zembrzuski;96;-0,82;-0,48;-0,34;-0,14;43;  -0,50;53;0,10;28;-0,59;15;-0,12;30;0,08;23;-0,46;53;
A Guła - M Błach;12;-0,83;0,32;-1,15;-1,03;8;  -1,39;4;-1,84;5;0,31;3;0,50;1;0,16;3;-1,63;4;
J Klukowski - A Kowalski;24;-0,87;-0,50;-0,37;-0,28;12;  -0,45;12;0,24;6;-0,81;6;0,03;6;-1,32;6;0,20;12;
J Kalita - K Kotorowicz;36;-0,99;-0,05;-0,94;-0,15;17;  -1,64;19;0,86;7;-0,87;10;0,08;9;-1,33;10;-0,97;19;
D Krajewski - M Wiącek;24;-1,04;-0,20;-0,84;-1,00;11;  -0,71;13;0,34;3;-1,50;8;0,32;7;-0,85;6;-0,49;13;
J Posłuszny - A Lubojemski;60;-1,09;-0,94;-0,15;-0,18;30;  -0,13;30;0,33;15;-0,68;15;-0,26;18;-0,25;12;0,13;30;
P Żak - J Cieślak;36;-1,19;-1,05;-0,14;-0,45;19;  0,22;17;-1,20;7;-0,02;12;0,16;11;1,08;6;-0,27;17;
L Sztyrak - M Cichocki;24;-1,31;-0,92;-0,38;0,66;13;  -1,61;11;0,06;8;1,62;5;0,14;9;0,00;2;-1,72;11;
A Sarniak - J Szczygieł;12;-1,33;-0,62;-0,72;-0,62;7;  -0,85;5;-0,73;6;0,00;1;0,00;1;-0,30;4;-0,61;5;
Z Rogowski - K Pikus;12;-1,46;-1,02;-0,44;-0,34;6;  -0,53;6;0,00;1;-0,41;5;-0,16;5;-0,59;1;-0,30;6;
T Urbański - M Wiącek;24;-1,85;-0,90;-0,95;-0,82;9;  -1,02;15;-1,50;3;-0,47;6;-0,26;9;-0,03;6;-0,86;15;
R Opaliński - T Ukraiński;12;-1,89;-0,79;-1,10;-1,53;5;  -0,79;7;-1,80;4;-0,43;1;-0,59;2;0,00;5;-0,63;7;
P Miechowicz - M Krajewski;24;-1,92;-1,05;-0,86;-1,09;10;  -0,70;14;0,25;4;-1,97;6;0,06;8;-0,94;6;-0,33;14;
P Niedzielski - D Filipowicz;12;-1,92;-0,79;-1,13;0,24;6;  -2,51;6;0,41;5;-0,59;1;-3,06;3;0,00;3;-0,98;6;
M Błach - A Robak;12;-2,19;-0,63;-1,56;0,62;7;  -4,61;5;-0,72;2;1,15;5;0,00;2;-0,86;3;-4,09;5;

