Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
L Majdański - M Kupnicki;144;0,10;0,06;0,04;-0,46;60;  0,41;83;-0,28;33;-0,69;27;-0,14;43;0,04;40;0,46;83;
Z Guła - M Łazanowski;156;0,08;-0,03;0,12;0,32;72;  -0,06;84;0,15;32;0,46;40;0,11;40;0,04;44;-0,13;84;
E Sobolewska - M Szymanowski;108;0,05;-0,09;0,14;-0,45;59;  0,85;49;-0,42;24;-0,47;35;-0,24;18;0,50;31;0,62;49;
J Stworzewicz - M Blat;108;0,04;0,37;-0,33;-0,52;60;  -0,09;48;-0,36;42;-0,91;18;-0,07;18;0,05;30;-0,09;48;
P Niedzielski - J Makaruk;120;0,02;0,05;-0,04;0,43;52;  -0,40;68;0,32;25;0,54;27;0,04;29;-0,06;39;-0,38;68;
A Zhukov - A Karbanovich;288;0,01;-0,12;0,13;0,10;144;  0,16;144;-0,18;76;0,40;68;0,17;77;-0,14;67;0,14;144;
A Sarniak - G Brewiak;120;-0,01;-0,03;0,02;-0,02;54;  0,06;66;0,08;25;-0,11;29;-0,05;38;0,02;28;0,08;66;
A Tsimakhovich - I Radziukevich;312;-0,03;0,20;-0,23;-0,22;147;  -0,24;165;-0,44;78;0,02;69;-0,12;94;0,09;71;-0,21;165;
P Zatorski - S Gołębiowski;108;-0,06;0,05;-0,12;-0,58;56;  0,38;52;-0,46;30;-0,72;26;0,53;24;0,12;28;0,07;52;
P Tuszyński - M Nowosadzki;168;-0,07;-0,14;0,07;0,26;92;  -0,15;76;0,46;45;0,07;47;0,09;39;0,00;37;-0,20;76;
T Kluz - Z Papierniak;228;-0,09;0,18;-0,27;-0,26;119;  -0,28;109;-0,20;49;-0,29;70;-0,10;57;0,39;52;-0,42;109;
A Arlovich - E Vainikonis;120;-0,10;-0,30;0,20;0,43;64;  -0,05;56;0,49;34;0,36;30;0,08;35;-0,43;21;0,06;56;
T Rawicz - A Hintertan;204;-0,11;0,18;-0,29;-0,33;100;  -0,25;104;-0,05;49;-0,60;51;-0,41;60;0,02;44;-0,02;104;
A Syrek - P Busse;192;-0,13;-0,34;0,21;0,19;100;  0,23;92;-0,21;57;0,73;43;-0,11;55;0,10;37;0,26;92;
A Suwik - R Stoliński;216;-0,25;-0,38;0,13;0,10;106;  0,17;108;0,20;59;-0,04;47;-0,01;54;0,03;54;0,16;108;
S Zakrzewski - E Miszewska;240;-0,30;-0,19;-0,11;-0,23;102;  -0,02;138;-0,30;60;-0,14;42;0,33;78;-0,14;60;-0,15;138;
A Sarniak - E Harasimowicz;120;-0,38;-0,06;-0,32;-0,37;66;  -0,26;54;-0,63;36;-0,05;30;0,22;21;-0,43;33;-0,09;54;
T Ukraiński - M Bartkowski;240;-0,43;-0,11;-0,31;-0,86;113;  0,17;127;-0,59;55;-1,11;58;0,32;77;-0,18;50;0,05;127;
E Warząchowski - M Atalski;132;-0,44;-0,17;-0,27;-0,42;60;  -0,15;72;-0,71;30;-0,14;30;-0,46;42;0,11;30;0,07;72;
Z Halat - K Rogoziński;192;-0,46;-0,03;-0,43;-0,44;93;  -0,42;99;-0,17;45;-0,69;48;0,15;44;-0,01;55;-0,48;99;
M Jeleniewski - P Lutostański;108;-0,47;-0,14;-0,34;-0,14;61;  -0,59;47;-0,70;21;0,15;40;-0,34;30;0,01;17;-0,38;47;
D Krajewski - L Łuniewski;264;-0,47;-0,34;-0,13;0,18;118;  -0,38;146;-0,11;54;0,43;64;-0,52;71;0,01;75;-0,13;146;
J Ciechomski - P Janiszewski;120;-0,47;-0,40;-0,08;0,09;52;  -0,21;68;-0,37;24;0,48;28;0,32;19;0,11;49;-0,37;68;
M Podsiadło - P Matkowski;132;-0,48;-0,25;-0,23;-0,37;58;  -0,12;74;-0,08;25;-0,59;33;0,10;37;-0,18;37;-0,08;74;
R Gardzielewski - O Bestrzyński;108;-0,56;-0,60;0,04;0,50;51;  -0,37;57;1,07;26;-0,09;25;-0,29;24;-0,38;33;-0,02;57;
J Skwark - M Witek;252;-0,56;-0,36;-0,21;0,09;132;  -0,54;120;-0,19;68;0,39;64;-0,73;45;-0,21;75;-0,13;120;
A Wojtusiak - A Guła;180;-0,68;-0,45;-0,23;-0,05;103;  -0,46;77;0,06;56;-0,19;47;0,02;38;-0,14;39;-0,40;77;
J Znamirowski - M Pietraszek;228;-0,78;-0,54;-0,24;-0,06;118;  -0,43;110;-0,36;56;0,22;62;-0,03;56;0,07;54;-0,46;110;
P Miechowicz - T Wiśniewski;131;-1,24;-0,14;-1,10;-0,99;57;  -1,19;74;-1,16;24;-0,86;33;-0,34;33;-0,88;41;-0,54;74;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
D Koproń - J Ciechomski;12;2,17;1,80;0,37;-0,02;7;  0,92;5;-0,53;4;0,67;3;0,92;3;-0,43;2;0,53;5;
R Jagniewski - S Zawiślak;36;2,03;1,43;0,59;0,72;19;  0,46;17;0,50;12;1,08;7;-0,25;9;0,00;8;0,59;17;
D Filipowicz - J Cieślak;12;1,42;2,24;-0,83;1,47;3;  -1,59;9;-0,69;2;5,80;1;-1,50;4;-0,65;5;-0,56;9;
J Kalida - J Russyan;12;1,17;-0,36;1,53;-0,51;3;  2,21;9;-0,35;2;-0,83;1;1,45;6;3,97;3;-0,08;9;
R Kierznowski - Z Rogowski;60;1,15;0,11;1,04;0,11;23;  1,67;36;0,06;13;0,18;10;0,03;18;1,00;18;1,15;36;
S Gołębiowski - K Jassem;12;1,08;1,04;0,04;1,15;5;  -0,75;7;1,00;4;1,75;1;0,25;1;0,02;6;-0,80;7;
E Warząchowski - A Lubojemski;12;1,00;0,50;0,50;0,36;5;  0,59;7;0,00;1;0,45;4;0,96;4;0,21;3;-0,05;7;
J Michałek - J Stworzewicz;84;0,86;0,89;-0,03;-0,71;39;  0,56;45;-1,14;18;-0,35;21;0,13;30;0,78;15;0,21;45;
B Gierulski - L Sztyrak;48;0,73;0,34;0,39;0,34;26;  0,44;22;0,10;9;0,46;17;0,11;7;1,07;15;-0,32;22;
J Ciechomski - M Nowosadzki;12;0,67;-0,15;0,81;0,61;8;  1,22;4;0,58;6;0,70;2;-;0;0,05;4;1,17;4;
W Sołtysik - M Błach;12;0,58;0,19;0,40;0,51;8;  0,17;4;-1,22;3;1,55;5;-0,15;2;-1,10;2;0,79;4;
T Kluz - K Kleinrok;36;0,56;0,36;0,20;0,61;15;  -0,10;21;1,10;7;0,17;8;-0,17;15;-0,16;6;0,07;21;
J Klukowski - J Russyan;84;0,55;-0,16;0,71;0,77;44;  0,65;40;0,18;21;1,31;23;0,08;17;0,27;23;0,46;40;
S Gołębiowski - W Starkowski;35;0,51;0,36;0,15;0,86;18;  -0,60;17;0,37;9;1,35;9;-0,38;6;-0,33;11;-0,26;17;
R Sakowicz - J Wachnowski;48;0,50;0,38;0,12;0,20;23;  0,04;25;0,28;14;0,08;9;0,22;12;0,28;13;-0,21;25;
A Sarniak - M Wiącek;24;0,50;0,87;-0,37;-0,54;11;  -0,22;13;-0,45;5;-0,61;6;0,05;7;-0,37;6;-0,07;13;
J Turczynowicz - L Ohrysko;60;0,50;0,05;0,45;1,12;27;  -0,09;33;1,44;20;0,22;7;0,23;16;-0,28;17;-0,07;33;
A Wojtusiak - A Robak;60;0,45;0,28;0,17;0,25;28;  0,09;32;-0,53;19;1,91;9;-0,06;11;0,11;21;0,04;32;
M Kwiecień - M Wójcicki;36;0,36;-0,18;0,54;0,90;15;  0,29;21;-1,61;7;3,10;8;0,08;14;-0,48;7;0,40;21;
E Zalewski - M Chwirut;48;0,35;0,64;-0,29;-0,46;19;  -0,18;28;-0,59;5;-0,41;14;0,09;17;-0,04;11;-0,22;28;
K Pikus - M Cichocki;84;0,26;0,03;0,23;0,20;41;  0,26;43;0,60;23;-0,30;18;0,56;22;-0,28;21;0,11;43;
Z Guła - M Błach;12;0,25;0,05;0,20;1,12;4;  -0,25;8;-0,20;2;2,44;2;0,00;3;0,01;5;-0,26;8;
A Kowalski - P Lutostański;84;0,19;0,05;0,14;0,99;45;  -0,84;39;0,89;12;1,03;33;0,29;22;-1,09;17;-0,53;39;
K Araszkiewicz - K Kotorowicz;96;0,18;0,11;0,07;-0,10;44;  0,22;52;0,01;23;-0,22;21;-0,06;31;0,35;21;0,11;52;
E Zalewski - A Robak;12;0,17;0,51;-0,35;-1,69;5;  0,61;7;0,66;2;-3,25;3;0,08;3;0,21;4;0,45;7;
P Janiszewski - P Klimacki;12;0,17;1,40;-1,23;-2,37;5;  -0,42;7;-0,54;1;-2,82;4;-0,52;1;0,20;6;-0,52;7;
K Kleinrok - A Lubojemski;72;0,10;0,03;0,07;0,29;33;  -0,13;38;0,65;18;-0,14;15;-0,68;23;0,07;15;0,25;38;
J Kalida - A Ratyński;12;0,08;0,84;-0,75;0,02;8;  -2,31;4;0,14;6;-0,32;2;0,00;2;-0,49;2;-2,07;4;
J Turczynowicz - A Ratyński;60;0,05;-0,40;0,45;0,72;35;  0,07;25;1,20;16;0,31;19;-0,09;16;1,05;9;-0,25;25;
R Kierznowski - M Cichocki;84;0,04;0,16;-0,13;-0,26;44;  0,01;40;-0,59;29;0,39;15;0,53;27;-0,67;13;-0,12;40;
R Matlak - A Szepe;60;-0,02;-0,06;0,05;0,23;28;  -0,11;32;0,89;12;-0,27;16;-0,43;16;0,08;16;0,07;32;
P Żak - J Zaremba;48;-0,13;-0,47;0,35;-0,32;28;  1,29;20;-0,72;17;0,29;11;-0,71;10;-0,00;10;1,65;20;
R Pepłoński - J Ciechomski;24;-0,17;0,57;-0,74;-1,16;12;  -0,32;12;-1,41;5;-0,98;7;-0,41;10;0,09;2;0,01;12;
S Gołębiowski - M Klukowski;24;-0,17;-1,23;1,06;2,30;14;  -0,68;10;2,50;5;2,19;9;0,15;6;0,88;4;-1,12;10;
P Zatorski - M Klukowski;96;-0,19;-0,36;0,17;0,34;57;  -0,07;39;0,52;38;-0,01;19;0,22;23;0,20;16;-0,28;39;
L Łuniewski - M Wiącek;12;-0,25;-0,05;-0,20;0,25;8;  -1,12;4;0,25;3;0,26;5;-0,09;2;0,20;2;-1,18;4;
J Posłuszny - K Kleinrok;72;-0,26;-0,40;0,13;-0,03;30;  0,25;42;0,82;13;-0,67;17;-0,09;12;-0,03;30;0,29;42;
J Michałek - K Lichawski;48;-0,27;-0,28;0,01;-0,31;26;  0,38;22;-1,06;13;0,44;13;0,26;10;0,21;12;0,15;22;
R Kierznowski - L Sztyrak;84;-0,27;0,01;-0,28;-0,59;40;  0,00;44;-0,64;15;-0,56;25;0,12;22;-0,31;22;0,10;44;
S Gołębiowski - C Balicki;12;-0,42;-0,66;0,24;-0,02;8;  0,75;4;0,69;6;-2,12;2;0,00;4;-;0;0,75;4;
A Guła - E Zalewski;12;-0,42;0,19;-0,61;-1,16;5;  -0,21;7;-2,33;2;-0,38;3;0,00;2;-0,10;5;-0,14;7;
W Sołtysik - A Robak;12;-0,42;-1,31;0,90;0,56;6;  1,24;6;0,92;4;-0,17;2;0,31;5;7,00;1;-0,18;6;
R Sakowicz - Z Halat;12;-0,50;1,27;-1,77;-0,91;6;  -2,62;6;-0,83;3;-1,00;3;0,00;3;-0,70;3;-2,27;6;
L Ohrysko - A Ratyński;36;-0,50;0,10;-0,60;-0,71;15;  -0,51;21;-0,15;9;-1,57;6;-0,18;6;0,15;15;-0,56;21;
A Jeleniewski - J Wachnowski;84;-0,51;-0,56;0,05;-0,05;39;  0,14;45;0,17;21;-0,30;18;-0,04;13;-0,02;32;0,17;45;
A Guła - M Błach;12;-0,58;0,65;-1,23;-1,05;8;  -1,58;4;-1,90;5;0,37;3;0,50;1;0,14;3;-1,81;4;
D Koproń - P Janiszewski;60;-0,60;-0,28;-0,32;0,12;31;  -0,80;29;0,26;20;-0,13;11;-0,21;10;-0,27;19;-0,55;29;
J Russyan - A Kowalski;48;-0,69;0,33;-1,02;-1,33;25;  -0,68;23;-1,64;21;0,28;4;-1,31;17;0,62;6;0,13;23;
J Klukowski - A Kowalski;24;-0,83;-0,41;-0,43;-0,29;12;  -0,57;12;0,32;6;-0,89;6;0,03;6;-1,45;6;0,15;12;
J Kalita - Ł Brede;84;-0,86;-0,78;-0,08;0,09;42;  -0,25;42;0,15;21;0,04;21;-0,07;25;-0,07;17;-0,18;42;
R Kierznowski - K Pikus;36;-0,86;-0,31;-0,55;-0,20;14;  -0,76;22;-0,46;9;0,26;5;-1,36;8;-0,03;14;-0,25;22;
T Wiśniewski - D Zembrzuski;96;-0,90;-0,53;-0,37;-0,14;43;  -0,55;53;0,14;28;-0,67;15;-0,15;30;0,07;23;-0,50;53;
D Krajewski - M Wiącek;24;-1,00;-0,19;-0,81;-0,97;11;  -0,68;13;0,30;3;-1,44;8;0,35;7;-0,83;6;-0,49;13;
J Kalita - K Kotorowicz;36;-1,06;-0,06;-1,00;-0,12;17;  -1,77;19;0,92;7;-0,85;10;0,07;9;-1,44;10;-1,05;19;
J Posłuszny - A Lubojemski;60;-1,15;-1,00;-0,15;-0,18;30;  -0,11;30;0,37;15;-0,74;15;-0,28;18;-0,25;12;0,16;30;
Z Rogowski - K Pikus;12;-1,25;-0,95;-0,30;-0,22;6;  -0,39;6;0,00;1;-0,26;5;-0,14;5;0,00;1;-0,28;6;
P Żak - J Cieślak;36;-1,33;-1,16;-0,17;-0,47;19;  0,16;17;-1,40;7;0,08;12;0,09;11;1,06;6;-0,28;17;
A Sarniak - J Szczygieł;12;-1,33;-0,68;-0,65;-0,52;7;  -0,85;5;-0,60;6;0,00;1;0,00;1;-0,31;4;-0,60;5;
L Sztyrak - M Cichocki;24;-1,38;-1,00;-0,37;0,64;13;  -1,56;11;0,02;8;1,63;5;0,28;9;0,00;2;-1,79;11;
R Opaliński - T Ukraiński;12;-1,92;-0,77;-1,15;-1,46;5;  -0,92;7;-1,75;4;-0,31;1;-0,56;2;0,00;5;-0,76;7;
T Urbański - M Wiącek;24;-2,13;-1,12;-1,01;-0,72;9;  -1,18;15;-1,28;3;-0,44;6;-0,32;9;-0,09;6;-0,94;15;
P Niedzielski - D Filipowicz;12;-2,17;-0,97;-1,19;0,26;6;  -2,64;6;0,39;5;-0,40;1;-3,24;3;0,00;3;-1,02;6;
P Miechowicz - M Krajewski;24;-2,25;-1,26;-0,99;-1,33;10;  -0,75;14;0,15;4;-2,31;6;0,12;8;-0,99;6;-0,39;14;
M Błach - A Robak;12;-2,42;-0,72;-1,70;0,55;7;  -4,85;5;-0,82;2;1,10;5;0,00;2;-0,97;3;-4,27;5;

