Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
PACHTMAN Ron - GRINBERG Nir;420;-0,05;-0,13;0,08;0,03;208;  0,13;210;-0,29;92;0,29;116;-0,27;114;0,07;96;0,25;210;
SOHTORIK Yusuf - EKSIOGLU Metin;300;-0,06;-0,20;0,14;0,01;150;  0,26;148;0,06;72;-0,04;78;0,19;85;0,22;63;0,06;148;
DUBININ Alexander - GROMOV Andrey;460;-0,09;-0,16;0,07;0,27;251;  -0,18;207;-0,03;111;0,51;140;0,07;105;0,07;102;-0,25;207;
RASE Davor - BRGULJAN Karlo;540;-0,10;-0,12;0,01;0,20;255;  -0,16;282;0,39;144;-0,06;111;0,08;131;0,08;151;-0,24;282;
SANDERS Derek - SIME Iain;440;-0,10;0,14;-0,25;-0,03;221;  -0,49;213;-0,06;114;0,01;107;0,07;100;0,04;113;-0,54;213;
OJA Olavi - KASK Vallo;460;-0,11;-0,13;0,02;-0,06;244;  0,11;215;0,47;123;-0,59;121;0,05;115;-0,02;100;0,10;215;
MEDUSHEUSKI Henadzi - TSIMAKHOVICH Aleh;460;-0,13;-0,21;0,07;-0,03;243;  0,19;216;0,39;135;-0,55;108;0,15;109;-0,02;107;0,12;216;
ARMSTRONG John - HOLLAND John;420;-0,15;-0,09;-0,06;0,22;194;  -0,29;225;0,27;101;0,16;93;-0,06;116;-0,14;109;-0,19;225;
BATOV Vasil - BONEV Ilko;400;-0,17;-0,24;0,07;0,41;209;  -0,31;191;0,49;103;0,33;106;-0,06;86;-0,27;105;-0,13;191;
REKUNOV Vladimir - KRASNOSSELSKI Mikhail;360;-0,17;-0,17;-0,00;0,09;162;  -0,08;193;0,25;85;-0,08;77;-0,18;90;-0,00;103;0,00;193;
SALOMAA Mika - BACKSTROM Sue;440;-0,18;-0,18;-0,00;-0,28;214;  0,27;225;-0,12;108;-0,45;106;-0,03;113;0,03;112;0,27;225;
SCHALTZ Dorthe - SCHALTZ Peter;440;-0,20;-0,13;-0,07;0,05;217;  -0,19;220;0,15;118;-0,07;99;-0,15;120;-0,18;100;-0,03;220;
BAUSBACK Nikolas - LOEFGREN Martin;460;-0,20;-0,04;-0,16;-0,14;214;  -0,18;244;0,11;93;-0,34;121;-0,01;127;-0,06;117;-0,15;244;
PAPAKYRIAKOPOULOS Yankos - FILIOS Aris;420;-0,20;-0,05;-0,15;0,09;209;  -0,39;205;0,46;111;-0,34;98;0,13;98;-0,63;107;-0,12;205;
ZOZIS Sotiris - KOUKOUSELIS Tassos;360;-0,24;-0,00;-0,24;-0,21;174;  -0,26;184;0,04;91;-0,49;83;-0,33;104;-0,08;80;-0,04;184;
PIEKAREK Josef - GOTARD Tomasz;440;-0,25;-0,04;-0,20;-0,16;251;  -0,26;188;0,01;130;-0,35;121;0,04;105;0,03;83;-0,29;188;
SALISBURY John - TEDD Mike;420;-0,27;-0,09;-0,18;-0,33;198;  -0,05;218;-0,40;103;-0,25;95;-0,04;120;-0,21;98;0,07;218;
REES Tim - KURBALIJA Filip;440;-0,28;0,03;-0,31;-0,18;221;  -0,45;218;-0,05;116;-0,32;105;-0,26;106;-0,27;112;-0,18;218;
MATZIARIS Thanassis - KARAMANLIS Miltos;460;-0,30;-0,12;-0,18;-0,26;254;  -0,08;204;-0,34;136;-0,16;118;-0,21;114;0,14;90;-0,02;204;
MATHESON John - SHORT Brian;420;-0,30;-0,23;-0,08;-0,14;188;  -0,03;231;0,08;81;-0,30;107;0,16;103;0,02;128;-0,10;231;
VLAJNIC Branko - ZIPOVSKI Dimitraki;340;-0,32;0,07;-0,39;-0,21;162;  -0,55;177;-0,36;96;0,00;66;-0,33;83;0,01;94;-0,41;177;
NYBERG Clas - KOISTINEN Kauko;420;-0,33;-0,04;-0,29;-0,28;222;  -0,30;197;-0,45;118;-0,09;104;0,05;99;-0,28;98;-0,19;197;
PAREZANIN Darko - DJURICIC Branislav;580;-0,34;-0,29;-0,04;-0,05;287;  -0,04;291;-0,18;121;0,05;166;-0,29;141;0,04;150;0,08;291;
DE ROOS Daniel - DE ROOS Steve;400;-0,36;-0,28;-0,08;-0,10;200;  -0,06;198;0,33;98;-0,51;102;-0,08;98;0,24;100;-0,15;198;
PROROK Kalle - RENNO Ilkka;360;-0,39;0,16;-0,56;-0,59;159;  -0,53;201;-0,25;74;-0,89;85;0,03;109;-0,30;92;-0,41;201;
