                                                       |             |              |           Play           |        Declaring         |                Defending              |
TUSZYNSKI Piotr - KOWALSKI Apolinary                   |  460   0.10 | -0.11   0.20 |  0.21 (232)   0.20 (226) | -0.19 (118)   0.62 (114) |  0.09 ( 98)   0.11 (128)   0.10 (226) |
MATUSHKO Georgi - KHOKHLOV Jouri                       |  440   0.08 | -0.04   0.12 |  0.27 (217)  -0.01 (222) |  0.57 (115)  -0.07 (102) |  0.17 (105)  -0.24 (117)   0.03 (222) |
BIRMAN David - FOHRER David                            |  520   0.04 | -0.09   0.13 |  0.19 (283)   0.06 (235) |  0.15 (143)   0.23 (140) |  0.23 (125)   0.14 (110)  -0.13 (235) |
ROMANOVSKA Maija - RUBINS Karlis                       |  440   0.03 |  0.02   0.01 |  0.08 (240)  -0.07 (199) | -0.37 (109)   0.46 (131) |  0.07 ( 95)  -0.04 (104)  -0.08 (199) |
MARASHEV Vladimir - PETKOV Vladimir                    |  380   0.03 | -0.14   0.18 |  0.17 (203)   0.18 (177) |  0.07 ( 94)   0.26 (109) |  0.05 ( 83)   0.11 ( 94)   0.10 (177) |
ELSINEN Antti - KIEMA Osmo                             |  460   0.02 | -0.07   0.08 |  0.29 (210)  -0.09 (248) |  0.23 (101)   0.34 (109) | -0.03 (161)  -0.17 ( 87)  -0.01 (248) |
WASIK Arturo - WICHMANN Gerardo                        |  420   0.01 | -0.01   0.03 |  0.24 (192)  -0.16 (224) |  0.27 (100)   0.20 ( 92) | -0.18 (111)   0.00 (113)  -0.07 (224) |
MACSKASY Gabor - SZALAY Gyorgy                         |  420  -0.03 | -0.16   0.13 | -0.11 (195)   0.33 (224) |  0.04 (107)  -0.30 ( 88) |  0.29 (121)  -0.02 (103)   0.19 (224) |
SOHTORIK Yusuf - EKSIOGLU Metin                        |  300  -0.06 | -0.17   0.11 | -0.01 (150)   0.22 (148) |  0.07 ( 72)  -0.08 ( 78) |  0.17 ( 85)   0.20 ( 63)   0.04 (148) |
PACHTMAN Ron - GRINBERG Nir                            |  420  -0.07 | -0.14   0.07 |  0.02 (208)   0.11 (210) | -0.30 ( 92)   0.28 (116) | -0.25 (114)   0.06 ( 96)   0.22 (210) |
ARMSTRONG John - HOLLAND John                          |  420  -0.08 | -0.05  -0.03 |  0.20 (194)  -0.23 (225) |  0.21 (101)   0.18 ( 93) | -0.05 (116)  -0.13 (109)  -0.14 (225) |
KURBALIJA Diane - KURBALIJA Filip                      |  100  -0.09 |  0.15  -0.24 | -0.23 ( 51)  -0.25 ( 49) |  0.02 ( 34)  -0.73 ( 17) | -0.23 ( 23)   0.17 ( 26)  -0.23 ( 49) |
RASE Davor - BRGULJAN Karlo                            |  540  -0.11 | -0.11  -0.01 |  0.15 (255)  -0.15 (282) |  0.31 (144)  -0.06 (111) |  0.07 (131)   0.06 (151)  -0.22 (282) |
SANDERS Derek - SIME Iain                              |  440  -0.11 |  0.12  -0.23 | -0.05 (221)  -0.43 (213) | -0.08 (114)  -0.02 (107) |  0.08 (100)   0.03 (113)  -0.49 (213) |
DUBININ Alexander - GROMOV Andrey                      |  460  -0.12 | -0.17   0.05 |  0.24 (251)  -0.19 (207) | -0.03 (111)   0.45 (140) |  0.05 (105)   0.06 (102)  -0.24 (207) |
MEDUSHEUSKI Henadzi - TSIMAKHOVICH Aleh                |  460  -0.13 | -0.19   0.06 | -0.02 (243)   0.15 (216) |  0.31 (135)  -0.43 (108) |  0.13 (109)  -0.03 (107)   0.10 (216) |
SALOMAA Mika - BACKSTROM Sue                           |  440  -0.15 | -0.17   0.02 | -0.21 (214)   0.24 (225) | -0.06 (108)  -0.35 (106) | -0.02 (113)   0.02 (112)   0.24 (225) |
REKUNOV Vladimir - KRASNOSSELSKI Mikhail               |  360  -0.16 | -0.15  -0.01 |  0.05 (162)  -0.06 (193) |  0.20 ( 85)  -0.11 ( 77) | -0.17 ( 90)   0.01 (103)   0.01 (193) |
BATOV Vasil - BONEV Ilko                               |  400  -0.16 | -0.20   0.04 |  0.34 (209)  -0.29 (191) |  0.44 (103)   0.25 (106) | -0.08 ( 86)  -0.24 (105)  -0.12 (191) |
OJA Olavi - KASK Vallo                                 |  460  -0.17 | -0.13  -0.03 | -0.11 (244)   0.05 (215) |  0.37 (123)  -0.59 (121) |  0.04 (115)  -0.03 (100)   0.04 (215) |
SCHALTZ Dorthe - SCHALTZ Peter                         |  440  -0.17 | -0.13  -0.04 |  0.07 (217)  -0.15 (220) |  0.17 (118)  -0.05 ( 99) | -0.11 (120)  -0.16 (100)  -0.01 (220) |
PIEKAREK Josef - GOTARD Tomasz                         |  440  -0.18 | -0.04  -0.14 | -0.09 (251)  -0.22 (188) |  0.08 (130)  -0.27 (121) |  0.04 (105)   0.04 ( 83)  -0.26 (188) |
BAUSBACK Nikolas - LOEFGREN Martin                     |  460  -0.19 | -0.04  -0.15 | -0.12 (214)  -0.18 (244) |  0.09 ( 93)  -0.28 (121) | -0.01 (127)  -0.07 (117)  -0.15 (244) |
ZOZIS Sotiris - KOUKOUSELIS Tassos                     |  360  -0.21 |  0.01  -0.22 | -0.20 (174)  -0.24 (184) |  0.02 ( 91)  -0.43 ( 83) | -0.31 (104)  -0.05 ( 80)  -0.05 (184) |
PAPAKYRIAKOPOULOS Yankos - FILIOS Aris                 |  420  -0.21 | -0.04  -0.16 |  0.05 (209)  -0.39 (205) |  0.39 (111)  -0.33 ( 98) |  0.11 ( 98)  -0.58 (107)  -0.13 (205) |
REES Tim - KURBALIJA Filip                             |  440  -0.23 |  0.05  -0.29 | -0.17 (221)  -0.42 (218) | -0.03 (116)  -0.31 (105) | -0.22 (106)  -0.23 (112)  -0.19 (218) |
SALISBURY John - TEDD Mike                             |  420  -0.24 | -0.08  -0.16 | -0.30 (198)  -0.03 (218) | -0.32 (103)  -0.27 ( 95) | -0.03 (120)  -0.20 ( 98)   0.07 (218) |
MATHESON John - SHORT Brian                            |  420  -0.28 | -0.21  -0.07 | -0.14 (188)  -0.02 (231) |  0.01 ( 81)  -0.25 (107) |  0.15 (103)   0.03 (128)  -0.10 (231) |
VLAJNIC Branko - ZIPOVSKI Dimitraki                    |  340  -0.28 |  0.05  -0.33 | -0.17 (162)  -0.48 (177) | -0.35 ( 96)   0.09 ( 66) | -0.29 ( 83)  -0.01 ( 94)  -0.34 (177) |
MATZIARIS Thanassis - KARAMANLIS Miltos                |  460  -0.29 | -0.11  -0.18 | -0.26 (254)  -0.08 (204) | -0.34 (136)  -0.16 (118) | -0.19 (114)   0.14 ( 90)  -0.04 (204) |
PAREZANIN Darko - DJURICIC Branislav                   |  580  -0.29 | -0.25  -0.04 | -0.02 (287)  -0.06 (291) | -0.15 (121)   0.07 (166) | -0.25 (141)   0.05 (150)   0.03 (291) |
DE ROOS Daniel - DE ROOS Steve                         |  400  -0.30 | -0.24  -0.06 | -0.10 (200)  -0.02 (198) |  0.25 ( 98)  -0.44 (102) | -0.07 ( 98)   0.28 (100)  -0.13 (198) |
NYBERG Clas - KOISTINEN Kauko                          |  420  -0.32 | -0.07  -0.25 | -0.23 (222)  -0.27 (197) | -0.37 (118)  -0.06 (104) |  0.03 ( 99)  -0.25 ( 98)  -0.16 (197) |
MUNTEANU Eduard - ROTARU Iulian                        |  460  -0.35 | -0.34  -0.01 |  0.32 (240)  -0.38 (220) |  0.52 (126)   0.11 (114) | -0.14 (119)  -0.18 (101)  -0.22 (220) |
SERPOI Gheorghe - STIRBU Calin                         |  400  -0.38 | -0.23  -0.15 |  0.09 (208)  -0.41 (192) |  0.23 ( 93)  -0.03 (115) | -0.00 ( 97)  -0.35 ( 95)  -0.23 (192) |
PROROK Kalle - RENNO Ilkka                             |  360  -0.38 |  0.11  -0.49 | -0.54 (159)  -0.45 (201) | -0.23 ( 74)  -0.81 ( 85) |  0.03 (109)  -0.23 ( 92)  -0.36 (201) |
MICHAILOVAS Andrius - LUKINSKAS Povilas                |  480  -0.38 | -0.17  -0.21 | -0.28 (227)  -0.14 (250) | -0.56 (117)   0.02 (110) | -0.15 (141)   0.07 (109)  -0.09 (250) |
PABLOS Pablo Gomez de - BASABE Enrique                 |  420  -0.39 | -0.16  -0.22 | -0.46 (205)   0.01 (212) | -0.44 (109)  -0.47 ( 96) |  0.02 (101)   0.16 (111)  -0.09 (212) |
OLANSKI Wojtek - VAINIKONIS Vytautas                   |  460  -0.39 | -0.04  -0.35 | -0.08 (251)  -0.68 (206) |  0.06 (132)  -0.24 (119) | -0.03 ( 82)  -0.50 (124)  -0.37 (206) |
CAPUTO Philippe - DEMARCIN Eric                        |  440  -0.40 | -0.20  -0.20 | -0.09 (225)  -0.32 (212) | -0.03 (153)  -0.21 ( 72) |  0.07 ( 85)  -0.12 (127)  -0.28 (212) |
RUBENIS Bruno - HAYES Ben                              |  440  -0.42 | -0.21  -0.21 | -0.12 (205)  -0.30 (228) |  0.21 ( 64)  -0.26 (141) |  0.04 (134)  -0.42 ( 94)  -0.15 (228) |
GESTE Andis - KHAZANOV Igor                            |  400  -0.43 | -0.17  -0.26 | -0.25 (211)  -0.27 (185) | -0.25 (116)  -0.25 ( 95) |  0.01 ( 99)  -0.02 ( 86)  -0.26 (185) |
PAZ Nuno - SANTOS Rui Silva                            |  420  -0.45 | -0.41  -0.04 |  0.14 (221)  -0.25 (198) |  0.39 (109)  -0.11 (112) |  0.05 (101)  -0.10 ( 97)  -0.23 (198) |
PIZZA Ettore - GADDI Camillo                           |  440  -0.48 | -0.31  -0.17 | -0.17 (232)  -0.19 (207) |  0.02 (103)  -0.31 (129) |  0.08 ( 99)  -0.14 (108)  -0.15 (207) |
MOSSOP David - ZIVKOVIC Gojko                          |  420  -0.50 | -0.30  -0.21 |  0.13 (203)  -0.52 (216) | -0.01 (111)   0.30 ( 92) | -0.03 (119)   0.09 ( 97)  -0.55 (216) |
CASEY Jill - KURBALIJA Diane                           |  180  -0.51 | -0.46  -0.05 |  0.06 ( 88)  -0.15 ( 92) |  0.03 ( 46)   0.09 ( 42) |  0.43 ( 42)   0.25 ( 50)  -0.48 ( 92) |
SOROLDONI Massimo - ZACCARIA Daniele                   |  400  -0.52 | -0.31  -0.21 | -0.18 (197)  -0.23 (199) | -0.13 ( 83)  -0.22 (114) | -0.02 (103)  -0.18 ( 96)  -0.13 (199) |
BRICIU Marius - GHIGHECI Ovidiu                        |  420  -0.57 | -0.26  -0.31 | -0.38 (191)  -0.25 (229) | -0.43 ( 96)  -0.33 ( 95) | -0.39 (106)  -0.12 (123)  -0.00 (229) |
MATOS Nuno - CRUZEIRO Jorge                            |  380  -0.61 | -0.32  -0.28 | -0.22 (168)  -0.33 (210) | -0.21 ( 65)  -0.23 (103) |  0.08 ( 95)  -0.12 (115)  -0.30 (210) |
ZHUKOV Alexander - KARBANOVICH Alexander               |  400  -0.61 | -0.53  -0.07 | -0.11 (191)  -0.04 (208) |  0.02 (100)  -0.25 ( 91) |  0.42 (102)   0.08 (106)  -0.28 (208) |
BRIOLINI Giancarlo - FIORINI Fiorenzo                  |  440  -0.65 | -0.25  -0.40 |  0.05 (205)  -0.79 (232) |  0.07 (115)   0.03 ( 90) | -0.24 (132)  -0.37 (100)  -0.50 (232) |
TIHANE Aivar - DALBERG Lembit                          |  340  -0.67 | -0.26  -0.41 | -0.31 (163)  -0.50 (176) |  0.20 ( 84)  -0.85 ( 79) |  0.07 ( 82)  -0.15 ( 94)  -0.46 (176) |
