Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Dror Padon - Andrea Reim;32;0,68;0,18;0,50;0,57;20;  0,37;12;0,42;13;0,85;7;
Dr. Peer Köster - Horst Hübner;64;0,45;0,04;0,41;-0,23;33;  1,09;31;-0,00;19;-0,53;14;
Hans-Peter Fütterer - Detlev Kröning;80;0,21;0,47;-0,26;-0,26;48;  -0,29;31;-0,71;24;0,20;24;
Martin Hofmann - Stefan Behn;64;0,14;0,09;0,05;0,05;32;  0,05;32;0,01;21;0,12;11;
Dr. Regine Neuhauser-Riess - Erhard Sternheimer;80;0,10;0,08;0,02;0,20;41;  -0,17;39;-0,07;21;0,48;20;
Thomas Neuhauser - Christoph Hauschild;48;-0,13;0,12;-0,25;0,17;24;  -0,67;24;1,05;9;-0,36;15;
Lukas Schenk - Detlev Kröning;48;-0,24;-0,05;-0,18;-0,27;23;  -0,10;25;-0,65;8;-0,07;15;
Günter Buhr - Detlev Kröning;80;-0,37;-0,29;-0,08;0,30;44;  -0,54;36;0,37;25;0,20;19;
Avram Kreisberger - Ulrich Däullary;80;-0,37;-0,25;-0,12;0,07;45;  -0,36;35;0,77;25;-0,80;20;
Günter Buhr - Hans-Peter Fütterer;64;-0,46;0,09;-0,55;-0,93;32;  -0,18;31;-1,06;15;-0,81;17;
Niko Forchert - Omid Karimi;80;-0,68;-0,24;-0,43;-0,81;36;  -0,12;44;-0,56;20;-1,13;16;
Dr. Peer Köster - Niko Forchert;16;-1,08;-0,64;-0,44;-0,24;8;  -0,65;8;-0,17;5;-0,36;3;
Dr. Gerhard Thurn - Dr. Ilan Wolff;16;-1,52;0,01;-1,52;-2,40;9;  -0,40;7;-1,52;3;-2,84;6;
Christian Fröhner - Andrea Reim;16;-2,20;-1,20;-0,99;-1,95;3;  -0,77;13;-2,12;2;-1,60;1;

