Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Lukas Kautzsch - Arne Siegel;192;-0,32;-0,17;-0,15;0,16;89;  -0,42;101;0,11;50;0,22;39;;3c
Loek Fresen - Waltraud Vogt;192;-0,33;-0,02;-0,31;-0,61;94;  -0,03;97;-0,80;42;-0,45;52;;1
Boris Yavlinsky - Dr. Gerhard Thurn;224;-0,34;-0,08;-0,25;-0,72;121;  0,30;101;-0,64;58;-0,79;63;;3b
Dr. Andreas Spiegl - Dr. Bernhard Schirm;176;-0,35;-0,12;-0,22;-0,27;91;  -0,18;84;-0,07;47;-0,48;44;;3b
Michael Hornbrook - Dr. Ilan Wolff;160;-0,35;-0,15;-0,19;-0,26;74;  -0,14;84;-0,22;42;-0,32;32;;3b
Göran Mattsson - Robert Koch;128;-0,35;-0,42;0,07;0,12;69;  -0,00;57;-0,11;28;0,28;41;;3b
Dr. Silvia Klasberg-Brawanski - Niko Forchert;128;-0,35;-0,13;-0,22;-0,48;55;  -0,03;71;-1,16;28;0,22;27;;3b
Berthold Engel - Claudia Vechiatto;96;-0,36;-0,03;-0,33;0,14;39;  -0,66;56;0,53;25;-0,56;14;;1
Jan Chodorowski - Dr. Helmut Horacek;224;-0,36;-0,28;-0,08;0,19;103;  -0,31;118;-0,12;48;0,46;55;;3a
Michael Thomsen - Dr. Gerben Dirksen;128;-0,40;0,01;-0,41;-0,92;56;  -0,00;72;-1,47;28;-0,37;28;;3a
Nedju Buchlev - Sebastian Reim;160;-0,41;-0,25;-0,15;-0,63;79;  0,32;81;-0,67;39;-0,60;40;;1
Peter Klein - Walter Sorger;176;-0,43;-0,26;-0,16;-0,62;84;  0,26;91;-0,71;46;-0,50;38;;3a
Fabian von Löbbecke - Dirk Sanne;160;-0,43;-0,20;-0,23;-0,51;86;  0,10;71;-0,78;41;-0,25;45;;1
Dr. Thorsten Upmann - Kerstin Sosnowski;286;-0,43;-0,25;-0,18;-0,20;122;  -0,17;162;-0,17;61;-0,23;61;;3c
Karl Wartlick - Rudi Salzer;192;-0,45;-0,17;-0,28;-0,17;86;  -0,37;105;-0,05;45;-0,31;41;;2
Hans-Jörg Schinze - Robert van Mourik;128;-0,46;-0,34;-0,11;0,22;68;  -0,49;60;0,95;29;-0,32;39;;3a
Martin Cantor - Sabine Melcher;192;-0,46;0,03;-0,49;-1,07;93;  0,06;98;-0,32;50;-1,94;43;;3c
Ulrich Kratz - Bernhard Sträter;176;-0,47;-0,34;-0,12;-0,17;96;  -0,07;78;-0,25;40;-0,12;56;;1
Ingrid Stoeckmann - Burkhard Thamm;191;-0,49;-0,31;-0,18;-0,33;103;  -0,00;87;-0,05;48;-0,57;55;;3a
Stefan Behn - Dirk Nedler;160;-0,52;-0,20;-0,32;-0,61;78;  -0,05;81;-0,31;36;-0,87;42;;3b
Hans Joachim Trapp - Albrecht Hollstein;112;-0,52;-0,30;-0,23;-0,40;65;  0,01;47;-0,26;35;-0,56;30;;3b
Georg Szasz - Max Winter;288;-0,53;0,01;-0,54;-0,40;141;  -0,68;147;-0,30;67;-0,49;74;;3a
Holger Hoffmann - Christian Dörmer;176;-0,54;0,10;-0,64;-0,36;85;  -0,90;91;-0,06;52;-0,83;33;;1
Josias Prinz zu Waldeck - Berthold Engel;111;-0,58;-0,35;-0,23;-0,51;51;  0,02;60;-0,45;26;-0,57;25;;1
Dr. Siegfried Kokoschka - Dr. Dieter Raetz;192;-0,60;-0,46;-0,14;-0,03;114;  -0,30;77;0,11;52;-0,15;62;;3c
Gerhard Stampfer - Dr. Gabriele Krämer;288;-0,71;-0,17;-0,54;-0,28;146;  -0,80;142;-0,37;78;-0,18;68;;3a
Dr. Michael Stumpf - Christoph Hofbauer;224;-0,73;-0,33;-0,40;-0,22;114;  -0,59;109;-0,31;59;-0,13;55;;3b
Frederic Boldt - Thomas Schmitt;96;-0,94;-0,45;-0,49;-0,67;52;  -0,29;43;-0,46;27;-0,90;25;;3a
Aurelia Fischer - Bronislaw Schiff;112;-0,95;-0,52;-0,44;-0,28;50;  -0,57;62;-0,16;27;-0,42;23;;3c
Florian Hauenstein - Michael Goetze;128;-0,96;-0,55;-0,41;-0,97;61;  0,11;66;-1,63;32;-0,23;29;;3b
Siegfried Reck - Willi Neidow;160;-1,03;-0,46;-0,57;-1,13;77;  -0,05;82;-0,96;38;-1,30;39;;2

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Helmut Häusler - Jörg Fritsche;48;1,31;0,53;0,77;1,00;21;  0,60;27;0,62;9;1,29;12;;1
Gregor Sieber - Ulrike Schreckenberger;64;1,16;0,48;0,68;1,47;35;  -0,29;27;1,28;21;1,75;14;;2
Michael Thomsen - Christine Kraus;16;1,06;-0,37;1,44;2,14;10;  0,26;6;1,94;5;2,34;5;;3a
Michael Pauly - Werner Kühn;32;0,90;0,81;0,09;-0,02;18;  0,23;14;0,09;12;-0,23;6;;3c
Dror Padon - Andrea Reim;32;0,86;0,11;0,74;1,03;20;  0,27;12;1,01;13;1,06;7;;3b
Michael Thomsen - Thomas Martin;16;0,80;0,51;0,29;0,51;12;  -0,38;4;0,61;6;0,41;6;;3a
Frederic Boldt - Regine Bartels;64;0,68;0,18;0,50;0,46;31;  0,54;33;0,90;15;0,05;16;;3a
Hans-Jürgen Riedel - Lutz Narajek;16;0,62;-0,38;1,01;-0,44;6;  1,87;10;-1,63;4;1,94;2;;3c
Michael Thomsen - Norbert Stübinger;16;0,61;0,33;0,28;-0,32;7;  0,75;9;1,16;3;-1,43;4;;3a
Dr. Peer Köster - Horst Hübner;64;0,55;0,08;0,47;-0,62;33;  1,64;31;-0,74;19;-0,46;14;;3b
Hans-Jürgen Lübbe - Sabine Melcher;32;0,46;1,42;-0,96;-1,29;16;  -0,63;16;-1,69;8;-0,89;8;;3c
Henning Bohnsack - Bernd Donner;64;0,40;-0,12;0,51;0,66;32;  0,36;32;0,88;16;0,44;16;;3c
Hartmut Kondoch - Josias Prinz zu Waldeck;64;0,38;0,24;0,14;0,31;38;  -0,12;26;0,37;17;0,27;21;;1
Andreas Bollhorst - Sabine Melcher;64;0,36;0,01;0,35;0,17;32;  0,53;32;-0,62;18;1,19;14;;3c
Bernd Donner - Yevgeniya Khanukova;64;0,33;-0,35;0,68;1,68;18;  0,28;46;2,92;9;0,44;9;;3c
Ralph Vitters - Bernd Gahntz;64;0,31;0,03;0,28;0,10;26;  0,41;38;0,73;15;-0,77;11;;2
Martin Hofmann - Stefan Behn;64;0,29;-0,06;0,35;0,57;32;  0,13;32;0,80;21;0,13;11;;3b
Michael Thomsen - Ulf Bormann;16;0,22;0,68;-0,47;-0,47;5;  -0,47;11;-0,79;2;-0,25;3;;3a
Ralph Wickert - Bernd Donner;64;0,16;0,45;-0,28;-0,46;33;  -0,10;31;-0,28;24;-0,93;9;;3c
Dr. Regine Neuhauser-Riess - Erhard Sternheimer;80;0,16;0,01;0,15;0,35;41;  -0,07;39;0,10;21;0,62;20;;3b
Martin Stoszek - Werner Kühn;32;0,10;0,02;0,08;0,08;17;  0,08;15;0,30;10;-0,24;7;;3c
Hans-Peter Fütterer - Detlev Kröning;80;0,04;0,23;-0,19;0,01;48;  -0,52;31;-0,65;24;0,68;24;;3b
Thomas Neuhauser - Christoph Hauschild;48;-0,04;-0,11;0,06;0,75;24;  -0,62;24;1,77;9;0,13;15;;3b
Malgorzata Schröder - Michael Schröder;32;-0,06;0,57;-0,63;-0,45;19;  -0,98;12;-0,75;10;-0,11;9;;3c
Jörg Fritsche - Dr. Andreas Kirmse;16;-0,06;0,38;-0,44;1,29;9;  -3,11;6;4,65;2;0,33;7;;1
Jörg Fritsche - Martin Rehder;32;-0,11;0,37;-0,48;-0,73;15;  -0,27;17;-1,73;10;1,29;5;;1
Jacek Lesniczak - Dirk Sanne;16;-0,11;-0,82;0,70;0,89;11;  0,30;5;-1,49;4;2,25;7;;1
Günter Buhr - Detlev Kröning;80;-0,13;-0,08;-0,05;0,05;44;  -0,17;36;0,06;25;0,03;19;;3b
Martin Stoszek - Michael Pauly;32;-0,15;0,05;-0,20;-0,31;16;  -0,09;16;-0,96;9;0,53;7;;3c
Henning Bohnsack - Volkan Denizci;64;-0,16;-0,39;0,23;0,14;38;  0,35;26;0,20;20;0,08;18;;3c
Jacek Lesniczak - Cezary Krzeminski;48;-0,17;-0,07;-0,09;0,14;17;  -0,22;31;1,07;10;-1,19;7;;1
Lutz Narajek - Antje Berghaus;16;-0,19;-0,55;0,36;1,07;12;  -1,76;4;1,39;8;0,43;4;;3c
Lukas Schenk - Detlev Kröning;48;-0,24;-0,20;-0,04;-0,08;23;  -0,01;25;-0,87;8;0,34;15;;3b
Avram Kreisberger - Ulrich Däullary;80;-0,30;-0,13;-0,17;-0,13;45;  -0,21;35;0,83;25;-1,33;20;;3b
Regine Bartels - Thomas Schmitt;64;-0,33;-0,62;0,29;0,21;36;  0,42;26;-0,55;16;0,81;20;;3a
Günter Buhr - Hans-Peter Fütterer;64;-0,44;0,01;-0,44;-0,59;32;  -0,30;31;-0,23;15;-0,91;17;;3b
Dr. Sebastian Weyand - Berthold Engel;32;-0,69;-0,28;-0,41;0,26;16;  -1,08;16;-0,98;10;2,32;6;;1
Niko Forchert - Omid Karimi;80;-0,77;-0,19;-0,57;-0,87;36;  -0,33;44;-0,46;20;-1,38;16;;3b
Fred Wrobel - Susanne Kriftner;64;-0,86;-0,21;-0,65;-1,09;31;  -0,24;33;-1,98;18;0,14;13;;1
Volkan Denizci - Yevgeniya Khanukova;64;-0,91;-0,62;-0,29;-0,41;33;  -0,17;31;-0,28;15;-0,52;18;;3c
Dr. Peer Köster - Niko Forchert;16;-1,33;-0,67;-0,66;-0,29;8;  -1,03;8;-0,36;5;-0,18;3;;3b
Keith Brundage - Bharat Gurbaxani;48;-1,39;-0,62;-0,76;-1,00;23;  -0,62;22;-0,08;13;-2,20;10;;3c
Dr. Gerhard Thurn - Dr. Ilan Wolff;16;-1,55;0,10;-1,65;-2,67;9;  -0,34;7;-2,53;3;-2,74;6;;3b
Jörg Fritsche - Michael Gromöller;16;-1,61;-1,62;0,02;-0,70;5;  0,34;11;-0,70;5;-;0;;1
Helga Stoermer - Antje Berghaus;16;-1,77;-0,05;-1,72;-2,96;8;  -0,49;8;-4,17;3;-2,23;5;;3c
Christian Fröhner - Andrea Reim;16;-2,65;-1,94;-0,71;-2,60;3;  -0,27;13;-3,30;2;-1,21;1;;3b

