                                                       |             |              |           Play           |        Declaring         |                Defending              |
ALLAVENA Jean Charles - FREY Nathalie                  |  240  -0.26 | -0.16  -0.10 | -0.09 (128)  -0.12 (111) |  0.09 ( 70)  -0.31 ( 58) | -0.09 ( 53)  -0.06 ( 58)  -0.05 (111) |
BASABE Enrique - KNAP Andres                           |  300  -0.30 | -0.57   0.27 |  0.31 (127)   0.23 (170) |  0.59 ( 64)   0.03 ( 63) |  0.04 ( 77)   0.07 ( 93)   0.18 (170) |
ANASTASIADIS Kostas - OIKONOMOPOULOS Giorgos           |  220  -0.36 | -0.25  -0.11 | -0.11 (114)  -0.11 (106) | -0.30 ( 57)   0.08 ( 57) | -0.30 ( 53)  -0.01 ( 53)   0.05 (106) |
BILDE Morten - HANSEN Jrrgen Cilleborg                 |  240  -0.39 | -0.08  -0.31 | -0.61 (121)  -0.01 (117) | -0.88 ( 47)  -0.45 ( 74) | -0.13 ( 61)  -0.10 ( 56)   0.11 (117) |
CATELLANI Marco - FISSORE Henri                        |  239  -0.46 | -0.49   0.04 | -0.05 (126)   0.14 (112) |  0.05 ( 66)  -0.15 ( 60) |  0.43 ( 63)   0.58 ( 49)  -0.36 (112) |
BONOMELLI Alberto - FIORINI Fiorenzo                   |  260  -0.47 | -0.14  -0.33 | -0.25 (133)  -0.41 (126) | -0.93 ( 53)   0.20 ( 80) | -0.09 ( 64)  -0.08 ( 62)  -0.33 (126) |
BRICIU Marius - COLDEA Ionut                           |  260  -0.49 | -0.28  -0.21 | -0.41 (141)   0.03 (119) | -0.20 ( 77)  -0.67 ( 64) | -0.24 ( 55)  -0.07 ( 64)   0.19 (119) |
SHUKHMEYSTER Borys - KARLYKOV Petro                    |  260  -0.52 | -0.12  -0.40 |  0.35 (135)  -1.22 (124) |  0.44 ( 74)   0.23 ( 61) | -0.43 ( 55)  -0.71 ( 69)  -0.63 (124) |
TERRANEO Christian - LINDERMANN Arno                   |  220  -0.60 | -0.22  -0.37 | -0.73 (105)  -0.05 (114) | -0.88 ( 58)  -0.55 ( 47) |  0.01 ( 53)   0.22 ( 61)  -0.17 (114) |
WALSH Terry - O'GORMAN Derek                           |  240  -0.60 | -0.17  -0.43 | -0.58 (114)  -0.30 (126) |  0.39 ( 50)  -1.34 ( 64) | -0.03 ( 65)   0.12 ( 61)  -0.34 (126) |
