Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Dr. Bettina Bohnhorst - Dr. Jürgen Sander;288;0,14;0,11;0,04;0,25;136;  -0,15;152;0,09;70;0,42;66;;3b
Annaig Della Monta - Dr. Alfred Berthold;128;0,14;0,10;0,04;-0,13;53;  0,16;74;0,48;28;-0,82;25;;3a
Leo Petrak - Detlef Karcher;144;0,13;-0,30;0,43;0,98;68;  -0,06;75;0,37;33;1,55;35;;3c
Christian Schlicker - Dr. Claus Günther;192;0,13;0,26;-0,13;0,21;99;  -0,50;91;0,92;54;-0,65;45;;1
Herbert Klumpp - Reiner Marsal;192;0,13;-0,09;0,21;0,30;107;  0,11;82;0,29;50;0,31;57;;1
Frank-Onno Bettermann - Björn Janson;176;0,12;0,04;0,07;0,22;64;  -0,01;111;0,64;30;-0,15;34;;3b
Jan van Oosten - Dr. Ansgar Seiter;224;0,12;-0,10;0,21;0,18;105;  0,24;116;0,12;54;0,25;51;;2
Michael Schröder - Stefan Vernon;224;0,11;0,35;-0,24;0,05;116;  -0,55;107;0,08;65;0,01;51;;3c
Lars Hüllen - Stefan Hinck;240;0,10;0,23;-0,13;-0,00;132;  -0,29;108;0,17;71;-0,21;61;;3b
Oliver Hevemeier - Wolfram von Alvensleben;192;0,08;-0,10;0,19;0,18;98;  0,20;93;0,27;48;0,09;50;;2
Avram Kreisberger - Ulrich Däullary;208;0,08;-0,12;0,19;0,43;108;  -0,06;99;0,21;53;0,64;55;;3c
Felix von Arnim - Heinrich Nowak;240;0,05;0,05;0,01;0,31;124;  -0,33;113;0,57;69;-0,01;55;;2
Ingrid Stoeckmann - Burkhard Thamm;191;0,05;-0,09;0,14;0,18;95;  0,10;94;0,34;35;0,09;60;;2
Hans-Peter Fütterer - Tobias Förster;192;0,04;0,11;-0,07;0,04;102;  -0,20;88;0,55;46;-0,38;56;;3c
Dr. Michael Schneider - Gisela Smykalla;192;0,03;0,06;-0,03;-0,55;77;  0,33;112;-0,47;36;-0,62;41;;2
Henning Bohnsack - Bernd Donner;160;0,03;0,04;-0,01;-0,17;77;  0,13;83;-0,26;38;-0,07;39;;3b
Michael Thomsen - Dr. Gerben Dirksen;128;0,01;0,09;-0,08;0,24;65;  -0,41;63;0,09;26;0,35;39;;3b
Lukas Schenk - Martin Stoszek;192;0,01;-0,03;0,04;0,25;102;  -0,20;90;0,53;44;0,03;58;;3a
Kareen Schroeder - Dr. Josef Harsanyi;144;0,01;-0,03;0,04;0,27;69;  -0,18;73;0,55;31;0,05;38;;3c
Frank Reichelt - Dr. Jean Georgiades;191;0,00;0,07;-0,07;-0,14;98;  0,01;92;0,10;55;-0,46;43;;2
Eckhard Böhlke - Kathryn Herz;128;-0,01;0,26;-0,27;-0,14;77;  -0,47;50;-0,29;38;0,02;39;;3a
Ralf Fiedler - Christoph Moritz;208;-0,01;-0,02;0,01;0,01;106;  0,02;101;-0,35;59;0,45;47;;3b
Dr. Marcel Aebi - Wolfhart Umlauft;160;-0,01;-0,22;0,22;0,28;85;  0,15;75;0,61;35;0,04;50;;3c
Theo Reinhard - Christoph Hauschild;96;-0,02;-0,22;0,21;-0,32;44;  0,66;52;-0,33;26;-0,32;18;;3b
Martin Meckel - Bettina Kaiser;144;-0,02;-0,08;0,07;-0,12;67;  0,23;77;0,23;30;-0,41;37;;3a
Anna-Marie Rowold - Toke Hoffmeister;192;-0,02;0,36;-0,37;-0,26;96;  -0,50;94;-0,32;40;-0,21;56;;3b
Hans Frerichs - Ulrich Wenning;192;-0,02;0,12;-0,14;-0,06;85;  -0,21;106;0,47;47;-0,72;38;;1
Dr. Ralf Schlotmann - Ulrich Trepnau;288;-0,02;0,07;-0,10;-0,08;155;  -0,12;132;-0,52;84;0,45;71;;3a
Ulrich Kratz - Bernhard Sträter;192;-0,03;-0,09;0,06;0,09;98;  0,04;92;0,10;45;0,08;53;;1
Gianluca Bergami - Bartlomiej Igla;96;-0,03;-0,14;0,11;-0,12;48;  0,34;48;-0,46;16;0,05;32;;3c
Ingo Lüßmann - Claudia Lüßmann;191;-0,05;0,27;-0,32;-0,38;107;  -0,25;81;-0,08;52;-0,66;55;;2
Beatrix Wodniansky - Werner Kühn;192;-0,05;-0,05;0,00;0,14;90;  -0,12;102;0,16;42;0,12;48;;3a
Martin Hofmann - Bernd Engelhardt;224;-0,06;0,01;-0,07;-0,20;97;  0,03;123;0,06;48;-0,45;49;;2
Andreas Schiffmann - Darius Schiffmann;192;-0,07;-0,16;0,10;-0,21;96;  0,42;94;-0,91;49;0,52;47;;3c
Markus Eble - Uwe Gebhardt;176;-0,08;0,04;-0,12;-0,23;79;  -0,04;94;-0,37;42;-0,06;37;;3c
Christian Fröhner - Andrea Reim;96;-0,10;-0,14;0,04;0,22;39;  -0,09;55;-0,68;16;0,84;23;;2
Dr. Peter Freche - Dr. Karl-Heinz Kaiser;192;-0,10;0,01;-0,11;-0,10;110;  -0,13;81;0,52;48;-0,59;62;;1
Katja Dopheide - Ralph Vitters;96;-0,11;-0,09;-0,01;0,47;48;  -0,50;48;0,47;18;0,47;30;;2
Michael Hornbrook - Dr. Ilan Wolff;240;-0,12;-0,12;-0,00;-0,13;114;  0,12;125;-0,04;50;-0,21;64;;3b
Henning Gärner - Rainer Twele;191;-0,12;0,05;-0,18;-0,29;89;  -0,08;101;-0,19;49;-0,40;40;;3c
Mirja Schraverus-Meuer - Axel Meuer;256;-0,13;-0,13;-0,00;-0,21;140;  0,24;114;-0,25;62;-0,17;78;;2
Gabi Schneider - Alfried Bocker;192;-0,14;0,22;-0,36;-0,58;91;  -0,16;100;-0,33;45;-0,84;46;;3c
Rainer Handel - Christoph Kemmer;175;-0,16;0,12;-0,28;0,08;79;  -0,57;95;-0,37;32;0,38;47;;1
Anja Alberti - Nikolas Bausback;159;-0,16;0,01;-0,17;-0,06;67;  -0,25;90;-0,15;31;0,02;36;;2
Felix Schadendorf - Mieke Plath;96;-0,16;0,16;-0,32;0,05;44;  -0,66;50;-0,18;20;0,23;24;;3c
Richard Hömmen - Werner Schneider;192;-0,16;-0,14;-0,02;-0,07;95;  0,02;97;0,08;49;-0,22;46;;3b
Martin Wüst - Vitaliy Khanukov;192;-0,16;-0,21;0,05;0,19;105;  -0,13;86;0,22;51;0,16;54;;1
Jacek Lesniczak - Cezary Krzeminski;128;-0,16;-0,10;-0,07;0,18;57;  -0,27;70;-0,59;26;0,83;31;;1
Udo Kreimeyer - Wolfgang Sonntag;176;-0,17;-0,15;-0,02;0,03;84;  -0,06;92;0,25;41;-0,18;43;;3b
Fikret Dogan - Dietmar Korb;96;-0,17;0,09;-0,26;-0,05;52;  -0,53;42;0,70;31;-1,15;21;;3c
Helmut Franke - Thomas Steins;288;-0,19;-0,07;-0,12;-0,10;144;  -0,14;141;0,08;68;-0,27;76;;3a
Peter Klein - Dr. Arno Kretschmer;288;-0,19;-0,05;-0,14;0,02;148;  -0,31;137;-0,16;72;0,19;76;;3a
Dr. Richard Bley - Raffael Braun;176;-0,20;0,02;-0,22;-0,17;92;  -0,28;84;0,42;46;-0,76;46;;2
Matthias Felmy - Tomasz Gotard;128;-0,20;-0,26;0,06;-0,11;63;  0,24;62;0,36;34;-0,65;29;;1
Max Neumann - Vladimir Belfermann;287;-0,22;-0,24;0,03;0,06;154;  -0,01;131;-0,05;71;0,15;83;;3a
Bharat Gurbaxani - Dietmar Korb;192;-0,22;-0,40;0,18;0,16;97;  0,20;94;0,34;39;0,04;58;;3c
Joachim Parsch - Klaus Zeitler;176;-0,23;0,12;-0,34;0,07;97;  -0,85;79;0,28;42;-0,10;55;;1
Dr. Lutz Wienert - Andreas Schaper;288;-0,23;-0,24;0,01;-0,05;159;  0,09;127;-0,20;77;0,10;82;;3b
Loek Fresen - Waltraud Vogt;192;-0,24;-0,21;-0,02;0,18;95;  -0,22;96;-0,07;51;0,47;44;;1
Michael Pauly - Dr. Bernhard Kopp;192;-0,24;-0,09;-0,14;-0,00;99;  -0,30;91;-0,29;49;0,29;50;;3a
Fabian von Löbbecke - Dirk Sanne;128;-0,25;-0,33;0,08;-0,06;63;  0,21;63;-0,10;29;-0,02;34;;1
Frederik Hahn - Lauritz Streck;175;-0,25;-0,05;-0,20;-0,20;80;  -0,21;93;-0,52;38;0,10;42;;3b
Helmut Häusler - Dr. Andreas Kirmse;256;-0,25;-0,35;0,10;0,02;110;  0,16;144;-0,05;58;0,09;52;;1
Roland Voigt - Ulrich Voigt;224;-0,28;-0,47;0,19;0,03;122;  0,39;98;0,02;64;0,05;58;;2
Dr. Michael Stumpf - Radu Gliga;128;-0,29;-0,35;0,06;-0,38;67;  0,57;59;-0,45;34;-0,30;33;;3c
Fred Wrobel - Stefan Häßler;96;-0,30;0,15;-0,45;0,26;40;  -0,96;56;0,23;20;0,29;20;;1
Fikret Dogan - Cumhur Kirdemir;192;-0,32;-0,50;0,18;0,12;92;  0,25;98;0,68;52;-0,62;40;;3c
Dr. Michael Kammermeier - Martin Werner;192;-0,34;-0,39;0,05;0,13;83;  -0,01;109;0,24;34;0,06;49;;1
Norbert Stübinger - Ulf Bormann;96;-0,34;0,15;-0,50;-0,81;52;  -0,13;44;-1,20;36;0,07;16;;3b
Ralf Schmellekamp - Dimitrios Markaris;192;-0,36;-0,06;-0,30;-0,41;100;  -0,19;92;-0,14;45;-0,63;55;;1
Jerzy Kozyczkowski - Berthold Engel;111;-0,40;-0,45;0,05;-0,01;58;  0,12;52;-0,09;29;0,07;29;;2
Ilia Chapiro - Ireneus Kokocinski;128;-0,40;-0,64;0,24;0,44;62;  0,06;65;0,76;26;0,20;36;;3a
Ludger Silva - Michael Böcker;175;-0,41;-0,36;-0,05;0,02;87;  -0,12;87;0,28;47;-0,28;40;;3a
Thomas Suppes - Torsten Skibbe;96;-0,42;0,14;-0,57;-0,31;48;  -0,86;46;-0,02;26;-0,65;22;;3b
Gregor Sieber - Ulrike Schreckenberger;112;-0,44;-0,38;-0,06;-0,02;57;  -0,10;54;-0,21;34;0,26;23;;1
Dr. Herbert Thieme - Dr. Klaus Krtschil;96;-0,44;-0,12;-0,31;-0,51;47;  -0,13;48;-1,07;22;-0,01;25;;3c
Herbert Vetter - Bernhard Landwehr;192;-0,44;-0,21;-0,24;-0,19;108;  -0,29;84;-0,13;53;-0,25;55;;3c
Achim Greune - Diana Farken;208;-0,45;-0,27;-0,18;-0,04;108;  -0,35;97;-0,30;50;0,18;58;;3c
Andreas Schneider - Merle Schneeweis;176;-0,46;-0,56;0,10;0,04;87;  0,17;87;-0,06;41;0,13;46;;3b
Robert Jaßniger - Christian Tobias Bolik;144;-0,47;-0,08;-0,38;-0,71;74;  -0,03;70;0,14;37;-1,57;37;;3b
Sabine Busching - Caren Grenz;192;-0,48;-0,12;-0,36;-0,83;90;  0,05;102;-1,02;52;-0,57;38;;3b
Martin Cantor - Omid Karimi;192;-0,51;0,07;-0,58;-0,72;95;  -0,44;95;-0,77;53;-0,67;42;;3a
Klaus Amann - Dr. Carina Tetal;128;-0,51;-0,22;-0,30;-0,19;60;  -0,39;67;-0,12;30;-0,26;30;;2
Lukas Kautzsch - Arne Siegel;256;-0,52;-0,26;-0,26;-0,25;137;  -0,28;117;-0,29;64;-0,21;73;;3c
Matthias Voigt - Dr. Gerold Wieber;208;-0,53;-0,35;-0,18;-0,32;109;  -0,03;98;-0,01;55;-0,63;54;;3c
Ralf-D, Zepelin - André Marx;192;-0,55;-0,33;-0,21;-0,47;87;  0,00;104;-0,73;49;-0,14;38;;3a
Matthias Stenneken - Bernd Gahntz;96;-0,57;-0,20;-0,37;-0,62;54;  -0,05;41;-0,81;31;-0,36;23;;2
Norbert Keßler - Roland Watzdorf;160;-0,63;-0,35;-0,29;-0,07;76;  -0,49;83;0,22;41;-0,40;35;;3a
Michael Gromöller - Dr. Christian Döbig;111;-0,70;-0,66;-0,03;0,03;55;  -0,10;55;0,22;26;-0,15;29;;1
Hans-Joachim Prieß - Ralf-D, Zepelin;96;-0,70;-0,36;-0,34;-0,48;45;  -0,21;51;-0,38;23;-0,59;22;;3a
Klaus Appelt - Anneliese Daig;192;-0,73;-0,54;-0,19;0,03;86;  -0,38;105;0,18;42;-0,10;44;;2
Jürgen Nordmann - Kai Timofejew;112;-0,75;-0,49;-0,26;0,04;58;  -0,59;54;0,09;30;-0,01;28;;3a
Frederik Hahn - Torsten Skibbe;96;-0,77;-0,23;-0,53;-0,15;50;  -0,94;46;-0,42;20;0,02;30;;3b
Frank Röttger - Karl-Heinz Schmidt;128;-0,78;-0,32;-0,46;-0,39;62;  -0,53;66;-0,15;19;-0,49;43;;2
Benedikt Wiemeyer - Volker Hund-Schulze;160;-0,78;-0,20;-0,58;-0,50;76;  -0,66;83;0,31;41;-1,44;35;;3a
Dr. Marcus Joest - Christian Farwig;192;-0,84;-0,58;-0,26;0,10;90;  -0,58;100;-0,12;43;0,30;47;;1
Boris Yavlinsky - Dr. Gerhard Thurn;143;-0,86;-0,76;-0,10;0,30;71;  -0,50;72;-0,05;35;0,64;36;;3b
Fred Wrobel - Alexander Wodniansky;112;-0,86;-0,33;-0,53;0,08;56;  -1,14;56;0,32;22;-0,08;34;;1

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Ullrich Jahr - Yordan Boychev;48;1,48;0,84;0,64;1,06;28;  0,05;20;0,96;15;1,19;13;;3a
Roy Welland - Sabine Auken;62;1,42;0,76;0,66;1,14;25;  0,33;37;1,86;10;0,66;15;;1
Dr. Daniel Schmidt-Isenbeck - Dr. Frank Pioch;16;1,38;0,52;0,86;2,61;6;  -0,19;10;5,82;1;1,97;5;;1
Bartlomiej Igla - Dr. Alec Fettes;63;1,07;0,50;0,58;1,17;32;  -0,04;31;0,68;16;1,67;16;;3c
Andreas Babsch - Martin Schifko;80;1,00;0,46;0,53;1,03;47;  -0,16;33;0,41;20;1,48;27;;1
Norbert Stübinger - Thomas Martin;80;0,92;0,48;0,44;0,85;46;  -0,10;34;1,57;20;0,29;26;;3b
Gianluca Bergami - Dr. Alec Fettes;64;0,90;0,70;0,20;-0,14;33;  0,56;31;0,67;17;-1,01;16;;3c
Albrecht Hollstein - Martin Staber;48;0,83;0,61;0,22;0,07;18;  0,32;29;-0,07;11;0,28;7;;3c
Thomas Martin - Dr. Gerben Dirksen;32;0,63;-0,05;0,68;0,24;19;  1,33;13;-0,19;8;0,55;11;;3b
Helmut Häusler - Michael Gromöller;16;0,61;0,78;-0,18;0,15;4;  -0,29;12;0,02;2;0,29;2;;1
Henning Gärner - Dr. Gerhard Göttsch;80;0,51;0,25;0,26;0,42;26;  0,19;54;0,68;17;-0,07;9;;3c
Dirk Schroeder - Dr. Josef Harsanyi;16;0,48;0,30;0,18;-0,02;11;  0,76;4;-0,02;9;0,01;2;;3c
Thomas Neuhauser - Christoph Hauschild;80;0,46;0,50;-0,04;-0,49;35;  0,31;44;-0,61;14;-0,41;21;;3b
Jan Sohl - Yordan Boychev;80;0,45;0,18;0,27;0,51;45;  -0,04;35;0,57;21;0,45;24;;3a
Thorsten Kootz - Ullrich Jahr;80;0,44;-0,21;0,64;0,66;38;  0,65;41;1,18;21;0,03;17;;3a
Tobias Förster - Dr. Klaus Krtschil;48;0,37;0,76;-0,39;-0,61;30;  -0,01;18;-0,56;18;-0,69;12;;3c
Stefan Back - Andrea Reim;64;0,34;0,12;0,22;0,32;35;  0,10;29;0,03;18;0,62;17;;2
Horst-Dieter Uhlmann - Klaus Forster;32;0,25;0,38;-0,13;0,42;13;  -0,53;18;0,37;3;0,44;10;;3c
Leszek Molak - Wlodzimierz Duszynski;80;0,20;-0,22;0,42;0,38;37;  0,49;40;0,29;23;0,52;14;;3b
Jacek Lesniczak - Janko Katerbau;64;0,09;-0,17;0,27;0,02;31;  0,50;33;0,87;14;-0,68;17;;1
Frank Düllmann - Tanja Lutz-Löppenberg;64;0,06;0,14;-0,08;-0,22;30;  0,06;33;0,12;15;-0,56;15;;3c
Frank Düllmann - Ying Cheng;64;0,06;0,28;-0,22;-0,14;28;  -0,29;36;-0,32;11;-0,02;17;;3c
Anne Gladiator - Yordan Boychev;32;0,05;0,20;-0,15;-0,48;15;  0,15;17;-0,67;10;-0,08;5;;3a
Moritz Steindl - Dr. Josef Harsanyi;80;-0,04;-0,14;0,10;-0,21;31;  0,29;49;-0,06;15;-0,35;16;;3c
Pony Nehmert - Andrea Reim;48;-0,07;0,12;-0,19;0,19;25;  -0,60;23;-0,60;11;0,82;14;;2
Thomas Martin - Christine Kraus;64;-0,09;-0,44;0,35;-0,14;35;  0,95;29;-0,38;13;-0,01;22;;3b
Klaus Spiegelberg - Martin Jentsch;64;-0,12;0,21;-0,33;-0,25;28;  -0,40;36;-0,29;15;-0,19;13;;3c
Andreas Babsch - Ulrike Schreckenberger;64;-0,15;0,11;-0,26;-0,35;28;  -0,19;36;-1,13;13;0,32;15;;1
Elke Weber - Fried Weber;48;-0,19;-0,64;0,45;0,50;27;  0,39;21;0,46;20;0,62;7;;3a
Sebastian Reim - Daniela von Arnim;64;-0,27;-0,00;-0,27;0,11;31;  -0,66;31;0,54;17;-0,42;14;;1
Dr. Sebastian Weyand - Berthold Engel;64;-0,27;-0,20;-0,07;0,01;30;  -0,14;34;-0,14;13;0,13;17;;2
Jochen Bitschene - Daniela von Arnim;80;-0,33;-0,11;-0,23;-0,25;42;  -0,20;38;-0,52;22;0,04;20;;1
Stefan Back - Christian Fröhner;32;-0,34;-0,51;0,17;-0,04;14;  0,33;18;0,41;5;-0,28;9;;2
Dr. Regine Neuhauser-Riess - Erhard Sternheimer;64;-0,34;-0,50;0,15;0,27;28;  0,07;36;-0,48;11;0,75;17;;3b
Pony Nehmert - Christian Fröhner;48;-0,35;-0,61;0,26;0,20;16;  0,29;31;-0,28;7;0,58;9;;2
Martin Staber - Peter Fahrenholz;64;-0,38;0,10;-0,49;-0,90;22;  -0,28;40;-0,69;13;-1,20;9;;3c
Joachim Parsch - Martin Schrödel;16;-0,40;0,41;-0,81;-1,03;10;  -0,44;6;-0,93;6;-1,17;4;;1
Frank-Onno Bettermann - Hartmut Brückner;16;-0,42;0,07;-0,49;0,18;5;  -0,88;10;-;0;0,18;5;;3b
Norbert Stübinger - Dr. Gerben Dirksen;48;-0,44;-0,38;-0,06;0,52;18;  -0,41;30;1,37;7;-0,01;11;;3b
Tanja Lutz-Löppenberg - Alfried Bocker;16;-0,50;0,51;-1,01;-2,70;6;  -0,00;10;-2,26;3;-3,13;3;;3c
Dr. Gerold Wieber - Dr. Klaus Krtschil;32;-0,60;0,13;-0,73;-0,21;17;  -1,33;15;-0,88;7;0,26;10;;3c
Fabian von Löbbecke - Janko Katerbau;64;-0,63;-0,26;-0,37;-0,43;38;  -0,29;26;0,34;18;-1,12;20;;1
Jochen Bitschene - Sebastian Reim;64;-0,79;-0,42;-0,37;-0,10;32;  -0,64;32;0,63;16;-0,82;16;;1
Dr. Michael Stumpf - Albrecht Hollstein;64;-0,90;-0,83;-0,07;-0,06;33;  -0,08;31;0,20;22;-0,59;11;;3c
Jürgen Nordmann - Ria Kürschner;16;-0,98;-1,02;0,03;-1,77;6;  1,11;10;-0,45;2;-2,43;4;;3a
Tanja Lutz-Löppenberg - Ying Cheng;32;-1,12;-0,29;-0,83;-1,67;14;  -0,19;16;-0,91;6;-2,24;8;;3c
Peter Fahrenholz - Radu Gliga;64;-1,19;-0,83;-0,36;-0,33;23;  -0,38;41;-0,22;8;-0,38;15;;3c
Henning Gärner - Darius Schiffmann;16;-1,22;-1,38;0,17;1,09;9;  -1,03;7;0,53;3;1,37;6;;3c
Dr. Werner Graf - Klaus Forster;16;-1,35;-0,96;-0,38;-0,64;8;  -0,13;8;-0,60;5;-0,71;3;;3c
Dr. Richard Bley - Florian Alter;16;-1,42;-0,41;-1,00;-0,95;4;  -1,02;12;-2,77;2;0,86;2;;2
Heide Mühleib - Rudolf Lorenz;32;-3,12;-2,46;-0,65;-0,52;17;  -0,80;15;-0,88;7;-0,27;10;;3b

