Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Lothar Schmidt - Martin Jentsch;288;-0,10;-0,29;0,19;0,50;152;  -0,16;132;0,52;78;0,48;74;;3a
Herbert Vetter - Bernhard Landwehr;192;-0,10;-0,05;-0,05;0,11;102;  -0,25;88;-0,08;61;0,41;41;;3c
Matthias Schüller - Paul Orth;208;-0,10;-0,01;-0,10;-0,49;107;  0,33;100;-0,40;61;-0,61;46;;1
Helge Dzellak - Tilman Oeckinghaus;288;-0,10;-0,01;-0,10;0,38;131;  -0,51;153;-0,09;68;0,90;63;;3a
Ulf Bormann - Christine Kraus;175;-0,11;-0,02;-0,09;-0,19;97;  0,04;77;-0,40;41;-0,04;56;;2
Gisela Smykalla - Dr. Michael Schneider;224;-0,12;-0,24;0,12;-0,21;124;  0,54;97;-0,17;69;-0,27;55;;2
Martin Meckel - Thorsten Roth;256;-0,13;-0,08;-0,04;-0,10;138;  0,02;117;-0,52;75;0,41;63;;3b
Paul Grünke - David Cole;192;-0,15;-0,10;-0,05;0,17;81;  -0,21;108;-0,02;39;0,34;42;;1
Ferit Tavlan - Norbert Gutleben;191;-0,17;-0,10;-0,06;0,16;95;  -0,30;92;0,02;44;0,29;51;;3b
Hans Ott - Dr. Wolfgang Walenta;288;-0,17;0,04;-0,21;-0,33;133;  -0,11;148;-0,09;68;-0,59;65;;3a
Horst Hübner - Omid Karimi;160;-0,19;-0,00;-0,19;-0,08;73;  -0,30;84;-0,04;30;-0,10;43;;3b
Dr. Michael Tomski - Dr. Richard Bley;224;-0,20;-0,20;-0,01;-0,14;98;  0,10;122;-0,54;43;0,18;55;;1
Achim Greune - Diana Farken;208;-0,22;-0,31;0,09;0,33;95;  -0,11;110;0,38;52;0,26;43;;3b
Flora Zarkesch-Boeddeker - Robert Boeddeker;288;-0,22;-0,31;0,09;0,07;145;  0,12;142;0,54;69;-0,36;76;;2
Frank-Onno Bettermann - Matthias Berghaus;128;-0,23;-0,07;-0,16;-0,06;64;  -0,27;63;0,09;30;-0,19;34;;3b
Martin Loefgren - Nikolas Bausback;160;-0,24;-0,02;-0,23;-0,22;79;  -0,24;81;0,08;35;-0,45;44;;1
Karl Wartlick - Rudi Salzer;192;-0,25;-0,23;-0,02;0,06;83;  -0,08;106;0,06;50;0,05;33;;3a
Nico Forchert - Omid Karimi;95;-0,26;0,14;-0,39;-0,44;55;  -0,33;40;-0,35;28;-0,52;27;;3b
Marian Powalla - Adam Griger;112;-0,27;-0,05;-0,21;-0,31;55;  -0,12;56;-0,51;26;-0,14;29;;3a
Miklós Dumbovich - Dr. Josef Harsányi;224;-0,29;-0,12;-0,17;-0,45;100;  0,07;121;-0,45;46;-0,45;54;;1
Michael Thomsen - Dr. Gerben Dirksen;191;-0,29;-0,10;-0,19;-0,15;90;  -0,22;100;-0,13;47;-0,18;43;;2
Ireneus Kokocinski - Marta Janeczek;160;-0,29;-0,18;-0,11;-0,11;86;  -0,12;72;-0,15;42;-0,07;44;;3a
Dr. Andreas Spiegl - Dr. Bernhard Schirm;240;-0,30;-0,14;-0,15;-0,28;122;  -0,02;117;-0,32;60;-0,24;62;;3b
Günter Buhr - Hans-Peter Fütterer;288;-0,31;-0,06;-0,24;-0,10;135;  -0,38;151;-0,04;69;-0,16;66;;3a
Mirja Schraverus-Meuer - Axel Meuer;144;-0,31;-0,33;0,02;0,11;77;  -0,08;64;0,22;40;-0,01;37;;1
Peter Jokisch - Udo Kasimir;192;-0,32;-0,10;-0,21;-0,01;100;  -0,45;90;-0,25;45;0,20;55;;1
Anja Alberti - Dieter Laidig;223;-0,34;-0,02;-0,32;-0,14;115;  -0,53;108;0,19;65;-0,56;50;;1
Frank Reichelt - Dr. Jean Georgiades;224;-0,34;-0,15;-0,19;0,03;119;  -0,45;103;0,18;61;-0,13;58;;2
Julius Linde - Christian Schwerdt;192;-0,35;0,05;-0,40;-0,24;98;  -0,56;94;-0,07;45;-0,39;53;;1
Peter Klein - Walter Sorger;192;-0,35;-0,04;-0,31;-0,22;91;  -0,41;98;-0,33;42;-0,12;49;;3a
Hans Frerichs - Ulrich Wenning;192;-0,36;-0,18;-0,17;-0,03;79;  -0,28;110;0,23;40;-0,30;39;;1
Hans-Jörg Schinze - Bert Hanken;160;-0,36;-0,20;-0,16;-0,18;78;  -0,15;82;0,48;44;-1,03;34;;3b
Michael Hornbrook - Dr. Ilan Wolff;176;-0,37;-0,33;-0,04;0,11;83;  -0,17;91;-0,08;43;0,31;40;;3b
Michael Pauly - Werner Kühn;160;-0,37;-0,24;-0,13;-0,14;94;  -0,11;64;-0,18;39;-0,12;55;;3b
Mieke Plath - Ulrike Liss;127;-0,38;-0,20;-0,18;-0,13;68;  -0,24;57;0,05;28;-0,26;40;;3b
Ingeborg Metzler - Bernd Metzler;240;-0,39;-0,02;-0,37;-0,67;117;  -0,09;120;-0,68;56;-0,66;61;;2
Andreas Holowski - Hans Jürgen Bäumges;176;-0,40;-0,13;-0,27;-0,32;99;  -0,20;76;-1,67;31;0,29;68;;3b
Matthias Stenneken - Ralf Wollenberg;160;-0,41;-0,59;0,18;0,26;86;  0,10;72;-0,55;45;1,14;41;;3c
Roland Kühnle - Ulrik Wittek;239;-0,51;0,00;-0,51;-0,78;129;  -0,21;108;-0,95;67;-0,60;62;;2
Barbara von Kleist - Sabine Würdemann;191;-0,51;-0,27;-0,24;0,47;90;  -0,88;100;0,51;48;0,41;42;;3b
Andreas Schiffmann - Darius Schiffmann;191;-0,52;-0,24;-0,27;-0,33;107;  -0,20;82;-1,50;46;0,54;61;;3b
Felix Schadendorf - Joachim Hegener;191;-0,52;-0,18;-0,34;-0,22;79;  -0,45;107;0,20;42;-0,70;37;;2
Frederic Boldt - Dr. Helmut Horacek;96;-0,56;-0,38;-0,17;-0,17;57;  -0,19;37;-0,47;30;0,17;27;;3b
Otto Ruthenberg - Emile Sansour;208;-0,59;-0,50;-0,09;0,27;98;  -0,41;109;0,10;50;0,44;48;;1
Lukas Schenk - Dr. Arno Kretschmer;192;-0,59;-0,08;-0,51;-0,40;89;  -0,61;101;-0,02;38;-0,69;51;;3c
Dr. Gabriele Krämer - Dr. Neklan Chmelik;128;-0,63;-0,32;-0,31;-0,16;66;  -0,47;60;-0,24;36;-0,07;30;;2
Ilia Chapiro - Oleksandr Friedmann;112;-0,63;-0,60;-0,03;-0,23;58;  0,18;53;-0,57;27;0,07;31;;3a
Leela Guba - Ursula Brzuska;192;-0,65;-0,46;-0,19;-0,29;91;  -0,10;100;-0,13;53;-0,51;38;;3c
