                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
TISLEVOLL Faith - EGAN Victoria                        |  224  -0.74 | -0.52  -0.22 |  0.08 (118)  -0.56 (106) |  0.54 ( 61)  -0.42 ( 57) | -0.27 ( 51)  -0.01 ( 55)  -0.42 (106) |
AUDICHE Christina - HOMSY Marguerite                   |  176  -0.76 | -0.53  -0.23 | -0.16 ( 90)  -0.29 ( 86) | -1.10 ( 16)   0.04 ( 74) | -0.13 ( 72)  -0.11 ( 14)  -0.17 ( 86) |
SINGLA Sneh Lata - BAKSHI Meera                        |  208  -0.76 | -0.34  -0.42 | -0.49 (108)  -0.36 ( 99) |  0.09 ( 63)  -1.30 ( 45) | -0.36 ( 44)   0.28 ( 55)  -0.36 ( 99) |
BAKUL SHAH Vasanti - KSHIRSAGAR Alka                   |  271  -0.95 | -0.46  -0.48 | -0.46 (137)  -0.51 (133) | -0.74 ( 88)   0.05 ( 49) | -0.14 ( 78)   0.06 ( 55)  -0.45 (133) |
SOLIMAN Hoda - PHILIPPE PASCAL Catherine               |  176  -1.05 | -0.49  -0.56 | -0.65 ( 79)  -0.49 ( 97) | -0.65 ( 39)  -0.65 ( 40) | -0.00 ( 55)  -0.23 ( 42)  -0.39 ( 97) |
HAI Rubina Saeed - RAZA Fatima                         |  208  -1.23 | -0.31  -0.92 | -0.80 ( 97)  -1.03 (111) | -0.35 ( 54)  -1.38 ( 43) | -0.14 ( 51)  -0.44 ( 60)  -0.73 (111) |
BRINGOLD Solange - CASSIN Jacqueline                   |  224  -1.54 | -0.88  -0.66 | -0.65 ( 91)  -0.67 (133) | -0.84 ( 44)  -0.46 ( 47) |  0.05 ( 61)   0.02 ( 72)  -0.71 (133) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
SOLIMAN Hoda - HOMSY Marguerite                        |   48  -0.27 |  0.24  -0.51 | -0.98 ( 20)  -0.18 ( 28) |  0.42 (  5)  -1.45 ( 15) |  0.07 ( 23)  -0.26 (  5)  -0.19 ( 28) |
SINGLA Sneh Lata - SURANA Asha                         |   16  -0.56 | -1.08   0.52 |  0.95 ( 10)  -0.21 (  6) |  1.18 (  3)   0.86 (  7) |     - (  0)  -0.07 (  6)  -0.14 (  6) |
SURANA Asha - BAKSHI Meera                             |   16  -1.13 |  0.35  -1.47 | -1.09 (  6)  -1.70 ( 10) | -2.14 (  4)   1.02 (  2) | -0.96 (  4)  -1.16 (  6)  -0.63 ( 10) |
HOMSY Marguerite - KHOURI Maud                         |   16  -1.56 | -1.13  -0.43 | -0.96 ( 12)   1.17 (  4) |  1.74 (  5)  -2.90 (  7) |  0.00 (  1)   0.00 (  3)   1.17 (  4) |
SURANA Asha - NARULA Asha                              |   16  -1.94 | -1.49  -0.45 | -0.68 ( 10)  -0.07 (  6) |  0.16 (  1)  -0.77 (  9) |  0.05 (  3)   0.00 (  3)  -0.09 (  6) |
SINGLA Sneh Lata - NARULA Asha                         |   16  -2.69 | -2.47  -0.22 | -0.15 (  8)  -0.29 (  8) | -0.45 (  3)   0.03 (  5) |  0.04 (  4)   0.04 (  4)  -0.33 (  8) |

