                                                       |             |              |           Play           |        Declaring         |                Defending              |
DRAGIC Miroslav - ASH Mike                             |  199  -0.53 | -0.25  -0.28 | -0.06 ( 92)  -0.47 (107) | -0.18 ( 45)   0.05 ( 47) |  0.15 ( 54)  -0.23 ( 53)  -0.43 (107) |
CAPUTO Philippe - VAN MIDDELEM Guy                     |  200  -0.63 | -0.35  -0.28 | -0.37 ( 95)  -0.21 (104) | -0.42 ( 37)  -0.33 ( 58) |  0.12 ( 51)  -0.13 ( 53)  -0.20 (104) |
FERREIRA Carlos - NETO Manuel                          |  200  -0.74 | -0.14  -0.60 | -0.58 ( 96)  -0.62 (104) | -0.43 ( 50)  -0.74 ( 46) | -0.54 ( 56)  -0.37 ( 48)  -0.16 (104) |
GORDON Irving - WHYTE William                          |  200  -0.87 | -0.58  -0.29 | -0.43 (103)  -0.14 ( 96) | -0.27 ( 53)  -0.60 ( 50) | -0.13 ( 52)  -0.24 ( 44)   0.04 ( 96) |
PIPER Douglas - WILKINSON Alexander William            |  239  -0.92 | -0.45  -0.47 | -0.12 (129)  -0.89 (110) | -0.50 ( 70)   0.34 ( 59) | -0.23 ( 66)   0.08 ( 44)  -0.78 (110) |
CORRAL Mari Car - GONSALVES Miguel                     |  220  -0.92 | -0.50  -0.43 | -0.16 (104)  -0.66 (116) | -0.75 ( 54)   0.48 ( 50) | -0.27 ( 54)  -0.04 ( 62)  -0.52 (116) |
LARA Maria Joao - OREY CAPUCHO Manuel d'               |  220  -0.99 | -0.26  -0.73 | -0.53 (114)  -0.95 (105) | -0.25 ( 60)  -0.85 ( 54) | -0.67 ( 57)  -0.31 ( 48)  -0.44 (105) |
GODED MERINO Gonzalo - VINCENT Herve                   |  220  -1.13 | -0.48  -0.65 | -0.32 (119)  -1.04 (101) |  0.08 ( 56)  -0.69 ( 63) | -0.12 ( 50)  -0.39 ( 51)  -0.78 (101) |
DAMASO Nuno - PRATAS Pedro                             |  220  -1.15 | -0.80  -0.35 | -0.77 (114)   0.09 (106) | -0.95 ( 68)  -0.50 ( 46) |  0.22 ( 47)   0.03 ( 59)  -0.02 (106) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |

