Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
LI Jie - LIU Jing;240;-0,03;-0,12;0,10;0,33;125;  -0,16;115;0,54;66;0,09;59;0,03;53;0,08;62;-0,21;115;
TRENDAFILOV Roumen - KARAIVANOV Kalin;192;-0,03;-0,04;0,01;0,04;100;  -0,02;92;0,53;49;-0,43;51;-0,07;44;-0,10;48;0,06;92;
BRENNER Diego - CASTELLO BRANCO Marcelo;224;-0,07;-0,13;0,06;0,08;115;  0,04;109;0,26;50;-0,06;65;0,28;48;-0,07;61;-0,05;109;
TERAMOTO Tadashi - YOKOI Hiroki;192;-0,07;-0,02;-0,05;-0,47;101;  0,42;91;-0,72;52;-0,21;49;-0,08;39;0,70;52;0,05;91;
SAAID Abd El-Salam - NABIL Karim;191;-0,09;-0,11;0,02;0,01;95;  0,04;96;-0,39;37;0,26;58;0,19;51;-0,16;45;0,01;96;
EDGTTON Nabil - GOSNEY John Paul;256;-0,09;-0,02;-0,08;-0,43;132;  0,30;124;-0,69;67;-0,17;65;-0,13;61;0,13;63;0,30;124;
STEFANOV Julian - ARONOV Victor;240;-0,16;-0,07;-0,09;0,18;119;  -0,36;121;0,50;72;-0,32;47;0,01;50;-0,22;71;-0,23;121;
BURAS Krzysztof - NARKIEWICZ Grzegorz;208;-0,19;0,21;-0,40;-0,55;106;  -0,24;101;-0,09;50;-0,97;56;-0,17;60;-0,10;41;-0,09;101;
AMARAL Marcelo - CHAGAS Gabriel;224;-0,28;-0,15;-0,14;-0,11;111;  -0,17;113;-0,49;53;0,25;58;-0,11;67;0,34;46;-0,24;113;
CORNELL Michael - BACH Ashley;208;-0,30;-0,31;0,01;0,10;97;  -0,07;111;0,09;56;0,12;41;-0,31;57;0,25;54;-0,03;111;
HISHMAT Mohamed - NADIM Tarek;160;-0,32;-0,74;0,42;0,84;92;  -0,16;68;0,73;50;0,97;42;0,14;41;0,28;27;-0,36;68;
ROBLES Benjamin - PACAREU Joaquin;320;-0,33;-0,21;-0,12;0,01;161;  -0,24;158;0,01;76;0,00;85;-0,61;79;-0,03;79;0,08;158;
BAXTER Doug - LINDOP David;224;-0,33;-0,29;-0,05;-0,22;96;  0,08;127;0,09;37;-0,41;59;-0,38;58;0,16;69;0,17;127;
LAM Cheng Yen - NG Kelvin;208;-0,35;-0,17;-0,18;-0,16;103;  -0,19;105;-0,03;49;-0,28;54;0,12;58;-0,24;47;-0,15;105;
GAWRYS Piotr - KALITA Jacek;224;-0,38;0,02;-0,40;-0,86;113;  0,07;110;-0,86;53;-0,87;60;0,27;52;-0,32;58;0,12;110;
RAYNER John - ROCHE Michael;240;-0,38;-0,31;-0,07;-0,12;119;  -0,03;120;0,27;61;-0,53;58;-0,09;61;0,06;59;-0,01;120;
STEPHENS Robert - DONDE Bernard;208;-0,42;-0,09;-0,34;-0,27;106;  -0,41;101;-0,62;59;0,16;47;-0,15;52;-0,19;49;-0,24;101;
GHAZI Rashidul - GHEEWALA Tahseen;224;-0,46;-0,22;-0,24;-0,37;109;  -0,11;115;-0,05;55;-0,69;54;0,01;56;-0,01;59;-0,11;115;
BOUVERESSE Jean-Pierre - MATHIEU Philippe;240;-0,47;-0,40;-0,08;0,09;115;  -0,23;125;-0,01;52;0,17;63;0,07;59;-0,02;66;-0,25;125;
ROBLES Jose Manuel - CARACCI Marcelo;224;-0,50;-0,54;0,03;0,37;120;  -0,36;103;0,08;74;0,85;46;-0,08;44;-0,08;59;-0,28;103;
STANSBY Lew - MARTEL Chip;208;-0,54;-0,48;-0,06;0,23;99;  -0,33;108;0,09;53;0,39;46;-0,28;56;-0,03;52;-0,17;108;
GARCIA Roberto - BARRERA URREJOLA Rafael de la;128;-0,59;-0,26;-0,34;-0,71;65;  0,05;63;-0,07;33;-1,38;32;0,78;25;0,20;38;-0,38;63;
HARALDSSON Sigurbjorn - MAGNUSSON Magnus Eidur;192;-0,60;-0,11;-0,48;-0,73;93;  -0,26;99;-0,68;46;-0,77;47;0,12;47;-0,14;52;-0,24;99;
ZHANG Yukun - FONG Kien Hoong;224;-0,63;-0,31;-0,31;-0,21;110;  -0,41;114;-0,60;60;0,27;50;-0,27;56;-0,08;58;-0,24;114;
PURI Muhammad Mubashir - MOHIUDDIN Khaled;224;-0,75;-0,42;-0,33;-0,21;118;  -0,48;104;0,15;62;-0,61;56;0,11;52;-0,09;52;-0,49;104;
AHMED Javed - MASOOD Tahir;224;-0,78;-0,14;-0,64;-0,52;111;  -0,75;113;-0,35;52;-0,68;59;-0,36;60;0,13;53;-0,62;113;
HARGREAVES Mike - MCAVOY James;208;-0,88;-0,73;-0,16;-0,22;92;  -0,11;115;-0,20;45;-0,24;47;-0,05;57;-0,08;58;-0,04;115;
KEMPCZYNSKI Alain - PICARD Pierre;208;-0,92;-0,17;-0,75;-0,74;91;  -0,77;116;-0,43;40;-0,98;51;0,10;67;-0,29;49;-0,71;116;
POON Hua - LOO Choon Chou;240;-0,94;-0,47;-0,47;-0,53;119;  -0,42;121;-0,37;60;-0,68;59;-0,50;54;0,07;67;-0,24;121;
VAIDYA Suhas Vaman - GOEL Ashok Kumar;208;-0,96;-0,60;-0,36;-0,32;106;  -0,40;102;-0,50;48;-0,18;58;-0,06;51;-0,25;51;-0,25;102;
RUE Ivan - GERIN Dominique;208;-1,05;-0,51;-0,55;-0,50;95;  -0,58;113;-0,58;40;-0,45;55;0,16;57;0,00;56;-0,67;113;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GERIN Dominique - MATHIEU Philippe;16;1,81;1,85;-0,04;-0,05;10;  -0,01;6;0,71;4;-0,56;6;0,93;5;0,83;1;-0,92;6;
EL AHMADY Waleed - NABIL Karim;16;1,56;-0,22;1,79;0,60;9;  3,31;7;0,64;7;0,47;2;1,93;5;1,07;2;1,63;7;
TERAMOTO Tadashi - IMAKURA Tadashi;16;1,00;0,89;0,11;1,21;7;  -0,76;9;1,70;5;0,00;2;-0,51;5;0,07;4;-0,51;9;
MAJUMDAR Debabrata - MUKHERJEE Sumit;16;-0,63;-0,93;0,31;1,49;8;  -0,87;8;0,63;5;2,91;3;-0,43;3;-0,39;5;-0,46;8;
TERAMOTO Tadashi - FURUTA Kazuo;16;-2,88;-1,64;-1,23;-0,51;6;  -1,67;10;-0,70;4;-0,13;2;-3,24;5;-0,32;5;0,11;10;

