Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GAWRYS Piotr - KALITA Jacek;224;-0,30;0,01;-0,31;-0,70;113;  0,09;110;-0,61;53;-0,78;60;0,23;52;-0,33;58;0,16;110;
AMARAL Marcelo - CHAGAS Gabriel;224;-0,31;-0,17;-0,14;-0,09;111;  -0,20;113;-0,40;53;0,20;58;-0,09;67;0,27;46;-0,25;113;
LAM Cheng Yen - NG Kelvin;208;-0,31;-0,17;-0,14;-0,11;103;  -0,17;105;-0,00;49;-0,21;54;0,13;58;-0,20;47;-0,16;105;
BAXTER Doug - LINDOP David;224;-0,32;-0,24;-0,08;-0,24;96;  0,03;127;-0,01;37;-0,38;59;-0,34;58;0,11;69;0,13;127;
STEPHENS Robert - DONDE Bernard;208;-0,39;-0,08;-0,31;-0,24;106;  -0,38;101;-0,52;59;0,11;47;-0,14;52;-0,20;49;-0,21;101;
BOUVERESSE Jean-Pierre - MATHIEU Philippe;240;-0,39;-0,30;-0,09;0,07;115;  -0,24;125;-0,03;52;0,16;63;0,06;59;-0,00;66;-0,26;125;
GHAZI Rashidul - GHEEWALA Tahseen;224;-0,42;-0,16;-0,26;-0,38;109;  -0,16;115;-0,11;55;-0,65;54;-0,02;56;-0,03;59;-0,13;115;
RAYNER John - ROCHE Michael;240;-0,43;-0,34;-0,09;-0,12;119;  -0,06;120;0,18;61;-0,43;58;-0,08;61;0,06;59;-0,05;120;
STANSBY Lew - MARTEL Chip;208;-0,45;-0,41;-0,04;0,23;99;  -0,29;108;0,16;53;0,33;46;-0,26;56;-0,00;52;-0,15;108;
ROBLES Jose Manuel - CARACCI Marcelo;224;-0,47;-0,51;0,04;0,34;120;  -0,31;103;0,08;74;0,76;46;-0,04;44;-0,10;59;-0,24;103;
HARALDSSON Sigurbjorn - MAGNUSSON Magnus Eidur;192;-0,50;-0,07;-0,43;-0,62;93;  -0,25;99;-0,58;46;-0,65;47;0,08;47;-0,16;52;-0,21;99;
ZHANG Yukun - FONG Kien Hoong;224;-0,56;-0,28;-0,28;-0,19;110;  -0,38;114;-0,51;60;0,20;50;-0,24;56;-0,06;58;-0,23;114;
GARCIA Roberto - BARRERA URREJOLA Rafael de la;128;-0,59;-0,27;-0,32;-0,70;65;  0,08;63;-0,12;33;-1,30;32;0,70;25;0,20;38;-0,33;63;
HARGREAVES Mike - MCAVOY James;208;-0,68;-0,56;-0,11;-0,18;92;  -0,06;115;-0,18;45;-0,18;47;-0,03;57;-0,07;58;-0,01;115;
PURI Muhammad Mubashir - MOHIUDDIN Khaled;224;-0,69;-0,38;-0,30;-0,17;118;  -0,46;104;0,14;62;-0,52;56;0,06;52;-0,05;52;-0,46;104;
AHMED Javed - MASOOD Tahir;224;-0,73;-0,16;-0,57;-0,46;111;  -0,68;113;-0,31;52;-0,59;59;-0,32;60;0,07;53;-0,55;113;
VAIDYA Suhas Vaman - GOEL Ashok Kumar;208;-0,86;-0,54;-0,32;-0,28;106;  -0,36;102;-0,45;48;-0,14;58;-0,05;51;-0,22;51;-0,23;102;
POON Hua - LOO Choon Chou;240;-0,89;-0,45;-0,43;-0,49;119;  -0,38;121;-0,36;60;-0,62;59;-0,44;54;0,08;67;-0,22;121;
KEMPCZYNSKI Alain - PICARD Pierre;208;-0,89;-0,18;-0,71;-0,69;91;  -0,74;116;-0,47;40;-0,86;51;0,08;67;-0,26;49;-0,67;116;
RUE Ivan - GERIN Dominique;208;-0,96;-0,47;-0,48;-0,43;95;  -0,53;113;-0,50;40;-0,38;55;0,14;57;0,02;56;-0,61;113;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GERIN Dominique - MATHIEU Philippe;16;1,67;1,73;-0,07;-0,13;10;  0,04;6;0,56;4;-0,59;6;0,81;5;0,77;1;-0,76;6;
EL AHMADY Waleed - NABIL Karim;16;1,47;-0,34;1,81;0,64;9;  3,32;7;0,69;7;0,45;2;1,63;5;1,02;2;1,87;7;
TERAMOTO Tadashi - IMAKURA Tadashi;16;0,90;0,79;0,11;1,08;7;  -0,64;9;1,51;5;0,00;2;-0,49;5;0,07;4;-0,40;9;
MAJUMDAR Debabrata - MUKHERJEE Sumit;16;-0,38;-0,69;0,30;1,32;8;  -0,72;8;0,66;5;2,42;3;-0,43;3;-0,42;5;-0,29;8;
TERAMOTO Tadashi - FURUTA Kazuo;16;-2,63;-1,54;-1,09;-0,53;6;  -1,42;10;-0,74;4;-0,13;2;-2,79;5;-0,24;5;0,09;10;

