Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Dr. Bettina Bohnhorst - Dr. Jürgen Sander;288;0,20;0,03;0,18;0,27;135;  0,10;153;0,37;69;0,17;66;;3c
Ralf Schmellekamp - Dimitri Markaris;176;0,19;0,22;-0,02;0,50;92;  -0,60;83;0,21;48;0,81;44;;2
Hans-Joachim Prieß - Raffael Braun;128;0,18;-0,10;0,28;0,30;56;  0,26;72;0,52;24;0,13;32;;2
Peter Heckmann - Christian Glubrecht;144;0,16;-0,09;0,25;-0,05;76;  0,58;68;-0,18;39;0,09;37;;3c
Ulf Bormann - Christine Kraus;191;0,15;-0,19;0,34;0,01;97;  0,67;94;0,27;48;-0,24;49;;3a
Ulrich Kratz - Bernhard Sträter;208;0,14;-0,02;0,16;0,25;105;  0,06;103;0,43;62;0,00;43;;1
Susanne Bohnsack - Uli Trepnau;224;0,11;0,17;-0,07;-0,19;105;  0,04;119;-0,13;46;-0,23;59;;3b
Michael Hornbrook - Dr. Ilan Wolff;287;0,10;0,19;-0,08;-0,24;149;  0,09;137;-0,47;83;0,06;66;;3c
Nils Bokholt - Roland Watzdorf;192;0,10;-0,13;0,23;-0,18;93;  0,61;99;-0,20;42;-0,16;51;;3b
Ingeborg Metzler - Bernd Metzler;192;0,10;0,13;-0,04;-0,21;89;  0,10;103;-0,61;40;0,13;49;;3c
Rainer Herrmann - Detlev Kröning;288;0,09;0,00;0,09;0,24;170;  -0,13;118;-0,04;84;0,52;86;;3c
Horst Hübner - Omid Karimi;222;0,09;0,09;0,00;0,24;101;  -0,20;119;0,13;46;0,33;55;;3a
Joachim Cappeller - Clemens Oelker;224;0,09;-0,09;0,17;0,18;108;  0,17;115;-0,11;56;0,49;52;;2
Achim Greune - Diana Farken;288;0,08;-0,29;0,37;0,52;133;  0,24;155;-0,04;63;1,04;70;;3c
Martin Schrödel - Martin Werner;208;0,08;0,05;0,03;0,16;98;  -0,08;109;-0,11;57;0,53;41;;1
Andreas Schaper - Dr. Lutz Wienert;286;0,08;0,12;-0,04;-0,37;134;  0,24;151;-0,29;70;-0,46;64;;3c
Erhard Sternheimer - Andeas Böhmer;286;0,07;0,20;-0,13;-0,26;128;  -0,03;158;-0,25;58;-0,26;70;;3b
Michael Schröder - Stefan Schmieder;191;0,04;0,01;0,04;-0,11;101;  0,20;90;-0,37;40;0,06;61;;3c
Robert Maybach - Wolf Stahl;160;0,04;0,33;-0,28;0,31;82;  -0,91;78;-0,29;41;0,91;41;;3b
Tobias Förster - Werner Kühn;191;0,04;-0,45;0,50;0,62;98;  0,37;92;0,72;52;0,51;46;;3a
Klaus-Dieter Wacker - Ulrich Staber;288;0,04;0,11;-0,07;0,07;136;  -0,19;150;-0,05;68;0,19;68;;3c
Bernd Donner - Dr. Daniela Westermann;142;0,04;0,11;-0,07;0,08;78;  -0,25;64;0,09;35;0,08;43;;3c
Theo Reinhard - Thomas Neuhauser;286;-0,01;-0,11;0,10;0,07;137;  0,13;148;0,29;64;-0,13;73;;3b
Julius Linde - Christian Schwerdt;160;-0,02;-0,39;0,38;0,39;86;  0,37;73;1,12;50;-0,63;36;;1
Michael Kammermeier - Dr. Michael Tomski;144;-0,04;0,38;-0,42;-0,43;72;  -0,42;72;0,09;38;-1,00;34;;1
Leszek Molak - Wlodzimiers Duszynski;96;-0,06;0,01;-0,07;0,21;48;  -0,34;48;0,63;27;-0,33;21;;3a
Martin Hofmann - Dr. Peer Köster;207;-0,06;0,08;-0,14;-0,48;108;  0,23;99;-0,47;47;-0,49;61;;3a
Felix Zimmermann - Max Ellerbeck;224;-0,06;0,14;-0,21;-0,05;132;  -0,43;91;0,02;66;-0,13;66;;2
Lothar Schmidt - Martin Jentsch;176;-0,07;-0,18;0,11;0,21;94;  -0,01;82;0,42;40;0,06;54;;2
Hartmut Kondoch - Prinz Josias zu Waldeck;208;-0,07;-0,20;0,13;0,01;105;  0,24;103;-0,40;55;0,45;50;;2
Kai Röhlk - Caren Grenz;224;-0,08;0,15;-0,23;0,06;114;  -0,54;110;-0,07;52;0,17;62;;3c
Roland Godlewski - Dr. Silvia Klasberg-Brawanski;144;-0,10;-0,22;0,12;0,25;76;  -0,02;68;0,35;38;0,15;38;;3a
Eckhard Renken - Franz-Jürgen Röttger;128;-0,10;-0,24;0,14;-0,14;61;  0,38;67;0,02;34;-0,34;27;;3b
Josef Knoll - Dr. Wolfgang Walenta;128;-0,12;-0,00;-0,11;-0,23;61;  -0,00;66;-0,19;27;-0,27;34;;2
Thomas Mayr - Volker Hund-Schulze;224;-0,12;-0,03;-0,09;-0,46;112;  0,28;110;-0,23;58;-0,70;54;;3c
Matthias Schüller - Paul Orth;160;-0,16;-0,11;-0,06;0,13;80;  -0,25;80;0,10;44;0,18;36;;1
Martin Stoszek - Anne Heim;256;-0,17;0,03;-0,20;-0,21;131;  -0,19;124;-0,26;57;-0,17;74;;3b
Rainer Handel - Christoph Kemmer;288;-0,17;-0,00;-0,17;-0,12;139;  -0,22;148;-0,34;71;0,12;68;;1
Göran Mattsson - Robert Koch;192;-0,18;-0,01;-0,16;-0,27;98;  -0,05;94;-0,21;52;-0,34;46;;1
Udo Kreimeyer - Wolfgang Sonntag;160;-0,19;0,06;-0,24;-0,80;73;  0,22;86;-0,57;28;-0,95;45;;3b
Felix Schadendorf - Dietmar Korb;192;-0,20;0,03;-0,23;-0,14;95;  -0,31;97;-0,02;51;-0,29;44;;2
Peter Jokisch - Udo Kasimir;288;-0,21;-0,18;-0,03;0,17;150;  -0,24;138;0,10;78;0,24;72;;1
Dr. Karl-Heinz Kaiser - Dr. Peter Freche;288;-0,23;-0,02;-0,21;-0,14;140;  -0,27;148;0,15;75;-0,47;65;;2
Flora Boeddeker - Robert Boeddeker;288;-0,24;-0,07;-0,17;-0,02;137;  -0,30;151;0,37;65;-0,38;72;;2
Henning Gärner - Dr. Gerhard Göttsch;288;-0,24;-0,11;-0,13;0,01;147;  -0,26;141;-0,06;55;0,05;92;;2
Jochen Paustian - Prof, Dr. Roland Schmid;128;-0,24;-0,20;-0,04;0,28;62;  -0,34;66;0,25;30;0,31;32;;3c
Günter Buhr - Hans-Peter Fütterer;224;-0,25;-0,06;-0,19;0,15;105;  -0,50;118;0,02;50;0,28;55;;3c
Karl Wartlick - Rudi Salzer;286;-0,26;-0,26;0,00;0,36;142;  -0,35;144;0,04;73;0,69;69;;3c
Ulrike Schreckenberger - Andreas Babsch;128;-0,27;-0,33;0,06;-0,04;61;  0,15;66;-0,12;30;0,03;31;;3b
Rolf Beckmann - Wolfram Rach;160;-0,28;-0,27;-0,00;-0,21;81;  0,21;79;-0,14;53;-0,34;28;;3b
Hans Frerichs - Ulrich Wenning;224;-0,33;0,00;-0,34;-0,13;119;  -0,57;105;-0,19;66;-0,05;53;;1
Christoph Hofbauer - Dr. Michael Stumpf;192;-0,33;-0,16;-0,18;-0,35;88;  -0,03;103;-0,49;46;-0,20;42;;3b
Heinrich Nowak - Stefan Back;160;-0,34;-0,13;-0,21;-0,08;85;  -0,35;75;-0,13;46;-0,01;39;;1
Loek Fresen - Waltraud Vogt;144;-0,34;-0,19;-0,15;-0,55;77;  0,31;67;-0,70;40;-0,39;37;;1
Klaus Kersting - Andreas Bollhorst;288;-0,34;-0,30;-0,05;-0,02;147;  -0,07;140;-0,04;63;-0,01;84;;3c
Matthias Felmy - Vitaliy Khanukov;159;-0,35;-0,24;-0,10;0,18;86;  -0,44;73;0,69;43;-0,33;43;;1
Friedrich Kleißendorf - Angelika Röttger;94;-0,35;-0,14;-0,21;0,27;46;  -0,67;48;0,69;15;0,06;31;;3b
Borys Yawlinsky - Dr. Gerhard Thurn;288;-0,37;-0,00;-0,37;0,03;143;  -0,76;145;0,33;90;-0,47;53;;3c
Andreas Jansen - Josef Bracht;192;-0,37;-0,30;-0,07;-0,10;90;  -0,04;102;-0,21;50;0,04;40;;3b
Roland Kühnle - Yves Mucha;192;-0,38;0,03;-0,41;-0,37;100;  -0,46;90;-0,61;52;-0,12;48;;1
Ralf Fiedler - Christoph Moritz;255;-0,38;-0,02;-0,36;-0,31;114;  -0,39;141;-0,07;48;-0,49;66;;3a
Klaus Amann - Dr. Carina Tetal;176;-0,41;-0,13;-0,28;-0,21;90;  -0,37;84;-0,19;46;-0,22;44;;3a
Lars Hüllen - Stefan Hinck;239;-0,47;-0,41;-0,06;-0,09;114;  -0,04;125;0,36;66;-0,71;48;;3a
Frank-Onno Bettermann - Matthias Berghaus;160;-0,49;-0,50;0,01;0,13;73;  -0,09;86;0,10;31;0,15;42;;2
Annaig Della Monta - Dr. Alfred Berthold;224;-0,49;-0,27;-0,22;-0,33;109;  -0,11;114;-0,17;60;-0,53;49;;1
Hans-Joachim Trapp - Albrecht Hollstein;190;-0,50;-0,21;-0,29;-0,54;100;  -0,02;89;0,57;55;-1,89;45;;3b
Ortwin Wagner - Wolfram von Alvensleben;253;-0,51;-0,08;-0,43;-0,44;120;  -0,42;132;-0,80;61;-0,07;59;;1
Lothar Schulze - Christoph Hauschild;238;-0,52;-0,22;-0,31;-0,56;124;  -0,04;113;-0,66;65;-0,44;59;;3a
Johannes Risch - Dr. Nico Dingenouts;192;-0,52;-0,30;-0,22;-0,38;102;  -0,05;89;-0,67;51;-0,08;51;;3b
Irmgard Charles - Darrell Charles;190;-0,53;-0,33;-0,20;-0,34;96;  -0,05;94;-0,40;47;-0,29;49;;3b
Ingrid Gromann - Maria Würmseer;128;-0,54;-0,28;-0,26;-0,05;74;  -0,55;54;-0,17;29;0,02;45;;2
Benedikt Wiemeyer - Dr. Ralf Schlotmann;222;-0,56;-0,18;-0,38;-0,30;103;  -0,44;119;-0,30;38;-0,30;65;;3c
Marina Tetyusheva - Yevgeniya Khanukova;128;-0,56;-0,97;0,40;0,24;64;  0,58;63;0,88;31;-0,37;33;;3b
Fabian von Löbbecke - Dirk Sanne;192;-0,63;-0,69;0,06;0,21;95;  -0,07;97;0,11;48;0,31;47;;1
Hans-Jürgen Riedel - Lutz Narajek;112;-0,64;-0,40;-0,23;0,33;64;  -0,99;48;0,13;31;0,52;33;;3a
Jan Chodorowski - Dr. Wendelin Albert;192;-0,67;-0,39;-0,27;-0,33;92;  -0,23;100;-0,43;54;-0,17;38;;2
Uwe Schoolmann - Dr. Annikki Schoolmann;238;-0,67;-0,38;-0,30;-0,30;127;  -0,29;111;-0,36;65;-0,24;62;;3a
Jacek Lesniczak - Janko Katerbau;160;-0,67;-0,86;0,19;0,16;77;  0,22;83;-0,03;38;0,35;39;;1
Martin Loefgren - Nikolas Bausback;224;-0,68;-0,37;-0,31;-0,18;105;  -0,43;119;-0,44;59;0,16;46;;1
Michael Pauly - Beatrix Kuzselka;160;-0,73;-0,35;-0,38;-0,37;76;  -0,40;84;-0,25;42;-0,52;34;;3a
Frederic Boldt - Dr. Helmut Horacek;191;-0,75;-0,46;-0,29;-0,25;97;  -0,33;94;-0,18;55;-0,35;42;;2
Barbara von Kleist - Sabine Würdemann;128;-0,82;-0,14;-0,69;-0,75;59;  -0,64;69;-0,63;28;-0,85;31;;3c
Dr. Andreas Spiegl - Dr. Bernhard Schirm;192;-0,84;-0,63;-0,21;-0,21;96;  -0,21;96;-0,71;43;0,20;53;;3b
Dr. Yasmin Basegmez - Anja Ebeling;128;-0,85;-0,44;-0,41;-0,11;71;  -0,79;57;-0,15;37;-0,07;34;;3b
Hans-Jürgen Riedel - Ingo Schmid;112;-0,96;-0,77;-0,18;-0,18;50;  -0,19;62;0,34;34;-1,27;16;;3a
Regine Bartels - Thomas Schmitt;96;-1,07;-0,39;-0,68;-0,44;43;  -0,87;53;-0,82;19;-0,15;24;;2
Guido Klein - Ulrike Köppchen;143;-1,12;-0,23;-0,89;-0,62;65;  -1,11;78;-0,73;32;-0,50;33;;3a
Hans Ott - Dr. Wolfgang Walenta;96;-1,17;-0,62;-0,55;-0,36;42;  -0,71;53;-1,07;18;0,17;24;;2

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Hans-Jürgen Riedel - Antje Berghaus;63;1,09;1,08;0,01;-0,63;26;  0,46;37;-0,96;18;0,12;8;;3a
Julius Linde - Ralph Retzlaff;64;0,56;0,14;0,42;0,79;28;  0,13;36;0,09;18;2,04;10;;1
Lutz Gröbler - Christian Glubrecht;80;0,53;-0,55;1,08;1,54;43;  0,54;37;1,30;21;1,78;22;;3c
Josef Knoll - Lothar Schmidt;16;0,52;0,09;0,43;-0,82;7;  1,40;9;-1,12;6;0,96;1;;2
Helga Stoermer - Lutz Narajek;64;0,47;0,19;0,29;0,31;32;  0,26;32;-0,55;15;1,08;17;;3a
Martin Stoszek - Dirk Gyselinck;32;0,35;0,40;-0,05;0,07;17;  -0,19;15;1,03;8;-0,78;9;;3b
Hans Ott - Lothar Schmidt;32;0,32;-0,41;0,73;-0,48;14;  1,67;18;-1,72;5;0,21;9;;2
Beatrix Kuzselka - Werner Kühn;16;0,26;-0,28;0,54;-0,16;9;  1,45;7;-0,01;7;-0,71;2;;3a
Andrzej Konczak - Stefan Behn;64;0,25;-0,13;0,38;0,69;38;  -0,06;26;0,64;19;0,73;19;;3c
Hans Ott - Martin Jentsch;64;0,13;0,22;-0,09;-0,28;36;  0,15;28;-1,13;19;0,67;17;;2
Thomas Suppes - Torsten Skibbe;80;0,02;0,33;-0,31;-0,27;37;  -0,35;43;-0,53;17;-0,05;20;;3a
Ingo Schmid - Lutz Narajek;63;-0,14;-0,21;0,07;-0,79;33;  1,02;30;-0,28;17;-1,32;16;;3a
Günter Buhr - Karin Buhr;64;-0,27;0,31;-0,58;-1,19;34;  0,12;30;-0,64;21;-2,09;13;;3c
Heinrich Jung - Bernd Donner;64;-0,32;-0,20;-0,12;-0,01;24;  -0,18;40;0,12;13;-0,17;11;;3c
Antje Berghaus - Petra Eleftherakis;32;-0,34;0,20;-0,54;-1,24;16;  0,15;16;-0,41;3;-1,43;13;;3a
Jovanka Smederevac - Susanne Kriftner;80;-0,45;-0,35;-0,10;0,87;47;  -1,52;32;1,37;21;0,46;26;;2
Raffael Braun - Ralf Vitters;48;-0,45;-0,02;-0,43;-0,29;24;  -0,58;24;-0,55;13;0,02;11;;2
Stefan Behn - Bernd Engelhardt;16;-0,46;-1,80;1,34;1,68;10;  0,78;6;1,46;4;1,82;6;;3c
Lutz Narajek - Petra Eleftherakis;48;-0,46;-0,42;-0,04;-0,31;24;  0,22;24;0,18;13;-0,88;11;;3a
Helga Stoermer - Antje Berghaus;32;-0,52;-0,61;0,10;0,60;15;  -0,35;17;0,30;7;0,87;8;;3a
Helga Stoermer - Petra Eleftherakis;47;-0,54;-0,31;-0,23;-0,57;18;  -0,01;29;-1,20;10;0,22;8;;3a
Hans Ott - Josef Knoll;48;-0,87;-0,20;-0,67;-0,80;27;  -0,52;21;-1,75;12;-0,04;15;;2
Hartmut Kondoch - Sebastian Weyand;80;-0,91;-0,51;-0,40;-0,19;35;  -0,57;45;-0,49;13;-0,01;22;;2
Stanislaus Kosikowski - Dr. Walter Höger;48;-0,92;-0,78;-0,14;-0,38;20;  0,03;28;0,93;5;-0,81;15;;1
Michael Pauly - Berthold Engel;32;-1,12;-0,40;-0,72;-0,05;17;  -1,58;14;0,37;7;-0,35;10;;3a
Tobias Förster - Berthold Engel;32;-1,12;-1,43;0,30;-0,27;17;  0,95;15;-0,89;7;0,16;10;;3a
Andreas Schiffmann - Darius Schiffmann;32;-1,26;-0,81;-0,44;-1,19;19;  0,64;13;-1,42;14;-0,55;5;;3b
Franz-Jürgen Röttger - Angelika Röttger;29;-1,31;-0,73;-0,58;-0,54;16;  -0,63;13;0,43;7;-1,28;9;;3b
Lothar Schmidt - Dr. Wolfgang Walenta;16;-1,57;-1,37;-0,20;-0,12;8;  -0,27;8;0,12;5;-0,53;3;;2

