Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Lutz Springer - Bernd Gahntz;160;0,13;0,05;0,08;0,15;79;  0,01;81;0,22;33;0,09;46;;3c
Matthias Schüller - Paul Orth;160;0,11;-0,02;0,13;0,83;71;  -0,43;89;1,17;30;0,58;41;;1
Marina Tetyusheva - Yevgeniya Khanukova;119;0,09;-0,15;0,25;0,46;54;  0,07;62;-0,31;30;1,42;24;;3b
Borys Yawlinsky - Dr. Gerhard Thurn;288;0,08;-0,11;0,19;0,80;157;  -0,55;131;0,51;77;1,08;80;;3a
Göran Mattsson - Robert Koch;144;0,07;0,15;-0,07;0,56;74;  -0,74;70;0,02;33;0,99;41;;2
Horst-Dieter Uhlmann - Werner Schneider;208;0,07;0,12;-0,05;-0,04;102;  -0,05;106;-0,29;50;0,20;52;;2
Loek Fresen - Waltraud Vogt;224;0,06;-0,08;0,14;-0,04;109;  0,32;113;-0,21;58;0,15;51;;2
Matthias Felmy - Vitaliy Khanukov;192;0,05;-0,07;0,12;0,89;90;  -0,57;100;1,32;48;0,40;42;;1
Manfred Kastell - Prof, Ulrich Spengler;253;0,04;-0,13;0,17;0,52;122;  -0,16;130;0,72;59;0,33;63;;3c
Rainer Handel - Christoph Kemmer;288;0,04;0,20;-0,16;-0,01;156;  -0,35;132;0,17;83;-0,21;73;;1
Klaus Amann - Carina Tetal;176;0,02;0,09;-0,07;0,61;72;  -0,55;103;0,94;31;0,36;41;;3a
Helmut Häusler - Michael Gromöller;160;0,01;-0,18;0,18;0,21;74;  0,16;85;-0,12;36;0,53;38;;1
Simon Beadle - Thomas Schoop;128;-0,00;0,23;-0,23;0,15;63;  -0,61;64;-0,10;30;0,37;33;;3a
Jim Elliott - Joachim Hegener;208;-0,00;-0,11;0,11;0,63;96;  -0,34;112;1,41;44;-0,03;52;;3c
Laszló Honti - Dr. Josef Harsanyi;206;-0,02;0,25;-0,27;0,28;104;  -0,84;101;0,11;53;0,46;51;;1
Theo Reinhard - Thomas Neuhauser;288;-0,02;0,11;-0,13;-0,08;145;  -0,18;142;0,18;70;-0,33;75;;3a
Holger Hoffmann - Christian Dörmer;240;-0,02;-0,08;0,06;0,70;115;  -0,54;124;0,64;46;0,74;69;;2
Anja Alberti - Mirja Schraverus-Meuer;192;-0,03;0,09;-0,11;-0,15;94;  -0,08;97;0,34;50;-0,70;44;;2
Stefan Helling - Dr. Sören Hein;192;-0,04;-0,09;0,05;-0,35;90;  0,40;102;-0,03;45;-0,68;45;;3a
Martin Wüst - Dr. Richard Bley;192;-0,04;-0,13;0,09;0,47;100;  -0,32;92;0,80;54;0,08;46;;1
Jan Chodorowski - Dr. Wendelin Albert;192;-0,04;-0,29;0,25;0,62;94;  -0,10;97;1,09;43;0,21;51;;3a
Andreas Visetti - Bernd Engelhardt;192;-0,05;0,08;-0,13;0,01;99;  -0,28;92;-0,08;55;0,13;44;;2
Jörg Kraemer - Dennis Kraemer;192;-0,07;-0,27;0,19;0,50;102;  -0,16;90;-0,03;62;1,34;40;;3a
Lothar Schulze - Christoph Hauschild;192;-0,07;-0,14;0,07;0,02;100;  0,12;90;-0,50;47;0,49;53;;3b
Hans-Georg Keuchel - Kai Gladigau;96;-0,08;0,03;-0,12;0,06;54;  -0,35;41;0,28;31;-0,22;23;;3a
Frank-Onno Bettermann - Matthias Berghaus;223;-0,08;0,05;-0,13;-0,09;106;  -0,18;114;0,14;60;-0,40;46;;2
Jan van Oosten - Dr. Ansgar Seiter;192;-0,08;-0,15;0,07;0,25;91;  -0,10;100;0,16;53;0,38;38;;3a
Rolf Beckmann - Wolfram Rach;112;-0,09;-0,56;0,48;0,48;58;  0,48;54;0,14;33;0,91;25;;3a
Klaus Zeitler - Thomas Martin;192;-0,09;0,13;-0,22;-0,23;98;  -0,21;94;-0,28;44;-0,19;54;;3b
Hartmut Kondoch - Sebastian Weyand;176;-0,11;-0,11;0,00;0,06;77;  -0,04;99;-0,12;35;0,21;42;;2
Josef Piekarek - Alexander Smirnov;95;-0,11;0,05;-0,16;0,28;51;  -0,66;44;0,44;28;0,08;23;;1
Regine Bartels - Thomas Schmitt;96;-0,11;-0,35;0,23;-0,17;45;  0,60;51;-0,69;25;0,47;20;;3a
Karl Wartlick - Ulrich Staber;144;-0,12;-0,20;0,08;0,50;62;  -0,24;79;0,57;27;0,44;35;;3a
Frank Reichelt - Dr. Jean Georgiadis;192;-0,13;-0,01;-0,12;0,09;95;  -0,32;96;0,02;48;0,15;47;;2
Nadia Sanne - Wiebke Farwig;96;-0,13;-0,03;-0,10;0,08;46;  -0,28;50;0,36;25;-0,24;21;;3b
Andrzej Grzesik - Prof, Dr. Paul Margaretha;192;-0,14;0,05;-0,19;-0,02;97;  -0,37;92;0,33;46;-0,34;51;;3a
Günter Buhr - Karin Buhr;272;-0,15;-0,02;-0,12;0,05;129;  -0,28;143;0,53;65;-0,44;64;;3b
Roland Godlewski - Dr. Silvia Klasberg-Brawanski;112;-0,15;0,05;-0,20;0,01;67;  -0,52;45;0,21;29;-0,14;38;;3b
Josef Knoll - Dr. Wolfgang Walenta;144;-0,16;-0,04;-0,12;0,03;69;  -0,27;74;-0,50;43;0,91;26;;3c
Fabian von Löbbecke - Dirk Sanne;175;-0,17;-0,31;0,14;0,35;87;  -0,06;88;0,04;37;0,58;50;;1
Jürgen Dürkop - Bettina Brammann-Kuisat;272;-0,17;-0,27;0,09;0,26;110;  -0,02;160;0,08;57;0,46;53;;3c
Dr. Frank Pioch - Dr. Rolf Kühn;191;-0,18;-0,14;-0,04;0,42;94;  -0,49;96;0,42;39;0,42;55;;1
Georg Kippenberg - Stefan Schubert;268;-0,18;0,23;-0,41;-0,02;149;  -0,91;118;0,00;78;-0,05;71;;3c
Susanne Kriftner - Andrea Reim;160;-0,18;0,27;-0,45;0,13;84;  -1,12;74;-0,09;41;0,34;43;;2
Uwe Siedenburg - Christian Fröhner;192;-0,19;0,05;-0,24;-0,01;95;  -0,46;97;0,05;53;-0,08;42;;3b
Claudia Vechiatto - Dr. Gerold Wieber;175;-0,20;-0,08;-0,13;0,57;88;  -0,83;87;0,37;50;0,83;38;;3b
Kathryn Herz - Eckhard Böhlke;190;-0,21;-0,22;0,01;0,35;95;  -0,33;94;-0,03;50;0,78;45;;2
Ingo Lüßmann - Claudia Lüßmann;192;-0,21;0,09;-0,30;-0,36;99;  -0,24;91;-0,48;52;-0,22;47;;2
Gregor Sieber - Ulrike Schreckenberger;151;-0,22;-0,05;-0,17;0,09;67;  -0,39;81;-0,43;32;0,57;35;;3b
Jürgen Hollich - Dr. Herbert Thieme;176;-0,22;-0,19;-0,03;0,37;87;  -0,42;89;0,45;49;0,26;38;;3b
Andreas Schaper - Dr. Lutz Wienert;288;-0,22;-0,02;-0,20;-0,16;140;  -0,24;147;-0,11;85;-0,24;55;;3a
Christian Schlicker - Dr. Claus Günther;288;-0,23;-0,15;-0,08;0,36;145;  -0,53;142;0,15;80;0,63;65;;1
Horst Hübner - Omid Karimi;208;-0,28;0,17;-0,45;-0,70;108;  -0,18;100;-0,78;61;-0,58;47;;3b
Ingrid Gromann - Maria Würmseer;192;-0,28;-0,13;-0,15;0,14;98;  -0,45;94;-0,07;60;0,46;38;;2
Hans Luger - Wolfgang Demleitner;189;-0,29;-0,35;0,06;0,09;86;  0,03;102;0,09;47;0,10;39;;3c
Ralf Fiedler - Christoph Moritz;208;-0,30;-0,08;-0,22;-0,17;96;  -0,27;111;-0,05;46;-0,28;50;;3b
Flora Boeddeker - Robert Boeddeker;288;-0,32;-0,04;-0,28;0,09;144;  -0,65;143;0,89;75;-0,78;69;;2
Jochen Paustian - Prof, Roland Schmidt;256;-0,32;-0,25;-0,07;0,12;136;  -0,28;119;0,08;69;0,16;67;;3c
Otto Ruthenberg - Emile Sansour;191;-0,33;-0,34;0,01;0,09;104;  -0,09;85;-0,45;43;0,47;61;;2
Hans-Georg Keuchel - Bodo Lagemann;192;-0,37;-0,23;-0,14;-0,02;98;  -0,26;94;0,13;45;-0,14;53;;3a
Felix Schadendorf - Dietmar Korb;143;-0,37;-0,22;-0,15;-0,26;57;  -0,07;86;-0,44;26;-0,12;31;;3b
Peter Heckmann - Christian Glubrecht;272;-0,37;-0,42;0,05;0,33;133;  -0,23;139;0,15;69;0,53;64;;3b
Friedrich Kleißendorf - Angelika Röttger;144;-0,39;-0,40;0,01;-0,08;59;  0,07;85;-0,45;21;0,12;38;;3a
Gisela Smykalla - Dr. Michael Schneider;192;-0,40;-0,25;-0,15;0,01;91;  -0,29;100;-0,54;42;0,48;49;;2
Udo Kreimeyer - Wolfgang Sonntag;144;-0,41;-0,44;0,04;-0,05;66;  0,11;78;-0,11;26;-0,01;40;;3a
Jacek Lesniczak - Janko Katerbau;192;-0,42;-0,16;-0,27;-0,19;89;  -0,34;103;-0,45;45;0,08;44;;1
Marc Schomann - Dr. Michael Tomski;207;-0,46;-0,32;-0,14;-0,22;92;  -0,08;114;0,23;52;-0,79;40;;1
Dr. Karl-Heinz Kaiser - Dr. Peter Freche;287;-0,46;-0,18;-0,28;0,16;140;  -0,71;146;-0,10;57;0,34;83;;1
Thomas Suppes - Torsten Skibbe;128;-0,46;-0,26;-0,20;0,35;59;  -0,68;68;-0,14;34;1,01;25;;3b
Gabriele Schmelter - Dr. Johann Wempen;160;-0,47;-0,09;-0,37;0,07;75;  -0,77;85;0,32;45;-0,30;30;;3c
Helge Dzellak - Max Neumann;128;-0,48;-0,14;-0,34;-0,35;69;  -0,34;59;-0,54;40;-0,08;29;;2
Hans-Joachim Trapp - Albrecht Hollstein;128;-0,50;-0,04;-0,46;-0,75;58;  -0,21;70;-0,80;30;-0,70;28;;3a
Eva Kleimann - Simon Beadle;96;-0,53;-0,04;-0,49;-0,54;44;  -0,45;52;-0,16;21;-0,88;23;;3a
Guido Klein - Ulrike Köppchen;176;-0,54;-0,36;-0,18;0,14;78;  -0,45;96;-0,08;36;0,33;42;;3c
Mathias Farwig - Wiebke Farwig;96;-0,59;-0,01;-0,58;-0,69;51;  -0,46;44;-0,59;24;-0,79;27;;3b
Mathias Farwig - Sabrina Wichmann;112;-0,62;-0,60;-0,02;-0,02;49;  -0,02;62;0,33;24;-0,36;25;;3b
Christian Farwig - Dr. Marcus Joest;192;-0,63;-0,11;-0,52;-0,25;97;  -0,80;95;0,00;46;-0,48;51;;1
Achim Greune - Diana Farken;272;-0,64;-0,24;-0,40;-0,34;135;  -0,46;135;-0,54;62;-0,17;73;;3c
Frank Wichmann - Sabrina Wichmann;128;-0,67;-0,16;-0,51;-0,23;56;  -0,74;71;-0,46;28;-0,00;28;;3b
Anselm Kiessling - Dr. Nikolaus Bay;128;-0,71;-0,41;-0,30;-0,52;72;  -0,01;55;-0,13;36;-0,91;36;;3c
Helmut Häusler - Dr. Andreas Kirmse;95;-0,72;-0,44;-0,29;-0,12;45;  -0,46;48;0,33;22;-0,56;23;;1
Martin Rehder - Dr. Entscho Wladow;192;-0,82;-0,42;-0,40;-0,20;103;  -0,62;89;0,30;46;-0,61;57;;1
Stefan Behn - Dirk Nedler;112;-0,92;-0,99;0,07;0,74;49;  -0,45;63;-0,01;26;1,58;23;;2
Frank Dethlefsen - Alexander Finke;224;-0,94;-0,63;-0,31;0,10;101;  -0,64;123;0,08;47;0,11;54;;3c
Martin Schrödel - Martin Werner;191;-0,94;-0,83;-0,11;0,26;77;  -0,35;114;0,10;44;0,47;33;;1
Ursula Brzuska - André Kriner;96;-1,74;-0,95;-0,80;-1,21;47;  -0,40;49;-1,40;20;-1,07;27;;3a

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Dr. Josef Harsanyi - Dr. Michael Elinescu;16;1,77;0,29;1,48;2,61;7;  0,61;9;1,16;4;4,54;3;;1
Marie Eggeling - Dietmar Korb;64;1,44;0,38;1,06;0,77;29;  1,30;35;-0,58;9;1,38;20;;3b
Hans-Jürgen Riedel - Petra Eleftherakis;16;1,14;0,41;0,74;1,46;5;  0,40;11;2,32;2;0,89;3;;3c
Lothar Schmidt - Dr. Wolfgang Walenta;16;1,08;-1,86;2,94;5,97;6;  1,12;10;8,84;4;0,23;2;;3c
Frank Wichmann - Mathias Farwig;32;1,00;0,53;0,47;0,67;13;  0,33;19;1,17;7;0,10;6;;3b
Hans-Jürgen Riedel - Antje Berghaus;32;0,94;0,43;0,51;0,52;16;  0,49;16;0,05;3;0,63;13;;3c
Hans-Joachim Prieß - Marie Eggeling;32;0,88;0,16;0,72;0,65;16;  0,80;16;0,89;5;0,54;11;;3b
Helga Stoermer - Lutz Narajek;64;0,82;0,66;0,16;0,08;37;  0,28;27;-0,77;14;0,60;23;;3c
Anselm Kiessling - Sylvia Tuerk;64;0,75;0,72;0,04;0,20;35;  -0,16;29;1,30;16;-0,73;19;;3c
Herbert Klumpp - Horst Borho;32;0,47;0,58;-0,11;0,45;14;  -0,57;17;-0,18;5;0,79;9;;2
Sabine Würdemann - Dr. Hans Fleischhack;48;0,43;-0,47;0,90;1,17;26;  0,58;22;0,93;14;1,46;12;;3b
Gordon Kolling - Prinz Josias zu Waldeck;48;0,37;0,20;0,16;1,03;24;  -0,71;24;1,05;10;1,02;14;;2
Karl Wartlick - Simon Beadle;16;0,36;-0,17;0,53;0,60;7;  0,47;9;0,70;6;0,00;1;;3a
Ingo Schmid - Lutz Narajek;48;0,31;-0,07;0,38;0,36;26;  0,41;22;1,22;15;-0,82;11;;3c
Michael Gromöller - Dr. Andreas Kirmse;32;0,27;-0,53;0,80;1,04;17;  0,53;15;1,31;10;0,66;7;;1
Felix Zimmermann - Hartmut Kondoch;64;0,21;0,29;-0,08;-0,04;33;  -0,14;29;0,32;18;-0,46;15;;2
Rudi Salzer - Willi Neidow;64;0,14;0,56;-0,42;-1,02;35;  0,31;29;-0,13;19;-2,07;16;;3a
Marie Eggeling - Raffael Braun;48;0,10;-0,46;0,56;0,36;22;  0,73;26;-1,19;9;1,43;13;;3b
Petra Wüstner-Weiß - Dr. Hans Fleischhack;64;-0,09;-0,07;-0,02;-0,02;29;  -0,02;35;-0,55;16;0,64;13;;3b
Antje Berghaus - Petra Eleftherakis;32;-0,10;-0,16;0,06;1,02;12;  -0,51;20;-1,20;4;2,13;8;;3c
Hans-Jürgen Riedel - Ingo Schmid;64;-0,12;0,10;-0,21;0,10;34;  -0,57;30;0,76;18;-0,65;16;;3c
Ingeborg Metzler - Bernd Metzler;64;-0,23;-0,27;0,05;-0,61;31;  0,66;33;-0,83;16;-0,37;15;;3c
Frank Lamprecht - Nadia Sanne;80;-0,31;-0,35;0,05;0,06;33;  0,04;47;0,38;15;-0,20;18;;3b
Petra Wüstner-Weiß - Sabine Würdemann;64;-0,34;-0,07;-0,27;0,18;24;  -0,55;39;0,85;12;-0,50;12;;3b
Felix Schadendorf - Marie Eggeling;64;-0,41;-0,43;0,03;-0,02;26;  0,06;38;0,22;14;-0,31;12;;3b
Hans Ott - Lothar Schmidt;16;-0,47;-0,05;-0,42;3,03;4;  -1,57;12;3,80;3;0,70;1;;3c
Malgorzata Schröder - Michael Schröder;76;-0,57;-0,27;-0,29;-0,16;43;  -0,46;33;-0,15;28;-0,19;15;;3c
Dr. Peer Köster - Dr. Silvia Klasberg-Brawanski;48;-0,57;0,20;-0,76;-0,64;25;  -0,90;23;0,12;9;-1,07;16;;3b
Petra von Malchus - Dr. Walter Höger;48;-0,63;-0,58;-0,05;2,09;13;  -0,87;34;0,64;4;2,74;9;;1
Gordon Kolling - Sebastian Weyand;80;-0,73;-0,39;-0,34;0,20;36;  -0,78;44;0,34;19;0,05;17;;2
Andrzej Konczak - Peter Kazub;64;-0,81;-0,54;-0,27;-0,35;37;  -0,16;26;-0,77;25;0,51;12;;2
Karl Wartlick - Rudi Salzer;32;-0,93;-0,60;-0,33;-0,63;10;  -0,19;22;-0,70;3;-0,59;7;;3a
Helga Stoermer - Antje Berghaus;64;-0,93;0,29;-1,22;-1,19;32;  -1,24;32;-2,17;10;-0,74;22;;3c
Prof, Dr. Uwe Rösler - Roland Plaß;32;-0,94;-0,43;-0,51;-0,49;16;  -0,52;16;0,01;6;-0,80;10;;3c
Helga Stoermer - Petra Eleftherakis;64;-0,94;-0,12;-0,82;-1,40;29;  -0,34;35;-1,34;15;-1,46;14;;3c
Herbert Klumpp - Roland Kühnle;32;-0,97;-0,44;-0,53;0,48;12;  -1,14;20;1,38;6;-0,42;6;;2
Karl Wartlick - Thomas Schoop;80;-0,97;-0,20;-0,77;-0,40;43;  -1,20;37;-0,39;25;-0,42;18;;3a
Hans Ott - Martin Jentsch;44;-0,97;-0,95;-0,02;-0,21;24;  0,21;20;-0,07;14;-0,41;10;;3c
Eva Kleimann - Thomas Schoop;16;-0,98;-0,56;-0,42;-2,22;5;  0,40;11;-3,00;4;0,90;1;;3a
Josef Knoll - Lothar Schmidt;16;-1,35;-1,21;-0,14;-0,06;5;  -0,18;11;-0,45;1;0,04;4;;3c
Thomas Suppes - Christoph Hauschild;16;-1,62;-0,22;-1,41;-1,84;11;  -0,44;5;-1,62;6;-2,11;5;;3b

