Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
ALLFREY Alexander - ROBSON Andrew;160;0,33;0,07;0,26;-0,01;95;  0,66;64;-0,04;37;0,01;58;0,13;39;0,01;25;0,58;64;
GRAVERSEN Hans Christian - BILDE Dennis;128;0,13;0,15;-0,02;0,22;64;  -0,26;64;0,21;29;0,22;35;0,12;33;0,03;31;-0,33;64;
GHANEM Ghassan - MALKAWI Sakher;112;0,07;-0,12;0,19;0,52;56;  -0,14;54;0,31;33;0,82;23;-0,18;30;0,56;24;-0,29;54;
GERIN Dominique - PELLETIER Jean-Claude;160;0,07;0,32;-0,26;-0,24;78;  -0,27;82;-0,10;43;-0,40;35;0,01;43;0,18;39;-0,36;82;
MAGNUSSON Stephan - NIKOLENKOV Dmitrij;160;-0,01;-0,24;0,24;-0,07;80;  0,55;80;0,38;47;-0,72;33;0,05;41;0,36;39;0,35;80;
MAJUMDER Subir - MUKHERJEE Manas;144;-0,01;0,10;-0,11;0,17;74;  -0,41;70;0,24;36;0,10;38;0,24;31;-0,02;39;-0,51;70;
REICH Stefan - REYGADAS Miguel;224;-0,02;0,27;-0,29;-0,35;97;  -0,25;126;-0,44;39;-0,30;58;-0,37;71;-0,33;55;0,11;126;
ALRAWASHDEH Samer - ZEINE S,;112;-0,02;-0,06;0,04;0,21;52;  -0,11;58;0,21;24;0,21;28;0,55;27;0,10;31;-0,42;58;
PIEDRA Fernando - WILDAVSKY Adam;160;-0,03;0,23;-0,25;-0,22;80;  -0,28;80;-0,07;33;-0,34;47;-0,03;34;-0,27;46;-0,12;80;
DOLAREVIC Samir - TICA Ranko;208;-0,03;-0,13;0,10;-0,05;103;  0,24;105;0,57;51;-0,66;52;-0,10;48;0,26;57;0,15;105;
DE MENDEZ Thierry - ZIVKOVIC Gojko;128;-0,05;-0,11;0,05;0,16;63;  -0,05;65;0,01;31;0,31;32;0,23;37;0,28;28;-0,30;65;
DE WIJS Simon - MULLER Bauke;127;-0,08;-0,06;-0,02;0,04;73;  -0,11;54;-0,51;39;0,67;34;-0,25;29;-0,03;25;0,04;54;
FORRESTER Tony - GOLD David;144;-0,10;-0,25;0,15;0,58;73;  -0,29;71;0,37;42;0,87;31;-1,22;34;0,27;37;0,15;71;
GODED MERINO Gonzalo - SABATE Jordi;144;-0,19;-0,27;0,08;0,02;85;  0,17;58;0,26;45;-0,25;40;-0,15;32;-0,10;26;0,30;58;
NABIL Karim - SAAID Abd El-Salam;160;-0,22;0,07;-0,29;-0,57;94;  0,12;66;-0,42;60;-0,84;34;0,27;17;-0,04;49;0,08;66;
MASIC Faruk - MILOVIC Milovan;160;-0,24;-0,26;0,02;0,12;68;  -0,06;92;0,12;33;0,12;35;0,09;37;0,43;55;-0,35;92;
AMIRY Reda - SHERIF Hussein;144;-0,46;0,01;-0,47;-0,23;68;  -0,68;76;-0,46;32;-0,02;36;-0,37;37;-0,44;39;-0,27;76;
PAGANI Enrico - SMID Mauricio;224;-0,50;-0,25;-0,25;0,12;113;  -0,61;111;0,18;52;0,06;61;-0,16;65;-0,49;46;-0,31;111;
CARACCI Marcelo - CUEVAS Loreto;224;-0,63;-0,53;-0,10;-0,02;115;  -0,19;108;0,13;69;-0,24;46;0,55;42;-0,18;66;-0,29;108;
CROUCH Peter - PATTERSON Derek;144;-0,81;-0,51;-0,30;-0,03;66;  -0,52;78;-0,41;32;0,32;34;-0,38;43;-0,38;35;-0,15;78;
LEBLONDET Nathalie - LEBLONDET Patrick;144;-0,89;-0,71;-0,18;0,00;82;  -0,42;62;0,11;40;-0,10;42;0,03;26;-0,09;36;-0,37;62;
CARCASSONNE-LABAERE Valerie - LABAERE Alain;112;-0,93;-0,75;-0,18;-0,29;55;  -0,07;56;-0,34;35;-0,21;20;0,23;31;-0,21;25;-0,10;56;
AGUAD Fernando - RUBIO Gonzalo;224;-0,97;-0,56;-0,41;-0,12;99;  -0,64;124;-0,07;40;-0,16;59;0,26;55;-0,59;69;-0,43;124;
CHO Tae Ho - CHUNG Ilsub;224;-1,07;-0,72;-0,34;-0,03;115;  -0,68;109;-0,38;46;0,20;69;-0,29;48;-0,12;61;-0,48;109;
HWANG Iyn Ryung - SUNG Kyung Hae;224;-1,11;-0,77;-0,34;-0,44;108;  -0,26;113;-0,53;61;-0,32;47;0,21;62;-0,76;51;-0,04;113;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
KALUDERCIC Aleksandar - MASIC Faruk;64;0,03;0,20;-0,17;-0,11;35;  -0,23;29;-0,48;15;0,16;20;-1,10;15;-0,10;14;0,38;29;
KEMPCZYNSKI Alain - LEBLONDET Patrick;16;-0,50;-0,50;0,00;0,23;9;  -0,29;7;-5,24;3;2,96;6;-0,15;2;0,20;5;-0,39;7;
GHANEM Ghassan - ZEINE S,;16;-0,69;0,04;-0,73;-0,80;13;  -0,40;3;-2,19;6;0,39;7;0,00;1;-0,60;2;0,00;3;
JARRAR Zafer - ZEINE S,;64;-0,70;-0,64;-0,06;0,02;32;  -0,14;32;0,15;17;-0,12;15;0,80;17;-0,17;15;-0,48;32;
HAIKAL Mohammad - MALKAWI Sakher;48;-0,77;-0,58;-0,19;0,72;21;  -0,90;27;1,16;11;0,24;10;-0,49;9;-0,08;18;-0,68;27;
ALRAWASHDEH Samer - HAIKAL Mohammad;64;-0,88;-0,45;-0,43;-0,46;28;  -0,43;34;-0,06;12;-0,76;16;-0,31;18;-0,30;16;-0,12;34;
ALRAWASHDEH Samer - MALKAWI Sakher;32;-0,94;-0,14;-0,79;-0,90;12;  -0,73;20;-1,01;11;0,33;1;0,26;7;0,45;13;-1,12;20;
CURIC Miroslav - KALUDERCIC Aleksandar;16;-2,25;-1,37;-0,88;-1,27;5;  -0,71;11;-3,07;3;1,42;2;-0,30;4;0,54;7;-0,94;11;

