                                                       |             |              |           Play           |        Declaring         |                Defending              |
MAFA Letsogile - MOEDI Omphemetse                      |  224  -1.34 | -0.53  -0.81 | -0.71 (114)  -0.93 (109) | -1.11 ( 63)  -0.22 ( 51) | -0.37 ( 56)  -0.19 ( 53)  -0.65 (109) |
BOYER Marie-Therese - BLANC Robert                     |  144  -1.58 | -0.89  -0.69 | -0.41 ( 75)  -1.01 ( 68) | -0.72 ( 29)  -0.21 ( 46) | -0.18 ( 36)  -0.38 ( 32)  -0.74 ( 68) |
ALLEN Steve - PIZA Eduardo                             |  224  -1.74 | -0.97  -0.77 | -0.76 (122)  -0.78 (102) | -0.17 ( 50)  -1.16 ( 72) | -0.18 ( 52)  -0.19 ( 50)  -0.60 (102) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
KANNAVOS Panagiotis - VROUSTIS Vassilis                |   16   2.31 |  0.53   1.78 |  1.21 ( 12)   3.50 (  4) |  1.66 (  6)   0.75 (  6) |  3.33 (  2)  -0.02 (  2)   1.84 (  4) |
MULTON Franck - ZIMMERMANN Pierre                      |   96   1.67 |  0.84   0.83 |  1.40 ( 46)   0.31 ( 50) |  1.94 ( 33)   0.00 ( 13) |  0.27 ( 22)   0.06 ( 28)   0.15 ( 50) |
PROTONOTARIOS Manolis - VROUSTIS Vassilis              |   15   0.27 | -0.19   0.46 | -0.10 (  5)   0.73 ( 10) |  0.07 (  3)  -0.35 (  2) | -0.10 (  3)   0.35 (  7)   0.52 ( 10) |
EIDI Michel - VROUSTIS Vassilis                        |   64   0.08 | -0.17   0.25 | -0.06 ( 35)   0.61 ( 29) | -0.16 ( 20)   0.08 ( 15) | -0.13 ( 10)   0.12 ( 19)   0.58 ( 29) |
KARAMANLIS Philippos - VROUSTIS Vassilis               |   32  -2.41 | -1.31  -1.10 | -1.39 ( 21)  -0.56 ( 11) | -1.06 (  9)  -1.63 ( 12) |  0.12 (  9)  -0.08 (  2)  -0.64 ( 11) |

