Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Helmut Lux - Ulrich Schweding;207;0,26;0,07;0,18;0,09;110;  0,29;97;-0,60;55;0,79;55;;3c
Beatrix Kuzselka - Werner Kühn;176;0,26;0,31;-0,05;-0,03;83;  -0,07;93;0,02;34;-0,07;49;;3c
Norbert Stübinger - Thomas Martin;222;0,26;0,06;0,19;0,09;122;  0,33;98;-0,24;60;0,42;62;;2
Mirja Schraverus-Meuer - Axel Meuer;224;0,25;0,32;-0,06;0,20;110;  -0,32;114;0,56;55;-0,17;55;;2
Stefan Behn - Dirk Nedler;208;0,24;0,12;0,12;0,56;111;  -0,39;96;0,52;51;0,59;60;;3b
Thomas Braun - Vera Lenz;128;0,23;-0,08;0,31;0,14;63;  0,47;65;0,62;32;-0,35;31;;2
Herbert Vetter - Bernhard Landwehr;176;0,21;0,34;-0,13;-0,03;80;  -0,21;96;0,08;45;-0,17;35;;3c
Felix Schadendorf - Martin Gravert;96;0,21;0,28;-0,07;-0,41;44;  0,22;52;-0,69;17;-0,24;27;;2
Peter Jokisch - Udo Kasimir;224;0,21;0,28;-0,07;0,33;97;  -0,38;127;0,33;42;0,33;55;;1
Alexander Rapoport - Alexei Vinogradov;224;0,18;0,08;0,11;-0,06;108;  0,26;116;-0,17;41;0,02;67;;3c
Stefan Helling - Dr. Sören Hein;288;0,17;0,12;0,05;0,26;137;  -0,14;151;0,51;77;-0,07;60;;3b
Heinrich Nowak - Stefan Back;160;0,17;0,34;-0,17;-0,14;78;  -0,20;82;-0,43;35;0,09;43;;2
Theo Reinhard - Christoph Hauschild;192;0,16;0,53;-0,37;-0,24;84;  -0,47;108;-0,04;42;-0,44;42;;3b
Julius Linde - Christian Schwerdt;239;0,16;-0,09;0,25;0,08;121;  0,44;117;-0,08;65;0,26;56;;1
Georg Nippgen - Peter Seib;96;0,16;-0,35;0,51;0,74;48;  0,27;48;0,82;31;0,60;17;;1
Norbert Gutleben - Wolfram von Alvensleben;128;0,15;-0,00;0,15;0,00;62;  0,30;66;0,45;31;-0,45;31;;3c
Dr. Karl-Heinz Kaiser - Dr. Peter Freche;192;0,13;-0,04;0,17;0,11;107;  0,24;85;-0,20;52;0,41;55;;2
Helmut Lena - Dr. Radu Stroescu;287;0,12;0,19;-0,06;0,33;158;  -0,55;129;0,52;63;0,21;95;;3b
Lothar Schmidt - Martin Jentsch;160;0,12;-0,05;0,17;0,15;82;  0,19;78;-0,31;53;0,98;29;;3a
Frank Lamprecht - Nadia Sanne;128;0,11;-0,10;0,21;0,63;57;  -0,13;71;0,68;23;0,60;34;;3a
Dr. Michael Tomski - Dr. Richard Bley;222;0,11;0,24;-0,14;-0,03;103;  -0,22;119;-0,23;43;0,11;60;;1
Roland Kühnle - Ulrik Wittek;95;0,11;-0,05;0,16;0,63;49;  -0,35;45;1,05;24;0,23;25;;1
Christian Farwig - Dr. Marcus Joest;192;0,10;0,04;0,07;0,18;104;  -0,07;87;0,05;56;0,35;48;;1
Marie Eggeling - Dietmar Korb;96;0,10;0,30;-0,19;-0,51;45;  0,09;51;0,00;24;-1,10;21;;2
Rainer Herrmann - Detlev Kröning;288;0,08;0,04;0,04;-0,01;152;  0,10;136;-0,43;72;0,37;80;;3c
Hans-Jörg Schinze - Kareen Schroeder;96;0,08;-0,10;0,18;0,58;46;  -0,19;50;0,49;23;0,68;23;;3c
Jan van Oosten - Dr. Ansgar Seiter;268;0,07;0,07;0,00;-0,08;136;  0,09;132;-0,35;58;0,12;78;;3a
Klaus-Dieter Wacker - Ulrich Staber;144;0,07;0,40;-0,33;0,27;68;  -0,87;76;0,40;39;0,10;29;;3c
Ralf Schmellekamp - Dimitrios Markaris;128;0,06;0,20;-0,14;0,14;71;  -0,48;57;0,14;34;0,14;37;;1
Thomas Neuhauser - Dr. Regine Neuhauser-Riess;192;0,06;0,17;-0,11;-0,22;93;  -0,01;99;0,20;40;-0,53;53;;3b
Georg Mavridis - Karin Mavridis;192;0,04;0,18;-0,13;0,07;105;  -0,38;87;0,12;49;0,03;56;;3c
Matthias Schüller - Paul Orth;254;0,04;-0,17;0,21;0,39;132;  0,01;122;0,50;67;0,28;65;;1
Henning Gärner - Dr. Gerhard Göttsch;287;0,04;-0,01;0,05;-0,11;158;  0,25;129;-0,32;59;0,02;99;;2
Jacek Lesniczak - Janko Katerbau;160;0,04;-0,27;0,31;0,52;75;  0,11;85;1,03;32;0,15;43;;1
Martin Hofmann - Dr. Peer Köster;190;0,03;-0,19;0,21;-0,27;90;  0,66;98;-0,03;34;-0,42;56;;3a
Dr. Entscho Wladow - Dr. Michael Elinescu;207;0,02;0,14;-0,12;-0,24;112;  0,03;95;0,27;38;-0,50;74;;1
Hartmut Brückner - Ralf Speckmann;192;0,02;0,10;-0,07;-0,49;80;  0,23;112;0,47;40;-1,45;40;;2
Tobias Förster - Dr. Claus Neidhardt;192;0,02;0,29;-0,27;-0,32;88;  -0,23;104;-0,44;45;-0,20;43;;3c
Holger Hoffmann - Christian Dörmer;240;0,02;0,08;-0,06;-0,20;112;  0,06;128;-0,30;55;-0,10;57;;1
Erhard Sternheimer - Andreas Böhmer;190;0,02;-0,19;0,20;0,38;89;  0,05;99;0,28;47;0,50;42;;3b
Michael Schröder - Stefan Schmieder;128;0,01;-0,19;0,20;-0,17;68;  0,62;60;0,28;30;-0,52;38;;3c
Dr. Frank Pioch - Dr. Rolf Kühn;224;0,00;0,13;-0,12;-0,19;99;  -0,07;124;-0,05;47;-0,33;52;;1
Peter Heckmann - Christian Glubrecht;96;-0,01;-0,18;0,17;0,08;47;  0,25;49;0,34;20;-0,11;27;;2
Joachim Cappeller - Clemens Oelker;224;-0,01;-0,14;0,13;0,06;107;  0,19;116;0,40;65;-0,45;42;;2
Martin Schrödel - Martin Werner;285;-0,02;0,30;-0,31;-0,40;134;  -0,23;151;-0,34;77;-0,49;57;;1
Günter Buhr - Hans-Peter Fütterer;272;-0,02;0,06;-0,07;0,19;141;  -0,36;131;0,11;63;0,26;78;;3c
Hartmut Kondoch - Josias Prinz zu Waldeck;224;-0,03;-0,08;0,05;-0,09;106;  0,18;118;0,13;57;-0,34;49;;2
Josef Piekarek - Tomasz Gotard;127;-0,04;0,03;-0,06;-0,03;66;  -0,10;60;0,52;26;-0,38;40;;1
Flora Boeddeker - Robert Boeddeker;288;-0,04;0,22;-0,26;-0,22;152;  -0,30;136;0,04;75;-0,47;77;;2
Bernd Gahntz - Dietmar Korb;96;-0,04;-0,19;0,15;0,35;45;  -0,02;50;0,88;24;-0,26;21;;2
Helge Dzellak - Klaus Klöckner;287;-0,05;0,03;-0,08;0,09;144;  -0,26;142;0,12;70;0,07;74;;3b
Annaïg Della Monta - Dr. Alfred Berthold;223;-0,05;0,01;-0,06;0,07;102;  -0,17;120;0,66;52;-0,53;50;;2
Hans Humburg - Helga Humburg;192;-0,06;0,17;-0,23;-0,56;89;  0,05;103;-0,72;47;-0,39;42;;3a
Fred Wrobel - Alexander Wodniansky;96;-0,07;-0,49;0,42;0,57;51;  0,25;45;0,35;28;0,84;23;;1
Matthias Voigt - Dr. Gerold Wieber;286;-0,07;-0,18;0,11;0,03;150;  0,20;136;0,02;74;0,04;76;;3b
Ulrich Kratz - Bernhard Sträter;176;-0,07;-0,19;0,12;-0,14;84;  0,35;92;0,02;41;-0,30;43;;1
Ulf Bormann - Christine Kraus;223;-0,08;-0,13;0,06;-0,02;117;  0,15;106;0,57;63;-0,72;54;;2
Bernd Engelhardt - Dr. Laurence Kane;160;-0,08;0,17;-0,25;-0,08;78;  -0,41;82;0,20;33;-0,29;45;;3b
Keith Brundage - Bharat Gurbaxani;287;-0,08;-0,13;0,04;-0,14;151;  0,25;136;0,12;84;-0,48;67;;3a
Emile Sansour - Otto Ruthenberg;112;-0,09;0,21;-0,30;-0,09;66;  -0,60;46;0,06;33;-0,24;33;;2
Andreas Schaper - Dr. Lutz Wienert;192;-0,09;-0,23;0,14;0,22;94;  0,08;97;0,58;54;-0,28;40;;3b
Torsten Waaga - Ulrich Bongartz;128;-0,10;0,25;-0,35;-0,58;74;  -0,03;54;-0,78;42;-0,33;32;;3a
Jürgen Hollich - Dr. Herbert Thieme;288;-0,10;-0,08;-0,02;0,08;134;  -0,10;154;0,57;65;-0,39;69;;3b
Andreas Visetti - Pawel Serwatowski;208;-0,11;-0,22;0,12;0,26;106;  -0,03;102;-0,02;52;0,53;54;;3b
Gerda Heinrichs - Karin Wenning;240;-0,14;-0,23;0,09;0,19;112;  0,00;128;0,18;44;0,20;68;;3c
Vitaliy Khanukov - Yevgeniya Khanukova;224;-0,16;-0,41;0,25;0,42;116;  0,08;108;0,80;61;-0,01;55;;3c
Bernhard Kaiser - Bettina Kaiser;110;-0,17;-0,21;0,04;-0,10;53;  0,17;57;0,18;28;-0,42;25;;3c
Frank Wichmann - Sabrina Wichmann;224;-0,19;-0,05;-0,14;-0,13;112;  -0,14;112;-0,18;57;-0,08;55;;3a
Jochen Bitschene - Klaus Reps;95;-0,20;-0,16;-0,05;0,25;43;  -0,29;52;1,14;25;-1,00;18;;1
Hans Frerichs - Ulrich Wenning;159;-0,21;-0,16;-0,05;0,02;82;  -0,13;77;-0,03;42;0,08;40;;1
Göran Mattsson - Horst-Dieter Uhlmann;140;-0,22;0,23;-0,45;-0,28;72;  -0,63;68;0,31;34;-0,81;38;;3a
Udo Petersen - Ulrike Köppchen;192;-0,22;-0,16;-0,06;0,32;95;  -0,43;97;0,20;60;0,53;35;;3b
Kathryn Herz - Eckhard Böhlke;223;-0,22;-0,11;-0,12;0,10;111;  -0,34;112;0,33;49;-0,08;62;;2
Guido Klein - Lutz Springer;192;-0,25;-0,01;-0,24;-0,10;112;  -0,45;80;-0,46;43;0,13;69;;3b
Robert Koch - Werner Schneider;96;-0,28;-0,14;-0,14;-0,24;47;  -0,04;49;-0,23;21;-0,25;26;;1
Felix Zimmermann - Max Ellerbeck;175;-0,29;0,01;-0,30;-0,11;92;  -0,52;83;-0,56;42;0,27;50;;2
Adam Griger - Marian Powalla;144;-0,30;-0,35;0,05;-0,16;71;  0,26;72;-0,14;34;-0,19;37;;2
Henning Bohnsack - Alexey Levin;128;-0,31;-0,47;0,16;0,28;63;  0,05;65;0,42;32;0,14;31;;3c
Hans Ott - Dr. Wolfgang Walenta;160;-0,31;-0,02;-0,29;-0,55;75;  -0,06;85;-0,15;35;-0,89;40;;3a
Borys Jawlinski - Dr. Gerhard Thurn;208;-0,32;-0,28;-0,04;-0,05;106;  -0,03;101;-0,12;52;0,01;54;;3a
Ferit Tavlan - Wolfram von Alvensleben;160;-0,33;-0,39;0,06;0,22;72;  -0,07;88;0,67;32;-0,15;40;;3c
Frank-Onno Bettermann - Matthias Berghaus;144;-0,33;-0,30;-0,03;0,01;70;  -0,07;74;-0,34;34;0,34;36;;2
Regine Bartels - Thomas Schmitt;112;-0,37;-0,16;-0,22;0,11;55;  -0,53;57;0,61;22;-0,23;33;;3b
Georg Weisz - Anssi Bragge;288;-0,38;-0,23;-0,14;-0,13;159;  -0,16;129;-0,29;75;0,00;84;;3b
Mieke Plath - Ulrike Liss;192;-0,38;-0,01;-0,38;-0,20;92;  -0,54;100;-0,15;45;-0,26;47;;3a
Sebastian Weyand - Claudia Vechiatto;128;-0,39;-0,27;-0,12;-0,11;62;  -0,14;66;-0,28;27;0,02;35;;2
Fabian von Löbbecke - Dirk Sanne;160;-0,40;-0,44;0,04;0,31;72;  -0,18;88;0,17;32;0,42;40;;1
Peter Heckmann - Bernd Donner;160;-0,40;-0,21;-0,20;-0,19;82;  -0,20;78;-0,05;40;-0,32;42;;2
Mathias Farwig - Wiebke Farwig;224;-0,44;-0,33;-0,11;-0,05;108;  -0,17;116;0,37;51;-0,43;57;;3a
Rainer Handel - Christoph Kemmer;144;-0,44;-0,22;-0,22;-0,20;70;  -0,24;74;-0,41;31;-0,03;39;;1
Mieke Plath - Cumhur Kirdemir;96;-0,47;-0,31;-0,16;-0,61;54;  0,43;42;-0,03;29;-1,28;25;;3a
Lutz Gröbler - Christian Glubrecht;176;-0,48;-0,14;-0,34;-0,15;92;  -0,55;84;-0,14;42;-0,15;50;;2
Jürgen Flory - Sabine Flory;96;-0,48;0,01;-0,49;-0,59;43;  -0,42;53;-0,84;23;-0,29;20;;3c
Gregor Sieber - Ulrike Schreckenberger;96;-0,50;-0,18;-0,32;-0,40;43;  -0,26;53;-0,08;19;-0,65;24;;3b
Loek Fresen - Waltraud Vogt;176;-0,51;-0,45;-0,06;0,33;89;  -0,45;87;0,40;41;0,26;48;;1
Andreas Pasing-Husemann - Anke Herrlett;96;-0,52;-0,27;-0,26;0,07;47;  -0,56;49;0,02;21;0,10;26;;3c
Dr. Andreas Spiegl - Dr. Bernhard Schirm;159;-0,59;-0,39;-0,20;0,11;79;  -0,51;80;0,32;34;-0,04;45;;3a
Karl Wartlick - Rudi Salzer;128;-0,60;-0,06;-0,54;-0,23;64;  -0,84;64;0,05;35;-0,58;29;;3c
Marko Leinert - Dr. Rasmus Tenbergen;288;-0,63;-0,22;-0,41;-0,05;162;  -0,88;126;0,06;78;-0,15;84;;3c
Paul Grünke - David Cole;112;-0,63;-0,26;-0,38;-0,36;58;  -0,40;54;-0,85;31;0,21;27;;1
Friedrich Kleißendorf - Angelika Röttger;96;-0,65;-0,41;-0,25;-0,35;46;  -0,15;50;-0,04;25;-0,71;21;;3b
Udo Kreimeyer - Wolfgang Sonntag;144;-0,68;-0,53;-0,16;0,01;74;  -0,33;70;0,12;33;-0,08;41;;3b
Ingrid Gromann - Cristina Giampietro;128;-0,72;-0,27;-0,45;-0,57;64;  -0,34;64;-0,43;34;-0,74;30;;2
Jim Elliott - Joachim Hegener;176;-0,73;-0,34;-0,38;0,07;91;  -0,86;85;0,72;42;-0,49;49;;3b
Fred Wrobel - Stefan Häßler;159;-0,73;-0,43;-0,30;-0,40;82;  -0,19;76;-0,90;38;0,03;44;;1
Jan Chodorowski - Dr. Wendelin Albert;112;-0,75;-0,30;-0,45;-0,10;50;  -0,73;61;-0,20;24;-0,01;26;;3b
Roland Kühnle - Yves Mucha;192;-0,76;-0,16;-0,60;-0,50;99;  -0,69;93;-0,67;45;-0,37;54;;1
Kareen Schroeder - Bert Hanken;128;-0,92;-0,62;-0,30;-0,74;65;  0,15;63;-0,22;26;-1,08;39;;3c
Andreas Pasing-Husemann - Sijan Stankov;159;-0,96;-0,77;-0,19;-0,50;76;  0,09;83;-0,03;36;-0,92;40;;3c
Andreas Schaper - Volker Walter;94;-0,99;-0,95;-0,05;0,45;40;  -0,42;53;0,36;17;0,51;23;;3b
Yves Mucha - Detlef Karcher;96;-1,02;-0,25;-0,77;-0,87;52;  -0,66;44;-1,35;27;-0,35;25;;1

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Frank Reichelt - Claudia Lüßmann;16;1,69;0,63;1,06;2,04;6;  0,47;10;1,40;4;3,31;2;;3a
Klaus Amann - Dr. Carina Tetal;32;1,51;1,66;-0,15;-0,13;17;  -0,18;15;0,10;8;-0,33;9;;3a
Hans Ott - Lothar Schmidt;48;1,19;0,63;0,56;0,46;24;  0,66;24;0,43;16;0,51;8;;3a
Joachim Hegener - Ulrike Köppchen;16;1,11;0,66;0,46;0,82;11;  -0,35;5;1,16;7;0,24;4;;3b
Hans-Joachim Prieß - Raffael Braun;64;0,92;0,24;0,68;-0,06;31;  1,38;33;-0,26;18;0,22;13;;2
Helga Stoermer - Lutz Narajek;64;0,84;0,17;0,67;0,46;38;  0,97;26;0,98;22;-0,25;16;;3a
Josef Knoll - Lothar Schmidt;32;0,77;-0,16;0,94;0,68;10;  1,05;22;0,66;6;0,72;4;;3a
Gregor Sieber - Robert Maybach;48;0,72;0,61;0,11;-0,34;22;  0,51;25;-0,04;13;-0,77;9;;3b
Karl Wartlick - Klaus-Dieter Wacker;16;0,70;0,16;0,54;0,52;9;  0,56;7;0,13;4;0,83;5;;3c
Regine Bartels - Dr. Helmut Horacek;64;0,69;0,55;0,14;0,05;38;  0,28;26;-0,00;16;0,09;22;;3b
Hans-Jürgen Riedel - Antje Berghaus;80;0,65;0,17;0,47;0,02;37;  0,86;43;0,05;22;-0,02;15;;3a
Günter Buhr - Karin Schumann-Buhr;16;0,64;0,67;-0,03;-0,52;9;  0,61;7;-1,90;5;1,20;4;;3c
Ferit Tavlan - Bernhard Kaiser;79;0,64;0,46;0,18;0,02;38;  0,32;41;-0,39;19;0,43;19;;3c
Guido Hopfenheit - Klaus Reps;80;0,41;0,21;0,20;0,34;39;  0,06;41;-0,36;23;1,35;16;;1
Hans-Joachim Prieß - Marie Eggeling;16;0,38;0,45;-0,07;-0,91;5;  0,32;11;-1,69;3;0,26;2;;2
Anke Herrlett - Barbara von Kleist;32;0,38;0,34;0,04;0,09;13;  0,01;19;0,30;4;-0,01;9;;3c
Antje Berghaus - Petra Eleftherakis;16;0,36;1,26;-0,90;-1,37;8;  -0,43;8;-1,88;2;-1,20;6;;3a
Lothar Schmidt - Dr. Wolfgang Walenta;32;0,33;0,16;0,17;-0,21;15;  0,50;17;-2,33;9;2,97;6;;3a
Hans-Jörg Schinze - Bert Hanken;16;0,32;0,16;0,16;1,01;6;  -0,34;10;4,27;2;-0,63;4;;3c
Elke Weber - Anne Gladiator;80;0,24;0,18;0,07;-0,13;34;  0,21;46;-0,20;18;-0,04;16;;3b
Matthias Berghaus - Tilman Oeckinghaus;64;0,23;-0,05;0,28;0,79;27;  -0,09;37;1,21;18;-0,06;9;;2
Norbert Schilhart - Ulrich Wenning;64;0,19;0,25;-0,06;-0,05;36;  -0,07;28;-0,15;19;0,05;17;;1
Sebastian Weyand - Berthold Engel;32;0,19;-0,20;0,39;0,56;16;  0,22;16;0,37;8;0,75;8;;2
Helmut Häusler - Martin Rehder;48;0,17;-0,29;0,46;1,05;20;  0,03;28;1,28;15;0,37;5;;1
Horst Hübner - Dr. Silvia Klasberg-Brawanski;32;0,14;-0,01;0,14;-0,09;13;  0,30;19;-0,45;6;0,22;7;;3a
Heinrich Nowak - Andrea Reim;64;0,02;0,00;0,02;0,45;36;  -0,54;28;0,79;22;-0,07;14;;2
Josias Prinz zu Waldeck - Berthold Engel;32;-0,10;-0,19;0,09;-0,04;16;  0,23;16;-2,05;6;1,16;10;;2
Lutz Narajek - Petra Eleftherakis;16;-0,10;0,35;-0,45;-1,12;6;  -0,05;10;-2,02;4;0,69;2;;3a
Franz-Jürgen Röttger - Wolfgang Sonntag;64;-0,10;-0,79;0,69;0,31;34;  1,11;30;0,53;20;0,00;14;;3b
Gregor Sieber - Peter Gondos;48;-0,17;0,00;-0,17;-0,20;21;  -0,14;27;0,34;7;-0,47;14;;3b
Josef Knoll - Dr. Wolfgang Walenta;80;-0,20;0,05;-0,25;-0,13;34;  -0,33;46;-0,09;20;-0,19;14;;3a
Jan Chodorowski - Dr. Helmut Horacek;80;-0,25;-0,21;-0,04;0,05;34;  -0,10;46;-0,07;14;0,13;20;;3b
Ingo Schmid - Lutz Narajek;32;-0,27;-0,09;-0,18;-0,96;11;  0,23;21;0,46;6;-2,65;5;;3a
Felix Schadendorf - Raffael Braun;64;-0,32;-0,02;-0,31;0,19;34;  -0,87;30;0,53;15;-0,08;19;;2
Felix Schadendorf - Marie Eggeling;16;-0,37;0,04;-0,41;0,14;8;  -0,97;8;0,08;4;0,21;4;;2
Gitta Werring - Gunthart Thamm;63;-0,46;-0,22;-0,25;0,23;33;  -0,77;30;0,43;12;0,12;21;;3a
Marie Eggeling - Raffael Braun;48;-0,47;-0,68;0,20;0,69;24;  -0,28;24;0,47;14;0,99;10;;2
Martin Hofmann - Dr. Silvia Klasberg-Brawanski;32;-0,48;-0,50;0,03;0,13;12;  -0,03;20;0,20;8;-0,02;4;;3a
Felix Schadendorf - Dietmar Korb;80;-0,66;-0,47;-0,18;-0,65;40;  0,29;40;-1,23;23;0,13;17;;2
Ingrid Stoeckmann - Burkhard Thamm;80;-0,68;-0,86;0,18;0,07;46;  0,32;34;-0,34;21;0,42;25;;3c
Angelika Röttger - Eckhard Renken;32;-0,68;-0,26;-0,42;0,37;14;  -1,03;18;0,31;11;0,60;3;;3b
Dr. Peer Köster - Dr. Silvia Klasberg-Brawanski;32;-0,73;-0,58;-0,16;-0,00;15;  -0,30;17;0,29;6;-0,19;9;;3a
Susanne Kriftner - Alexander Wodniansky;80;-0,78;-0,36;-0,42;-0,50;44;  -0,32;36;0,05;22;-1,05;22;;1
Hans Ott - Martin Jentsch;16;-0,86;-0,62;-0,24;-0,56;11;  0,48;5;-2,37;5;0,94;6;;3a
Omid Karimi - Dr. Silvia Klasberg-Brawanski;31;-0,87;-0,17;-0,70;-2,26;15;  0,75;16;-1,15;5;-2,81;10;;3a
Hans Ott - Josef Knoll;48;-0,90;-0,26;-0,64;-0,92;24;  -0,38;23;-1,38;9;-0,64;15;;3a
Roland Godlewski - Dr. Silvia Klasberg-Brawanski;48;-0,93;-0,49;-0,44;-0,43;26;  -0,45;22;0,00;12;-0,80;14;;3a
Helga Stoermer - Antje Berghaus;80;-0,94;-0,26;-0,68;-0,55;33;  -0,77;47;-0,55;16;-0,55;17;;3a
Hans-Jürgen Riedel - Ingo Schmid;48;-1,06;-0,90;-0,15;-0,18;19;  -0,14;28;0,59;9;-0,88;10;;3a
Karl Wartlick - Ulrich Staber;64;-1,17;-0,56;-0,61;0,08;34;  -1,39;30;0,70;19;-0,70;15;;3c
Gitta Werring - Ulrich Bongartz;32;-1,25;-1,20;-0,05;0,09;19;  -0,26;13;-0,55;13;1,48;6;;3a
Klaus-Dieter Wacker - Tobias Förster;32;-1,29;-0,70;-0,59;0,29;15;  -1,36;17;-0,02;8;0,64;7;;3c
Gitta Werring - Torsten Waaga;16;-1,30;-1,01;-0,29;-1,33;10;  1,45;6;-0,52;4;-1,87;6;;3a
Helga Stoermer - Petra Eleftherakis;80;-1,42;-0,69;-0,73;-0,89;53;  -0,42;27;-1,93;22;-0,15;31;;3a
Hartmut Kondoch - Berthold Engel;32;-2,04;-0,69;-1,35;-1,21;14;  -1,45;18;1,50;6;-3,25;8;;2
Kareen Schroeder - Burkhard Thamm;16;-2,34;-2,21;-0,13;0,53;5;  -0,42;11;1,45;3;-0,86;2;;3c

