Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SATYANARAYANA Bachiraju - NADAR Kiran;224;-0,29;-0,17;-0,12;-0,08;127;  -0,18;97;0,07;56;-0,20;71;0,17;41;0,04;56;-0,28;97;
HISHMAT Mohamed - NADIM Tarek;224;-0,42;-0,14;-0,28;-0,03;116;  -0,56;108;-0,10;65;0,05;51;-0,42;57;-0,22;51;-0,23;108;
APPLETON David - REYNOLDS Peter;224;-0,43;-0,28;-0,15;-0,03;107;  -0,27;116;0,03;59;-0,10;48;-0,02;42;-0,14;74;-0,17;116;
ASKARI Hasan - MOHIUDDIN Khaled;256;-0,44;-0,03;-0,41;-0,36;126;  -0,46;129;-0,49;61;-0,24;65;0,10;49;-0,10;80;-0,44;129;
THOMSON Ian - BRIGHTLING Richard J;224;-0,52;-0,22;-0,30;0,19;121;  -0,89;102;0,28;72;0,06;49;0,25;43;-0,22;59;-0,86;102;
BRENNER Diego - FIGUEIREDO Mauricio;176;-0,54;-0,11;-0,43;-0,53;94;  -0,31;81;-0,84;39;-0,32;55;-0,18;56;-0,18;25;-0,13;81;
HUSSAIN Mirza Shauq - MAZHAR Masood;144;-0,62;-0,47;-0,15;-0,53;79;  0,32;63;-0,51;33;-0,55;46;-0,37;25;0,21;38;0,34;63;
WARE Michael - WHIBLEY Michael;256;-0,67;-0,16;-0,51;-0,11;117;  -0,86;138;0,01;43;-0,17;74;-0,27;63;-0,28;75;-0,58;138;
MOERS Jeanine - PENTURE Jack;224;-0,67;-0,17;-0,50;-0,43;93;  -0,56;130;-0,24;51;-0,65;42;-0,08;57;-0,18;73;-0,42;130;
HERRERA Gonzalo - MARSHALL Bill;336;-0,69;-0,51;-0,18;-0,26;195;  -0,06;139;-0,33;107;-0,18;88;-0,04;57;-0,13;82;0,03;139;
WILDAVSKY Adam - DOUB Doug;224;-0,71;-0,52;-0,19;-0,02;107;  -0,36;111;0,17;41;-0,13;66;0,11;60;-0,24;51;-0,31;111;
REY Bruno - REY Catherine;224;-0,91;-0,60;-0,31;-0,17;123;  -0,48;101;-1,23;49;0,54;74;0,08;47;-0,21;54;-0,41;101;
BERRADA Mohammed Said - RERHAYE Abdelkamal;224;-1,08;-0,49;-0,60;-0,28;93;  -0,83;130;0,22;46;-0,77;47;-0,05;62;-0,18;68;-0,71;130;
GARNIER Charles - LEBLONDET Patrick;224;-1,42;-0,77;-0,65;-0,75;116;  -0,55;106;-0,09;57;-1,39;59;-0,16;54;-0,16;52;-0,39;106;
FREY Kenneth - PAGANI Enrico;336;-1,48;-0,93;-0,55;-0,58;152;  -0,54;181;-1,16;64;-0,15;88;-0,01;78;-0,20;103;-0,42;181;
SBILI Said - CHAOUKI Bensaid;224;-1,58;-1,13;-0,46;-0,25;120;  -0,71;103;0,03;59;-0,52;61;0,07;57;-0,57;46;-0,49;103;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
VENKATARAMAN Kadayam Raman - DALAL Rajesh;16;0,88;1,12;-0,24;1,20;8;  -1,69;8;1,36;5;0,94;3;0,69;4;-0,08;4;-1,99;8;
CHOKSHI Sunit - GUPTA Subhash;48;0,54;-0,44;0,98;1,13;24;  0,84;24;0,56;13;1,80;11;-0,17;17;1,10;7;0,64;24;
SEVERIN LARRAIN Manuel Jose - BASCUNAN Matias;16;-0,06;0,39;-0,45;-0,64;8;  -0,27;8;-0,81;4;-0,47;4;0,92;4;-0,31;4;-0,58;8;
TALPUR Nawab Muhammad Yusuf - MAZHAR Masood;48;-0,17;-0,92;0,75;0,10;24;  1,40;24;0,12;14;0,08;10;0,08;12;0,17;12;1,27;24;
HUSSAIN Mirza Shauq - MOHIUDDIN Khaled;32;-0,38;-0,85;0,48;0,37;14;  0,59;17;0,72;8;-0,10;6;0,34;7;0,45;10;0,19;17;
TALPUR Nawab Muhammad Yusuf - JAWAD Hassan;96;-0,57;-0,30;-0,27;0,46;40;  -0,80;56;0,92;14;0,22;26;-0,20;25;-0,09;31;-0,66;56;
TALPUR Nawab Muhammad Yusuf - HUSSAIN Mirza Shauq;80;-1,71;-0,66;-1,05;-1,07;28;  -1,06;51;-1,03;8;-1,09;20;-0,37;25;-1,08;26;-0,33;51;
YANG Hsin-Lung - CHEN Chi Hua;48;-1,90;-1,38;-0,51;0,18;27;  -1,41;21;0,50;14;-0,17;13;-0,68;7;-0,45;14;-0,88;21;
JAWAD Hassan - MAZHAR Masood;16;-2,31;-0,80;-1,51;-1,78;8;  -1,24;8;-2,65;4;-0,91;4;0,00;2;0,15;6;-1,35;8;

