Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
CHMURSKI Bartosz - GAWRYS Piotr;240;-0,15;0,01;-0,16;-0,05;118;  -0,25;122;0,04;56;-0,14;62;0,05;53;0,03;69;-0,29;122;
WU Ching-Hsiang - CHEN Chuan-Cheng;256;-0,16;-0,18;0,02;0,49;132;  -0,48;124;0,83;54;0,26;78;0,13;67;-0,43;57;-0,36;124;
BRENNER Diego - FIGUEIREDO Mauricio;224;-0,20;0,17;-0,38;-0,57;127;  -0,12;96;-0,52;64;-0,62;63;-0,22;54;0,17;42;-0,07;96;
CLARKE David - HART Trevor;128;-0,21;0,10;-0,31;-0,03;55;  -0,52;73;-0,11;32;0,09;23;0,47;40;0,05;33;-0,80;73;
LAMBARDI Pablo - PALAZZO Luis;256;-0,21;-0,16;-0,05;0,10;128;  -0,19;128;0,19;65;0,01;63;0,09;56;-0,06;72;-0,20;128;
THOMA Marcos - BRUM Paulo Roberto;112;-0,31;0,07;-0,38;-0,33;56;  -0,43;56;-0,34;27;-0,32;29;0,03;33;-0,18;23;-0,38;56;
HANLON Tom - McGANN Hugh;240;-0,32;0,10;-0,42;-0,44;122;  -0,41;116;-0,15;68;-0,80;54;-0,19;52;-0,23;64;-0,20;116;
KUSHARI Pritish - ROY Debashish;208;-0,34;-0,28;-0,05;-0,32;115;  0,28;92;-0,25;61;-0,40;54;-0,05;45;-0,03;47;0,32;92;
STOUT Graeme - MILLER Jeff;224;-0,41;-0,33;-0,08;-0,22;117;  0,07;106;-0,60;56;0,13;61;0,14;49;0,15;57;-0,07;106;
HAMMAN Bob - LALL Hemant;176;-0,47;-0,31;-0,15;-0,09;83;  -0,21;93;0,05;44;-0,26;39;0,01;46;-0,07;47;-0,18;93;
FRUKACZ Waldemar - KLIMOWICZ Piotr;240;-0,47;-0,37;-0,10;0,18;134;  -0,47;105;0,05;80;0,38;54;0,16;49;-0,19;56;-0,44;105;
ALLANA Abdul Rehman - FAZLI Jane Alam;240;-0,50;-0,32;-0,17;-0,11;107;  -0,22;131;0,11;56;-0,36;51;0,02;62;-0,21;69;-0,12;131;
GRANT Alan - KER Anthony;208;-0,55;-0,39;-0,17;0,07;85;  -0,33;122;0,32;45;-0,22;40;-0,13;56;-0,08;66;-0,23;122;
FERGANI Kamel - L'ECUYER Nicolas;208;-0,60;-0,29;-0,31;-0,65;113;  0,10;94;-0,60;48;-0,69;65;-0,35;41;-0,11;53;0,31;94;
HART Trevor - MAPP Roger;112;-0,72;-0,19;-0,53;-0,07;60;  -1,07;52;-0,65;25;0,35;35;-0,26;19;-0,09;33;-0,92;52;
SEEPERSAD Mohan - PERSAD Bobby;128;-0,89;-0,53;-0,36;-0,02;67;  -0,74;61;0,38;45;-0,84;22;-0,40;25;-0,46;36;-0,30;61;
VIEIRA Roger - CLARKE David;112;-1,15;-0,55;-0,60;-0,74;49;  -0,50;62;-1,29;21;-0,32;28;-0,18;33;0,07;29;-0,43;62;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SHIH Juei-Yu - YEH Chen;16;2,30;1,64;0,66;0,47;7;  0,80;9;-0,89;6;8,64;1;0,56;6;-0,18;3;0,49;9;
SHEN Chih-Kuo - CHEN Chuan-Cheng;16;1,12;0,38;0,74;0,72;7;  0,76;9;0,65;3;0,76;4;-0,08;3;0,89;6;0,19;9;
YANG Hsin-Lung - CHEN Chuan-Cheng;16;0,79;-0,25;1,03;0,99;11;  1,41;4;0,50;7;1,86;4;1,61;4;-;0;-0,20;4;
SHEN Chih-Kuo - YANG Hsin-Lung;16;0,75;0,25;0,49;1,10;8;  -0,12;8;0,87;4;1,33;4;0,20;5;0,01;3;-0,25;8;
SEEPERSAD Mohan - MAPP Roger;96;-0,08;0,30;-0,38;-0,11;50;  -0,66;46;0,50;27;-0,84;23;-0,02;21;-0,44;25;-0,42;46;
CLARKE David - MAPP Roger;16;-0,23;-0,20;-0,02;0,05;7;  -0,08;9;0,15;6;-0,56;1;-0,02;5;-0,10;4;-0,03;9;
UMAN Horacio - LAMBARDI Pablo;48;-0,26;-0,49;0,23;0,63;24;  -0,16;24;0,54;10;0,69;14;0,36;9;-0,14;15;-0,21;24;
VIEIRA Roger - MAPP Roger;48;-0,55;-0,09;-0,46;-0,75;28;  -0,05;20;-1,25;16;-0,09;12;0,15;10;-0,32;10;0,04;20;
LAMBARDI Pablo - NOGUERA Anibal Gonzalez;32;-0,76;0,37;-1,13;-0,15;17;  -2,39;14;-0,25;5;-0,11;12;-0,75;6;-2,32;8;-0,75;14;
SHEN Chih-Kuo - YEH Chen;96;-1,02;-0,75;-0,27;-0,08;45;  -0,45;49;0,05;26;-0,26;19;-0,10;23;-0,05;26;-0,38;49;
VIEIRA Roger - HART Trevor;16;-1,19;-0,16;-1,03;-0,91;6;  -1,11;10;-0,52;4;-1,69;2;0,05;6;0,00;4;-1,13;10;
WATULINGAS Giovanni - GEORGE Julius Anthonius;16;-1,53;-1,17;-0,36;-0,56;9;  -0,12;6;-0,08;4;-0,95;5;-0,70;3;0,00;3;0,23;6;
ROY Kamal Kumar - KUSHARI Pritish;16;-1,78;-0,10;-1,68;-2,18;5;  -1,45;11;-2,18;5;-;0;-0,22;6;0,01;5;-1,33;11;
MAPP Roger - PERSAD Bobby;16;-2,28;-1,83;-0,45;-1,14;7;  0,10;8;-0,02;3;-1,97;4;-0,33;5;-0,11;3;0,34;8;

