Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
HUGHES Arthur - CASTELEIN Chris;260;-0,31;-0,07;-0,24;0,12;128;  -0,60;129;0,02;63;0,21;65;0,00;60;-0,21;69;-0,49;129;
HORTON David - MARKEY Phil;220;-0,34;-0,30;-0,04;0,12;100;  -0,18;120;-0,14;48;0,36;52;-0,22;70;0,00;50;-0,05;120;
TERAMOTO Tadashi - MIYAKUNI Kenji;280;-0,35;-0,28;-0,08;-0,15;151;  0,01;128;-0,16;65;-0,15;86;-0,01;61;-0,19;67;0,12;128;
DUBININ Alexander - GROMOV Andrey;280;-0,36;-0,10;-0,26;0,04;132;  -0,54;148;-0,33;56;0,32;76;-0,38;79;-0,35;69;-0,17;148;
HISHMAT Mohamed - NADIM Tarek;140;-0,42;-0,33;-0,09;0,12;66;  -0,29;72;-0,29;36;0,60;30;-0,21;35;-0,15;37;-0,11;72;
TOWNSEND Tom - GOLD David;260;-0,43;-0,36;-0,07;-0,08;114;  -0,06;146;-0,86;54;0,61;60;-0,03;66;-0,12;80;0,01;146;
YANG Hsin-Lung - CHIU Wei-Chun;240;-0,58;-0,10;-0,48;-0,62;127;  -0,33;113;-0,53;67;-0,72;60;0,01;63;-0,13;50;-0,28;113;
GHANEM Ghassan - HATTAR-GHANEM Nuha;420;-0,94;-0,58;-0,36;-0,32;216;  -0,41;199;-0,01;113;-0,67;103;-0,08;92;-0,30;107;-0,21;199;
RIZK Rizcallah - JOATTON Philippe;280;-0,98;-0,04;-0,93;-0,93;154;  -0,95;124;-1,09;77;-0,78;77;-0,38;49;-0,12;75;-0,73;124;
BARAKAT Sireen - GHANEM Marwan;420;-0,98;-0,46;-0,52;-0,57;208;  -0,48;207;-0,41;94;-0,70;114;0,23;109;-0,07;98;-0,57;207;
CORNELL Michael - CROMBIE Dwayne;180;-1,04;-0,82;-0,22;-0,76;99;  0,45;79;-0,86;45;-0,68;54;0,41;46;0,37;33;0,05;79;
KEMPCZYNSKI Alain - PENTURE Jack;280;-1,08;-0,40;-0,68;-0,81;116;  -0,60;161;-0,76;57;-0,85;59;0,36;70;-0,02;91;-0,75;161;
JAGNIEWSKI Rafal - PAZUR Boguslaw;240;-1,14;-0,82;-0,32;-0,34;117;  -0,31;123;-0,17;57;-0,50;60;-0,16;65;-0,03;58;-0,21;123;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SHEN Chih-Kuo - SHIH Juei-Yu;80;1,14;1,04;0,09;0,15;34;  0,05;45;0,65;9;-0,02;25;-0,22;35;-0,17;10;0,26;45;
SHEN Chih-Kuo - CHIU Wei-Chun;40;0,65;0,41;0,24;0,55;23;  -0,19;16;0,28;3;0,59;20;-0,06;15;-0,16;1;-0,12;16;
SADEK Tarek - HISHMAT Mohamed;20;-0,95;-1,16;0,21;0,39;11;  -0,02;8;0,40;10;0,32;1;0,02;5;-0,22;3;0,05;8;
SHEN Chih-Kuo - YANG Hsin-Lung;20;-0,95;-0,79;-0,16;-0,41;13;  0,29;7;-1,42;7;0,77;6;0,00;4;0,43;3;0,10;7;

