                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
SHIH Juei-Yu - HUANG Patrick K. H.                     |  320  -0.25 | -0.22  -0.03 | -0.01 (167)  -0.05 (151) |  0.03 ( 76)  -0.05 ( 91) | -0.02 ( 53)  -0.15 ( 98)   0.05 (151) |
HORTON David - MARKEY Phil                             |  220  -0.30 | -0.27  -0.02 |  0.11 (100)  -0.13 (120) | -0.12 ( 48)   0.31 ( 52) | -0.21 ( 70)   0.04 ( 50)  -0.03 (120) |
HUGHES Arthur - CASTELEIN Chris                        |  260  -0.32 | -0.11  -0.21 |  0.09 (128)  -0.51 (129) |  0.02 ( 63)   0.16 ( 65) |  0.03 ( 60)  -0.15 ( 69)  -0.44 (129) |
SHEN Chih-Kuo - YEH Chen                               |  140  -0.33 | -0.37   0.03 |  0.10 ( 71)  -0.04 ( 69) |  0.57 ( 28)  -0.20 ( 43) | -0.18 ( 48)   0.06 ( 21)   0.07 ( 69) |
DUBININ Alexander - GROMOV Andrey                      |  280  -0.34 | -0.11  -0.23 |  0.04 (132)  -0.48 (148) | -0.34 ( 56)   0.32 ( 76) | -0.35 ( 79)  -0.32 ( 69)  -0.14 (148) |
HISHMAT Mohamed - NADIM Tarek                          |  140  -0.35 | -0.30  -0.05 |  0.15 ( 66)  -0.23 ( 72) | -0.19 ( 36)   0.56 ( 30) | -0.14 ( 35)  -0.13 ( 37)  -0.10 ( 72) |
TOWNSEND Tom - GOLD David                              |  260  -0.40 | -0.34  -0.06 | -0.08 (114)  -0.05 (146) | -0.73 ( 54)   0.51 ( 60) | -0.01 ( 66)  -0.11 ( 80)   0.02 (146) |
YANG Hsin-Lung - CHIU Wei-Chun                         |  240  -0.62 | -0.15  -0.48 | -0.60 (127)  -0.34 (113) | -0.45 ( 67)  -0.76 ( 60) | -0.03 ( 63)  -0.12 ( 50)  -0.27 (113) |
CORNELL Michael - CROMBIE Dwayne                       |  180  -0.87 | -0.66  -0.21 | -0.65 ( 99)   0.34 ( 79) | -0.81 ( 45)  -0.52 ( 54) |  0.38 ( 46)   0.27 ( 33)   0.01 ( 79) |
RIZK Rizcallah - JOATTON Philippe                      |  280  -0.89 | -0.03  -0.86 | -0.85 (154)  -0.89 (124) | -0.96 ( 77)  -0.75 ( 77) | -0.34 ( 49)  -0.11 ( 75)  -0.68 (124) |
