                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
DUMBOVICH Miklos - GOTTHARD Laszlo                     |  260  -0.21 | -0.03  -0.18 | -0.43 (127)   0.05 (131) |  0.08 ( 65)  -0.95 ( 62) | -0.06 ( 76)  -0.29 ( 55)   0.21 (131) |
KORZUN Aleksandr - TSIMAKHOVICH Aleh                   |  220  -0.22 | -0.31   0.09 |  0.10 (114)   0.08 (104) | -0.20 ( 57)   0.41 ( 57) |  0.03 ( 59)   0.40 ( 45)  -0.11 (104) |
FIORINI Fiorenzo - MIETI Renzo                         |  240  -0.28 | -0.16  -0.11 |  0.14 (112)  -0.34 (127) |  0.26 ( 60)  -0.00 ( 52) | -0.20 ( 63)   0.09 ( 64)  -0.29 (127) |
HANLON Tom - McGANN Hugh                               |  260  -0.32 |  0.10  -0.42 | -0.56 (147)  -0.24 (113) | -0.50 ( 70)  -0.61 ( 77) |  0.05 ( 48)  -0.12 ( 65)  -0.20 (113) |
DE CABOOTER Kurt - DE SCHRIJVER Luc                    |  240  -0.34 | -0.26  -0.08 |  0.10 (117)  -0.26 (122) |  0.62 ( 59)  -0.42 ( 58) | -0.21 ( 56)   0.16 ( 66)  -0.24 (122) |
CORNELIS Tom - AMSEL Alon                              |  240  -0.41 | -0.27  -0.14 |  0.05 (124)  -0.35 (116) | -0.02 ( 63)   0.12 ( 61) | -0.22 ( 62)  -0.28 ( 54)  -0.10 (116) |
VOINESCU Dan - MICESCU Viorel                          |  240  -0.42 | -0.28  -0.13 |  0.15 (124)  -0.44 (116) | -0.11 ( 55)   0.36 ( 69) |  0.17 ( 57)  -0.09 ( 59)  -0.48 (116) |
COLDEA Ionut - IONITA Marius                           |  280  -0.46 | -0.18  -0.28 | -0.01 (143)  -0.56 (137) | -0.68 ( 65)   0.54 ( 78) | -0.12 ( 76)  -0.13 ( 61)  -0.44 (137) |
SALISBURY John - TEDD Mike                             |  240  -0.52 | -0.35  -0.17 |  0.02 (123)  -0.36 (117) |  0.33 ( 62)  -0.30 ( 61) | -0.03 ( 56)  -0.14 ( 61)  -0.27 (117) |
GADDI Camillo - PIZZA Ettore                           |  240  -0.62 | -0.25  -0.37 | -0.79 (126)   0.11 (114) | -0.67 ( 67)  -0.94 ( 59) |  0.01 ( 61)   0.16 ( 53)   0.03 (114) |
MAGYAR Peter - SZAPPANOS Geza                          |  200  -0.76 | -0.27  -0.48 | -0.87 (105)  -0.06 ( 95) | -0.59 ( 61)  -1.25 ( 44) |  0.14 ( 45)   0.10 ( 50)  -0.18 ( 95) |
HENC Marian - LOHAY Karol                              |  360  -0.79 | -0.42  -0.37 | -0.39 (177)  -0.37 (180) | -0.15 ( 91)  -0.63 ( 86) |  0.07 ( 84)   0.01 ( 96)  -0.41 (180) |
