Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
ZIMMERMANN Pierre - MULTON Franck;220;0,04;0,26;-0,22;-0,00;113;  -0,46;105;-0,15;57;0,15;56;0,41;47;-0,31;58;-0,47;105;
JAGNIEWSKI Rafal - KWIECIEN Michal;220;0,02;0,28;-0,26;-0,46;108;  -0,07;111;-0,64;56;-0,26;52;-0,10;56;0,21;55;-0,12;111;
GHIGHECI Ovidiu - BRICIU Marius;200;0,01;-0,19;0,20;0,12;110;  0,31;89;-0,17;53;0,38;57;-0,12;53;0,23;36;0,29;89;
KHOKHLOV Jouri - MATUSHKO Georgi;280;0,01;-0,48;0,49;0,50;163;  0,47;117;0,61;70;0,42;93;0,04;62;0,24;55;0,33;117;
HEGEDUS Gal - HONTI Laszlo;260;-0,00;-0,13;0,12;0,35;137;  -0,14;122;-0,22;67;0,91;70;-0,16;69;-0,05;53;-0,03;122;
BOCKEN Patrick - RENARD Claude;240;-0,01;0,21;-0,22;-0,06;104;  -0,35;135;0,55;44;-0,51;60;-0,17;74;-0,42;61;-0,07;135;
ISPORSKI Vladislav Nikolov - KOVACHEV Valentin;220;-0,07;-0,15;0,08;-0,12;115;  0,30;105;0,08;55;-0,31;60;0,08;58;0,10;47;0,21;105;
WERNLE Sascha - SIMON Josef;260;-0,07;-0,08;0,01;0,07;137;  -0,05;123;0,34;58;-0,13;79;-0,00;63;0,02;60;-0,06;123;
FISCHER Doris - SAURER Bernd;260;-0,08;-0,19;0,10;-0,02;130;  0,23;129;-0,57;62;0,48;68;0,08;62;0,06;67;0,16;129;
ZHURAVEL Valentin - ARLOVICH Andrei;320;-0,18;-0,38;0,20;0,03;150;  0,36;168;-0,31;82;0,43;68;-0,04;75;0,07;93;0,34;168;
DUMBOVICH Miklos - GOTTHARD Laszlo;260;-0,20;-0,04;-0,16;-0,42;127;  0,08;131;0,11;65;-0,98;62;-0,04;76;-0,37;55;0,26;131;
LUKS Leo - NABER Lauri;240;-0,23;-0,19;-0,04;-0,14;113;  0,05;127;-0,02;60;-0,27;53;0,03;59;0,10;68;-0,02;127;
ZUCCHINI Piergiovanni - FAZZARDI Gianfranco;240;-0,26;-0,33;0,07;0,16;107;  -0,01;133;1,01;58;-0,84;49;0,14;75;0,11;58;-0,14;133;
KORZUN Aleksandr - TSIMAKHOVICH Aleh;220;-0,27;-0,35;0,09;0,13;114;  0,04;104;-0,21;57;0,47;57;-0,01;59;0,45;45;-0,15;104;
KURBALIJA Filip - REES Tim;280;-0,28;-0,15;-0,13;-0,40;133;  0,12;146;-0,36;73;-0,45;60;0,20;80;-0,07;66;0,04;146;
FIORINI Fiorenzo - MIETI Renzo;240;-0,30;-0,18;-0,13;0,14;112;  -0,37;127;0,25;60;0,02;52;-0,19;63;0,09;64;-0,32;127;
HANLON Tom - McGANN Hugh;260;-0,35;0,10;-0,45;-0,58;147;  -0,28;113;-0,50;70;-0,65;77;0,06;48;-0,15;65;-0,21;113;
DE CABOOTER Kurt - DE SCHRIJVER Luc;240;-0,37;-0,30;-0,06;0,16;117;  -0,28;122;0,74;59;-0,44;58;-0,25;56;0,19;66;-0,26;122;
VOINESCU Dan - MICESCU Viorel;240;-0,47;-0,31;-0,16;0,18;124;  -0,53;116;-0,13;55;0,43;69;0,18;57;-0,14;59;-0,55;116;
CORNELIS Tom - AMSEL Alon;240;-0,50;-0,31;-0,19;0,02;124;  -0,41;116;-0,03;63;0,08;61;-0,25;62;-0,31;54;-0,13;116;
COLDEA Ionut - IONITA Marius;280;-0,53;-0,23;-0,31;-0,01;143;  -0,62;137;-0,72;65;0,59;78;-0,15;76;-0,16;61;-0,46;137;
SALISBURY John - TEDD Mike;240;-0,62;-0,43;-0,18;-0,01;123;  -0,37;117;0,35;62;-0,37;61;-0,00;56;-0,15;61;-0,29;117;
GADDI Camillo - PIZZA Ettore;240;-0,67;-0,31;-0,37;-0,82;126;  0,13;114;-0,66;67;-1,00;59;0,06;61;0,16;53;0,03;114;
MAGYAR Peter - SZAPPANOS Geza;200;-0,81;-0,25;-0,55;-0,95;105;  -0,11;95;-0,66;61;-1,37;44;0,14;45;0,11;50;-0,23;95;
MARLIN Natalie - PENNEY Graham Arthur;180;-0,93;-0,61;-0,32;-0,13;91;  -0,53;87;0,24;45;-0,49;46;-0,37;43;0,02;44;-0,36;87;
HENC Marian - LOHAY Karol;360;-0,95;-0,54;-0,40;-0,41;177;  -0,40;180;-0,17;91;-0,67;86;0,06;84;0,01;96;-0,44;180;
DIX Mario - PARNIS-ENGLAND Margaret;280;-1,11;-0,41;-0,70;-0,81;154;  -0,57;126;-0,52;93;-1,25;61;-0,25;68;0,27;58;-0,56;126;
VELLA Anna - CLARE Oliver;180;-1,60;-0,76;-0,84;-0,71;75;  -0,94;104;-0,96;41;-0,42;34;-0,82;41;0,23;63;-0,76;104;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
ZHUKOV Alexander - TSIMAKHOVICH Aleh;100;1,01;0,81;0,20;0,38;55;  -0,01;45;0,14;20;0,52;35;0,60;25;0,59;20;-0,60;45;
ZHUKOV Alexander - ZHURAVEL Valentin;20;0,50;-0,15;0,65;0,92;9;  0,42;11;-0,09;4;1,73;5;0,30;5;-0,22;6;0,41;11;
VELLA Anna - PARNIS-ENGLAND Margaret;20;-0,45;0,65;-1,10;-1,03;13;  -1,24;7;-1,58;6;-0,56;7;0,55;3;-1,18;4;-0,80;7;
ZHUKOV Alexander - KORZUN Aleksandr;40;-1,13;-1,15;0,02;-0,19;20;  0,23;20;-0,31;10;-0,06;10;-0,01;14;-0,41;6;0,36;20;
ZHUKOV Alexander - ARLOVICH Andrei;20;-1,20;0,03;-1,23;-1,08;9;  -1,36;11;-1,83;6;0,42;3;-0,05;8;-5,11;3;0,08;11;
VELLA Anna - MARLIN Natalie;20;-1,30;-0,36;-0,94;-1,00;10;  -0,88;10;-4,11;3;0,33;7;0,20;6;0,62;4;-1,24;10;
VELLA Anna - PENNEY Graham Arthur;40;-2,28;-1,56;-0,71;-0,74;20;  -0,68;20;-1,89;6;-0,25;14;0,09;12;0,18;8;-0,80;20;

