Players;No,;Pl1;Pl2;Def;L1;L2;Butler;Bid;Play1;Play2;;Lead1;Lead2;Def
R Kierznowski - L Sztyrak;96;26;12;58;28;30;0,07;-0,38;0,15;-0,08;0,10;-0,02;0,30
S Gołębiowski - T Klukowski;48;12;12;24;16;8;0,02;0,57;0,18;-0,17;0,04;-0,08;-0,52
J Różycki - P Szerling;96;22;24;48;31;17;0,00;0,44;-0,02;-0,30;0,14;-0,02;-0,24
R Grzelak - J Romański;23;0;6;17;8;9;-0,04;-0,22;0,00;0,02;-0,05;0,25;-0,05
T Winciorek - M Wręczycki;96;19;23;53;26;27;-0,10;-0,25;0,12;0,03;-0,09;-0,08;0,17
M Pędziński - O Bestrzyński;48;15;8;25;14;11;-0,13;-0,16;0,02;0,00;-0,10;0,08;0,04
B Chmurski - P Tuczyński;48;19;8;21;9;12;-0,15;0,33;-0,39;0,05;0,06;-0,28;0,08
G Gardynik - Ł Witkowski;84;21;19;42;23;19;-0,17;-0,24;0,17;-0,11;0,02;0,03;-0,03
J Ciechomski - P Lutostański;12;6;0;6;6;0;-0,17;-0,67;0,35;0,00;-0,26;0,00;0,42
Z Papierniak - J Figlus;95;30;18;47;16;31;-0,18;-0,15;-0,07;0,05;-0,03;0,02;-0,00
J Skrzypczak - L Sztyrak;24;5;4;15;8;7;-0,42;0,12;-0,01;-0,03;-0,23;-0,03;-0,23
R Kierznowski - Z Rogowski;96;22;24;50;22;28;-0,47;-0,45;-0,08;0,10;-0,00;0,01;-0,04
W Kaźmierczak - P Butryn;12;5;1;6;4;2;-0,50;-0,70;0,13;0,00;0,12;0,02;-0,08
R Sakowicz - P Tuszyński;48;21;12;15;6;9;-0,79;-0,65;-0,00;0,14;-0,10;-0,04;-0,15
J Russyan - K Lasocki;72;22;21;29;9;20;-0,83;-0,24;-0,10;-0,09;-0,07;-0,09;-0,24
M Wręczycki - P Kowalczewski;12;2;4;6;3;3;-0,83;-0,40;-0,18;-0,50;1,01;-0,02;-0,75
T Jochymski - M Kania;96;28;29;39;10;29;-0,89;-0,48;-0,29;-0,04;0,08;-0,07;-0,09
M Leśniewski - P Lutostański;60;18;11;31;21;10;-1,02;-0,56;-0,13;0,07;-0,16;-0,00;-0,24
W Sroczyński - P Tuszyński;83;10;29;43;11;32;-1,13;-0,74;-0,20;0,07;0,09;-0,37;0,02
J Kalida - J Klukowski;12;1;6;5;2;3;-1,50;-1,03;0,05;-0,29;0,00;0,33;-0,55
R Stoliński - O Bestrzyński;36;8;10;17;10;7;-1,53;-0,88;-0,46;0,39;-0,08;-0,54;0,05
T Winciorek - M Puczyński;72;10;24;38;19;19;-1,58;-0,65;-0,24;-0,07;-0,19;-0,16;-0,26
C Serek - D Kazmucha;24;4;5;15;8;7;-1,63;0,49;-0,35;-0,60;-0,16;0,02;-1,03
G Gardynik - M Tutka;24;9;4;11;2;9;-1,83;-0,98;-0,18;0,00;0,06;-0,23;-0,50
R Nowicki - O Bestrzyński;12;2;3;7;5;2;-2,75;-1,73;-1,03;-0,21;0,32;-0,02;-0,09
Z Rogowski - K Pikus;24;5;8;11;6;5;0,04;0,38;-0,05;-0,21;-0,02;0,10;-0,17

